,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,974705.133534,-1241884.538428,-2245098.549942,0.0
Tax Rate For Calcs,0.256501,0.255532,0.254546,0.257187
Normalized EBITDA,1677040000.0,1142680000.0,704360000.0,347170000.0
Total Unusual Items,3800000.0,-4860000.0,-8820000.0,0.0
Total Unusual Items Excluding Goodwill,3800000.0,-4860000.0,-8820000.0,0.0
Net Income From Continuing Operation Net Minority Interest,1144750000.0,759030000.0,469360000.0,224530000.0
Reconciled Depreciation,113430000.0,62520000.0,36570000.0,16380000.0
Reconciled Cost Of Revenue,8825400000.0,5445450000.0,3243650000.0,1864580000.0
EBITDA,1680840000.0,1137820000.0,695540000.0,347170000.0
EBIT,1567410000.0,1075300000.0,658970000.0,330790000.0
Net Interest Income,32470000.0,19440000.0,-36360000.0,-32750000.0
Interest Expense,27730000.0,55740000.0,29340000.0,28520000.0
Interest Income,73370000.0,81520000.0,4370000.0,3670000.0
Normalized Income,1141924705.133534,762648115.461572,475934901.450058,224530000.0
Net Income From Continuing And Discontinued Operation,1144750000.0,759030000.0,469360000.0,224530000.0
Total Expenses,9941460000.0,6269420000.0,3737620000.0,2140720000.0
Rent Expense Supplemental,4870000.0,3180000.0,2150000.0,2960000.0
Diluted Average Shares,56546058.0,54685159.0,56064980.0,56064980.0
Basic Average Shares,56529474.0,54567218.0,56064980.0,56064980.0
Diluted EPS,20.24,13.88,8.371714,4.004817
Basic EPS,20.25,13.91,8.371714,4.004817
Diluted NI Availto Com Stockholders,1144750000.0,759030000.0,469360000.0,224530000.0
Net Income Common Stockholders,1144750000.0,759030000.0,469360000.0,224530000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,1144750000.0,759030000.0,469360000.0,224530000.0
Net Income Including Noncontrolling Interests,1144750000.0,759030000.0,469360000.0,224530000.0
Net Income Continuous Operations,1144750000.0,759030000.0,469360000.0,224530000.0
Tax Provision,394930000.0,260530000.0,160270000.0,77740000.0
Pretax Income,1539680000.0,1019560000.0,629630000.0,302270000.0
Other Non Operating Income Expenses,6250000.0,4390000.0,1280000.0,3490000.0
Special Income Charges,3800000.0,-4860000.0,-8820000.0,0.0
Other Special Charges,-6030000.0,-2450000.0,-1260000.0,-3430000.0
Write Off,2230000.0,7310000.0,8820000.0,0.0
Net Non Operating Interest Income Expense,32470000.0,19440000.0,-36360000.0,-32750000.0
Total Other Finance Cost,13170000.0,6340000.0,11390000.0,7900000.0
Interest Expense Non Operating,27730000.0,55740000.0,29340000.0,28520000.0
Interest Income Non Operating,73370000.0,81520000.0,4370000.0,3670000.0
Operating Income,1489350000.0,971260000.0,672400000.0,329610000.0
Operating Expense,1116060000.0,823970000.0,493970000.0,276140000.0
Other Operating Expenses,240190000.0,149640000.0,113300000.0,65860000.0
Depreciation And Amortization In Income Statement,113430000.0,62520000.0,36570000.0,16380000.0
Amortization,3970000.0,3570000.0,4470000.0,1100000.0
Depreciation Income Statement,109460000.0,58950000.0,32100000.0,15280000.0
Selling General And Administration,190770000.0,105530000.0,87020000.0,38890000.0
Selling And Marketing Expense,56410000.0,39600000.0,36560000.0,13080000.0
General And Administrative Expense,134360000.0,65930000.0,50460000.0,25810000.0
Rent And Landing Fees,4870000.0,3180000.0,2150000.0,2960000.0
Gross Profit,2605410000.0,1795230000.0,1166370000.0,605750000.0
Cost Of Revenue,8825400000.0,5445450000.0,3243650000.0,1864580000.0
Total Revenue,11430810000.0,7240680000.0,4410020000.0,2470330000.0
Operating Revenue,11430810000.0,7240680000.0,4410020000.0,2470330000.0
