,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,191369723.466126,-302732.218919,6604541.821324,-4036081.916933
Tax Rate For Calcs,0.248957,0.252487,0.242084,0.223222
Normalized EBITDA,3407963000.0,4723307000.0,2761971000.0,1425443000.0
Total Unusual Items,768687000.0,-1199000.0,27282000.0,-18081000.0
Total Unusual Items Excluding Goodwill,768687000.0,-1199000.0,27282000.0,-18081000.0
Net Income From Continuing Operation Net Minority Interest,2601081000.0,3000789000.0,1635176000.0,638220000.0
Reconciled Depreciation,655466000.0,596999000.0,527774000.0,490402000.0
Reconciled Cost Of Revenue,7505080000.0,7337967000.0,6137853000.0,5535020000.0
EBITDA,4176650000.0,4722108000.0,2789253000.0,1407362000.0
EBIT,3521184000.0,4125109000.0,2261479000.0,916960000.0
Net Interest Income,22869000.0,-57706000.0,-115108000.0,-124994000.0
Interest Expense,57894000.0,110744000.0,104015000.0,95335000.0
Interest Income,105840000.0,82268000.0,15563000.0,9950000.0
Normalized Income,2023763723.466126,3001685267.781081,1614498541.821324,652264918.083067
Net Income From Continuing And Discontinued Operation,2601081000.0,3000789000.0,1635176000.0,638220000.0
Total Expenses,11678044000.0,11082809000.0,9265571000.0,8272438000.0
Rent Expense Supplemental,13605000.0,9202000.0,8381000.0,7132000.0
Diluted Average Shares,12829889.0,12829889.0,12829889.0,12829889.0
Basic Average Shares,12829889.0,12829889.0,12829889.0,12829889.0
Diluted EPS,202.74,233.89,127.45,49.74
Basic EPS,202.74,233.89,127.45,49.74
Diluted NI Availto Com Stockholders,2601081000.0,3000789000.0,1635176000.0,638220000.0
Net Income Common Stockholders,2601081000.0,3000789000.0,1635176000.0,638220000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,2601081000.0,3000789000.0,1635176000.0,638220000.0
Net Income Including Noncontrolling Interests,2601081000.0,3000789000.0,1635176000.0,638220000.0
Net Income Continuous Operations,2601081000.0,3000789000.0,1635176000.0,638220000.0
Tax Provision,862209000.0,1013576000.0,522288000.0,183405000.0
Pretax Income,3463290000.0,4014365000.0,2157464000.0,821625000.0
Other Non Operating Income Expenses,205093000.0,125443000.0,5204000.0,4826000.0
Special Income Charges,691860000.0,-1199000.0,27282000.0,-18081000.0
Other Special Charges,-691860000.0,1199000.0,-27282000.0,18081000.0
Net Non Operating Interest Income Expense,22869000.0,-57706000.0,-115108000.0,-124994000.0
Total Other Finance Cost,25077000.0,29230000.0,26656000.0,39609000.0
Interest Expense Non Operating,57894000.0,110744000.0,104015000.0,95335000.0
Interest Income Non Operating,105840000.0,82268000.0,15563000.0,9950000.0
Operating Income,2665777000.0,4073822000.0,2343414000.0,960903000.0
Operating Expense,4172964000.0,3744842000.0,3127718000.0,2737418000.0
Other Operating Expenses,579046000.0,444555000.0,271293000.0,261193000.0
Depreciation And Amortization In Income Statement,655466000.0,596999000.0,527774000.0,490402000.0
Amortization,13239000.0,10558000.0,12556000.0,14809000.0
Depreciation Income Statement,642227000.0,586441000.0,515218000.0,475593000.0
Selling General And Administration,611251000.0,528643000.0,594707000.0,430945000.0
Selling And Marketing Expense,238286000.0,219471000.0,295793000.0,274019000.0
General And Administrative Expense,372965000.0,309172000.0,298914000.0,156926000.0
Rent And Landing Fees,13605000.0,9202000.0,8381000.0,7132000.0
Gross Profit,6838741000.0,7818664000.0,5471132000.0,3698321000.0
Cost Of Revenue,7505080000.0,7337967000.0,6137853000.0,5535020000.0
Total Revenue,14343821000.0,15156631000.0,11608985000.0,9233341000.0
Operating Revenue,14343821000.0,15156631000.0,11608985000.0,9233341000.0
