,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,1724579253.633276,1007068139.064174,-287243682.008687,388590000.0,
Tax Rate For Calcs,0.301901,0.219812,0.185894,0.3,
Normalized EBITDA,84264600000.0,77579700000.0,84047900000.0,70469400000.0,
Total Unusual Items,5712400000.0,4581500000.0,-1545200000.0,1295300000.0,
Total Unusual Items Excluding Goodwill,5712400000.0,4581500000.0,-1545200000.0,1295300000.0,
Net Income From Continuing Operation Net Minority Interest,27292300000.0,32004500000.0,39178300000.0,47336600000.0,
Reconciled Depreciation,11822800000.0,11733600000.0,12058600000.0,11853500000.0,
Reconciled Cost Of Revenue,12951000000.0,12129800000.0,13203700000.0,11877200000.0,
EBITDA,89977000000.0,82161200000.0,82502700000.0,71764700000.0,
EBIT,78046600000.0,70319900000.0,70356000000.0,59861700000.0,
Net Interest Income,-6847700000.0,1880700000.0,851800000.0,-2307700000.0,
Interest Expense,33149100000.0,24125400000.0,17840100000.0,15587300000.0,
Interest Income,4899800000.0,8880900000.0,5635000000.0,3115500000.0,
Normalized Income,23304479253.633278,28430068139.064175,40436256317.99131,46429890000.0,
Net Income From Continuing And Discontinued Operation,27292300000.0,32004500000.0,39178300000.0,47336600000.0,
Total Expenses,58360300000.0,52443200000.0,52295000000.0,48826000000.0,
Rent Expense Supplemental,871100000.0,757900000.0,687000000.0,542600000.0,
Diluted Average Shares,10045034805.0,10045034805.0,10045034805.0,10045034805.0,
Basic Average Shares,10045034805.0,10045034805.0,10045034805.0,10045034805.0,
Diluted EPS,2.99,3.58,3.89,3.51,
Basic EPS,2.99,3.58,3.89,3.51,
Diluted NI Availto Com Stockholders,30066700000.0,35959500000.0,39033100000.0,35235700000.0,
Net Income Common Stockholders,30066700000.0,35959500000.0,39033100000.0,35235700000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,30066700000.0,35959500000.0,39033100000.0,35235700000.0,
Minority Interests,-4050600000.0,-4035900000.0,-3575200000.0,-2507600000.0,
Net Income Including Noncontrolling Interests,34117300000.0,39995400000.0,42608300000.0,37743300000.0,
Net Income Extraordinary,2774400000.0,3955000000.0,-145200000.0,-12100900000.0,
Net Income Continuous Operations,31342900000.0,36040400000.0,42753500000.0,49844200000.0,
Tax Provision,13554600000.0,10154100000.0,9762400000.0,-5569800000.0,
Pretax Income,44897500000.0,46194500000.0,52515900000.0,44274400000.0,
Other Non Operating Income Expenses,554600000.0,-1227800000.0,693000000.0,2930200000.0,
Special Income Charges,5781700000.0,5152300000.0,588900000.0,1693000000.0,
Other Special Charges,-5781700000.0,-5152300000.0,-588900000.0,-1693000000.0,
Write Off,,,,15700000.0,-88300000.0
Net Non Operating Interest Income Expense,-6847700000.0,1880700000.0,851800000.0,-2307700000.0,
Total Other Finance Cost,-21401600000.0,-17125200000.0,-13056900000.0,-10164100000.0,
Interest Expense Non Operating,33149100000.0,24125400000.0,17840100000.0,15587300000.0,
Interest Income Non Operating,4899800000.0,8880900000.0,5635000000.0,3115500000.0,
Operating Income,45378200000.0,40081600000.0,52492800000.0,41793800000.0,
Operating Expense,45409300000.0,40313400000.0,39091300000.0,36948800000.0,
Other Operating Expenses,9927100000.0,9114000000.0,11951600000.0,9592300000.0,
Depreciation And Amortization In Income Statement,11930400000.0,11841300000.0,12146700000.0,11903000000.0,
Amortization,30100000.0,28200000.0,36200000.0,47100000.0,
Depreciation Income Statement,11900300000.0,11813100000.0,12110500000.0,11855900000.0,
Selling General And Administration,10294100000.0,14072200000.0,4417100000.0,4395400000.0,
Selling And Marketing Expense,166900000.0,151400000.0,110600000.0,45400000.0,
General And Administrative Expense,10127200000.0,13920800000.0,4306500000.0,4350000000.0,
Rent And Landing Fees,871100000.0,757900000.0,687000000.0,542600000.0,
Gross Profit,90787500000.0,80395000000.0,91584100000.0,78742600000.0,
Cost Of Revenue,12951000000.0,12129800000.0,13203700000.0,11877200000.0,
Total Revenue,103738500000.0,92524800000.0,104787800000.0,90619800000.0,
Operating Revenue,103738500000.0,92524800000.0,104787800000.0,90619800000.0,
