,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-31136719.804401,-453249854.826145,-8414993.591505,-22465200.0,
Tax Rate For Calcs,0.049174,0.227307,0.15533,0.3,
Total Unusual Items,-633200000.0,-1994000000.0,-54175000.0,-74884000.0,
Total Unusual Items Excluding Goodwill,-633200000.0,-1994000000.0,-54175000.0,-74884000.0,
Net Income From Continuing Operation Net Minority Interest,10366300000.0,11164800000.0,10480008000.0,1945708000.0,
Reconciled Depreciation,509600000.0,589600000.0,1647159000.0,1364626000.0,
EBIT,11227300000.0,14722000000.0,12937680000.0,2119599000.0,
Net Interest Income,-1002300000.0,-601000000.0,-373107000.0,-343471000.0,
Interest Expense,1002300000.0,601000000.0,373107000.0,343471000.0,
Interest Income,50191500000.0,49247700000.0,44776535000.0,40882680000.0,
Normalized Income,10968363280.195599,12705550145.173855,10525768006.408495,1998126800.0,
Net Income From Continuing And Discontinued Operation,10366300000.0,11164800000.0,10480008000.0,1945708000.0,
Total Expenses,430411600000.0,428569800000.0,405784095000.0,363546783000.0,
Rent Expense Supplemental,1912300000.0,1835700000.0,1776540000.0,1699117000.0,
Diluted Average Shares,1648000000.0,1648000000.0,1648000000.0,1648000000.0,
Basic Average Shares,1648000000.0,1648000000.0,1648000000.0,1648000000.0,
Diluted EPS,6.29,6.77,6.36,1.18,
Basic EPS,6.29,6.77,6.36,1.18,
Diluted NI Availto Com Stockholders,10366300000.0,11164800000.0,10480008000.0,1945708000.0,
Net Income Common Stockholders,10366300000.0,11164800000.0,10480008000.0,1945708000.0,
Otherunder Preferred Stock Dividend,-659800000.0,-293100000.0,113337000.0,-205149000.0,
Net Income,10366300000.0,11164800000.0,10480008000.0,1945708000.0,
Minority Interests,-15700000.0,-39500000.0,-19575000.0,-38643000.0,
Net Income Including Noncontrolling Interests,10382000000.0,11204300000.0,10499583000.0,1984351000.0,
Net Income Continuous Operations,10382000000.0,11204300000.0,10499583000.0,1984351000.0,
Tax Provision,502800000.0,3209800000.0,1951653000.0,-3074000.0,
Pretax Income,10225000000.0,14121000000.0,12564573000.0,1776128000.0,
Other Income Expense,1623400000.0,374500000.0,1078810000.0,127314000.0,
Special Income Charges,-633200000.0,-1994000000.0,-54175000.0,-74884000.0,
Other Special Charges,86000000.0,64900000.0,54175000.0,74884000.0,
Write Off,547200000.0,1929100000.0,,-45539000.0,1102898000.0
Net Non Operating Interest Income Expense,-1002300000.0,-601000000.0,-373107000.0,-343471000.0,
Interest Expense Non Operating,1002300000.0,601000000.0,373107000.0,343471000.0,
Other Operating Expenses,6288100000.0,9795500000.0,5720938000.0,4696826000.0,
Depreciation And Amortization In Income Statement,509600000.0,589600000.0,1647159000.0,1364626000.0,
Amortization,,1573842000.0,825381000.0,498145000.0,3013232000.0
Depreciation Income Statement,509600000.0,589600000.0,821778000.0,866481000.0,
Selling General And Administration,2060300000.0,2120300000.0,1340020000.0,1098861000.0,
Selling And Marketing Expense,1140100000.0,783300000.0,284470000.0,119108000.0,
General And Administrative Expense,920200000.0,1337000000.0,1055550000.0,979753000.0,
Rent And Landing Fees,1912300000.0,1835700000.0,1776540000.0,1699117000.0,
Total Revenue,440636600000.0,442690800000.0,418348668000.0,365322910000.0,
Operating Revenue,440636600000.0,442690800000.0,418348668000.0,365322910000.0,
Net Policyholder Benefits And Claims,350005800000.0,337928700000.0,297618128000.0,294185691000.0,
