,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-62920298.734355,-112778878.694077,-3690471286.464084,1043040000.0
Tax Rate For Calcs,0.266048,0.351994,0.306777,0.3
Normalized EBITDA,64654300000.0,55164800000.0,58948700000.0,50128200000.0
Total Unusual Items,-236500000.0,-320400000.0,-12029800000.0,3476800000.0
Total Unusual Items Excluding Goodwill,-236500000.0,-320400000.0,-12029800000.0,3476800000.0
Net Income From Continuing Operation Net Minority Interest,26213600000.0,18540800000.0,13956800000.0,10925700000.0
Reconciled Depreciation,18842700000.0,18248900000.0,18007900000.0,19087200000.0
Reconciled Cost Of Revenue,54393800000.0,45878900000.0,53093800000.0,38786100000.0
EBITDA,64417800000.0,54844400000.0,46918900000.0,53605000000.0
EBIT,45575100000.0,36595500000.0,28911000000.0,34517800000.0
Net Interest Income,-773300000.0,-2667300000.0,-5257700000.0,-8674200000.0
Interest Expense,8605800000.0,7779100000.0,8353100000.0,8486400000.0
Interest Income,8547700000.0,5829300000.0,4863200000.0,1169200000.0
Normalized Income,26387179701.265644,18748421121.305923,22296128713.535915,8491940000.0
Net Income From Continuing And Discontinued Operation,26213600000.0,18540800000.0,13956800000.0,10925700000.0
Total Expenses,123270000000.0,111064700000.0,103222600000.0,91304400000.0
Rent Expense Supplemental,19200000.0,17200000.0,15000000.0,15700000.0
Diluted Average Shares,1386636609.0,1386636609.0,1386636609.0,1386636609.0
Basic Average Shares,1386636609.0,1386636609.0,1386636609.0,1386636609.0
Diluted EPS,18.904448,13.371059,10.28,7.879281
Basic EPS,18.904448,13.371059,10.28,7.879281
Diluted NI Availto Com Stockholders,26213600000.0,18540800000.0,13956800000.0,10925700000.0
Net Income Common Stockholders,26213600000.0,18540800000.0,13956800000.0,10925700000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,26213600000.0,18540800000.0,13956800000.0,10925700000.0
Minority Interests,-922500000.0,-134900000.0,-304200000.0,-230800000.0
Net Income Including Noncontrolling Interests,27136100000.0,18675700000.0,14261000000.0,11156500000.0
Net Income Continuous Operations,27136100000.0,18675700000.0,14260900000.0,11156500000.0
Tax Provision,9835600000.0,10143200000.0,6306700000.0,14880100000.0
Pretax Income,36969300000.0,28816400000.0,20557900000.0,26031400000.0
Other Non Operating Income Expenses,4882700000.0,12700600000.0,-20854300000.0,3071000000.0
Special Income Charges,-243500000.0,-320400000.0,-12029800000.0,3476800000.0
Other Special Charges,-1726200000.0,92600000.0,50300000.0,-3922500000.0
Write Off,19000000.0,0.0,11798800000.0,
Restructuring And Mergern Acquisition,1950700000.0,227800000.0,180700000.0,445700000.0
Net Non Operating Interest Income Expense,-773300000.0,-2667300000.0,-5257700000.0,-8674200000.0
Total Other Finance Cost,715200000.0,717500000.0,1767800000.0,1357000000.0
Interest Expense Non Operating,8605800000.0,7779100000.0,8353100000.0,8486400000.0
Interest Income Non Operating,8547700000.0,5829300000.0,4863200000.0,1169200000.0
Operating Income,29559600000.0,18948600000.0,58429800000.0,28148100000.0
Operating Expense,65074500000.0,65185800000.0,50128800000.0,52518300000.0
Other Operating Expenses,19853300000.0,24229800000.0,7672200000.0,8417900000.0
Depreciation And Amortization In Income Statement,18842700000.0,18248900000.0,18007900000.0,19087200000.0
Depreciation Income Statement,18842700000.0,18248900000.0,18007900000.0,19087200000.0
Selling General And Administration,1644200000.0,1524400000.0,1342500000.0,1876000000.0
Selling And Marketing Expense,154200000.0,87500000.0,131000000.0,532600000.0
General And Administrative Expense,1490000000.0,1436900000.0,1211500000.0,1343400000.0
Rent And Landing Fees,19200000.0,17200000.0,15000000.0,15700000.0
Gross Profit,98435800000.0,84134400000.0,108558600000.0,80666400000.0
Cost Of Revenue,54393800000.0,45878900000.0,53093800000.0,38786100000.0
Total Revenue,152829600000.0,130013300000.0,161652400000.0,119452500000.0
Operating Revenue,152829600000.0,130013300000.0,161652400000.0,119452500000.0
