,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-7034452.295467,-839094263.554584,3417255446.0081,37986150.094613,
Tax Rate For Calcs,0.284796,0.299324,0.275705,0.274665,
Normalized EBITDA,97444600000.0,86706500000.0,68194500000.0,133291600000.0,
Total Unusual Items,-24700000.0,-2803300000.0,12394600000.0,138300000.0,
Total Unusual Items Excluding Goodwill,-24700000.0,-2803300000.0,12394600000.0,138300000.0,
Net Income From Continuing Operation Net Minority Interest,65429100000.0,55760500000.0,56021400000.0,94293900000.0,
Reconciled Depreciation,4204200000.0,3594200000.0,3361800000.0,2877400000.0,
Reconciled Cost Of Revenue,109897400000.0,97944600000.0,78556400000.0,93308500000.0,
EBITDA,97419900000.0,83903200000.0,80589100000.0,133429900000.0,
EBIT,93215700000.0,80309000000.0,77218400000.0,130552500000.0,
Net Interest Income,9995700000.0,9556400000.0,4692600000.0,3898900000.0,
Interest Expense,1776800000.0,782400000.0,752300000.0,390600000.0,
Interest Income,11772500000.0,10338800000.0,5444900000.0,4289500000.0,
Normalized Income,65446765547.70454,57724705736.44542,47044055446.0081,94193586150.09462,
Net Income From Continuing And Discontinued Operation,65419800000.0,55750600000.0,56014600000.0,94287100000.0,
Total Expenses,161700600000.0,143600700000.0,119405900000.0,136249800000.0,
Rent Expense Supplemental,11100000.0,12200000.0,23100000.0,24600000.0,
Diluted Average Shares,8791817550.0,8791817550.0,8791817550.0,8792704383.0,
Basic Average Shares,8791817550.0,8791817550.0,8791817550.0,8792704383.0,
Diluted EPS,7.44,6.34,6.37,10.723333,
Basic EPS,7.44,6.34,6.37,10.723333,
Diluted NI Availto Com Stockholders,65419800000.0,55750600000.0,56014600000.0,94287100000.0,
Net Income Common Stockholders,65419800000.0,55750600000.0,56014600000.0,94287100000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,65419800000.0,55750600000.0,56014600000.0,94287100000.0,
Minority Interests,109500000.0,41900000.0,-11000000.0,5500000.0,
Net Income Including Noncontrolling Interests,65310300000.0,55708700000.0,56025600000.0,94281600000.0,
Net Income Discontinuous Operations,-9300000.0,-9900000.0,-6800000.0,-6800000.0,
Net Income Continuous Operations,65319600000.0,55718600000.0,56032400000.0,94288400000.0,
Tax Provision,26041400000.0,23804200000.0,21082100000.0,35750900000.0,
Pretax Income,91438900000.0,79526600000.0,76466100000.0,130161900000.0,
Other Non Operating Income Expenses,4132700000.0,3365800000.0,2160400000.0,2717500000.0,
Special Income Charges,-24700000.0,-2805500000.0,12345600000.0,-29100000.0,
Other Special Charges,24700000.0,2893100000.0,-12336700000.0,29100000.0,
Write Off,,,,,2000000.0
Impairment Of Capital Assets,0.0,-87600000.0,-8900000.0,,
Net Non Operating Interest Income Expense,9995700000.0,9556400000.0,4692600000.0,3898900000.0,
Interest Expense Non Operating,1776800000.0,782400000.0,752300000.0,390600000.0,
Interest Income Non Operating,11772500000.0,10338800000.0,5444900000.0,4289500000.0,
Operating Income,77307200000.0,69411600000.0,57205100000.0,123398100000.0,
Operating Expense,51803200000.0,45656100000.0,40849500000.0,42941300000.0,
Other Operating Expenses,24060000000.0,22258800000.0,19498500000.0,24584100000.0,
Depreciation And Amortization In Income Statement,4204200000.0,3594200000.0,3370700000.0,2877400000.0,
Amortization,1060900000.0,749700000.0,683700000.0,,
Depreciation Income Statement,3143300000.0,2844500000.0,2687000000.0,2877400000.0,
Research And Development,,,4427600000.0,5025900000.0,2582500000.0
Selling General And Administration,5559500000.0,3472600000.0,2596100000.0,2077100000.0,
Selling And Marketing Expense,5111700000.0,2979500000.0,2301300000.0,1831100000.0,
General And Administrative Expense,447800000.0,493100000.0,294800000.0,246000000.0,
Rent And Landing Fees,11100000.0,12200000.0,23100000.0,24600000.0,
Gross Profit,129110400000.0,115067700000.0,98054600000.0,166339400000.0,
Cost Of Revenue,109897400000.0,97944600000.0,78556400000.0,93308500000.0,
Total Revenue,239007800000.0,213012300000.0,176611000000.0,259647900000.0,
Operating Revenue,239007800000.0,213012300000.0,176611000000.0,259647900000.0,
