,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,428064.376287,-1339520.0,0.0,0.0,
Tax Rate For Calcs,0.285376,0.2912,0.0,0.0,
Normalized EBITDA,-17168900000.0,-12892900000.0,355600000.0,0.0,
Total Unusual Items,1500000.0,-4600000.0,0.0,0.0,
Total Unusual Items Excluding Goodwill,1500000.0,-4600000.0,0.0,0.0,
Net Income From Continuing Operation Net Minority Interest,-23737800000.0,-15603200000.0,0.0,0.0,
Reconciled Depreciation,9530400000.0,5806800000.0,355600000.0,0.0,
Reconciled Cost Of Revenue,86690600000.0,37143100000.0,0.0,0.0,
EBITDA,-17167400000.0,-12897500000.0,355600000.0,0.0,
EBIT,-26697800000.0,-18704300000.0,0.0,0.0,
Net Interest Income,-5891400000.0,-2892100000.0,0.0,0.0,
Interest Expense,6519400000.0,3305900000.0,0.0,0.0,
Interest Income,628000000.0,413800000.0,0.0,0.0,
Normalized Income,-23738871935.623714,-15599939520.0,0.0,0.0,
Net Income From Continuing And Discontinued Operation,-23737800000.0,-15603200000.0,0.0,0.0,
Total Expenses,112075300000.0,50326500000.0,0.0,0.0,
Rent Expense Supplemental,0.0,1000000.0,0.0,0.0,
Diluted Average Shares,2930605850.0,2930605850.0,2930605850.0,2930605850.0,
Basic Average Shares,2930605850.0,2930605850.0,2930605850.0,2930605850.0,
Diluted EPS,-8.1,-5.32,0.0,0.0,
Basic EPS,-8.1,-5.32,0.0,0.0,
Diluted NI Availto Com Stockholders,-23737800000.0,-15603200000.0,0.0,0.0,
Net Income Common Stockholders,-23737800000.0,-15603200000.0,0.0,0.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,-23737800000.0,-15603200000.0,0.0,0.0,
Net Income Including Noncontrolling Interests,-23737800000.0,-15603200000.0,0.0,0.0,
Net Income Discontinuous Operations,,0.0,0.0,0.0,0.0
Net Income Continuous Operations,-23737800000.0,-15603200000.0,0.0,0.0,
Tax Provision,-9479400000.0,-6407000000.0,0.0,0.0,
Pretax Income,-33217200000.0,-22010200000.0,0.0,0.0,
Other Non Operating Income Expenses,85600000.0,776800000.0,,,
Special Income Charges,0.0,-4600000.0,0.0,0.0,
Other Special Charges,,4600000.0,,,
Write Off,,0.0,0.0,0.0,
Net Non Operating Interest Income Expense,-5891400000.0,-2892100000.0,0.0,0.0,
Total Other Finance Cost,,,,,649.0
Interest Expense Non Operating,6519400000.0,3305900000.0,0.0,0.0,
Interest Income Non Operating,628000000.0,413800000.0,0.0,0.0,
Operating Income,-27044800000.0,-19836600000.0,0.0,0.0,
Operating Expense,25384700000.0,13183400000.0,0.0,0.0,
Other Operating Expenses,12231700000.0,6930100000.0,,,7900.0
Depreciation And Amortization In Income Statement,9530400000.0,5528000000.0,0.0,0.0,
Depreciation Income Statement,9530400000.0,5528000000.0,0.0,0.0,
Selling General And Administration,2673800000.0,151500000.0,,,65490.0
Selling And Marketing Expense,2348700000.0,65700000.0,0.0,0.0,
General And Administrative Expense,325100000.0,85800000.0,,,65490.0
Rent And Landing Fees,0.0,1000000.0,0.0,0.0,
Gross Profit,-1660100000.0,-6653200000.0,0.0,0.0,
Cost Of Revenue,86690600000.0,37143100000.0,0.0,0.0,
Total Revenue,85030500000.0,30489900000.0,0.0,0.0,
Operating Revenue,85030500000.0,30489900000.0,0.0,0.0,
