,2025-03-31,2024-03-31,2023-03-31
Tax Effect Of Unusual Items,820427008.0,696467275.0,633718480.0
Tax Rate For Calcs,0.2528,0.2305,0.2488
Normalized EBITDA,18708080000.0,12316630000.0,6194750000.0
Total Unusual Items,3245360000.0,3021550000.0,2547100000.0
Total Unusual Items Excluding Goodwill,3245360000.0,3021550000.0,2547100000.0
Net Income From Continuing Operation Net Minority Interest,9861750000.0,6253210000.0,3050910000.0
Reconciled Depreciation,970270000.0,1380070000.0,885820000.0
Reconciled Cost Of Revenue,13860810000.0,11007870000.0,9095940000.0
EBITDA,21953440000.0,15338180000.0,8741850000.0
EBIT,20983170000.0,13958110000.0,7856030000.0
Net Interest Income,8582050000.0,4545670000.0,2369850000.0
Interest Expense,7800090000.0,5838090000.0,3795090000.0
Interest Income,16801640000.0,10743170000.0,6333920000.0
Normalized Income,7436817008.0,3928127275.0,1137528480.0
Net Income From Continuing And Discontinued Operation,9861750000.0,6253210000.0,3050910000.0
Total Expenses,20177090000.0,16864810000.0,14193530000.0
Rent Expense Supplemental,223130000.0,156600000.0,116850000.0
Diluted Average Shares,183617897.0,179545481.0,175372285.0
Basic Average Shares,178230745.0,175681965.0,175372285.0
Diluted EPS,53.708,34.828,17.396763
Basic EPS,55.332,35.594,17.396763
Diluted NI Availto Com Stockholders,9861750000.0,6253210000.0,3050910000.0
Net Income Common Stockholders,9861750000.0,6253210000.0,3050910000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,9861750000.0,6253210000.0,3050910000.0
Minority Interests,11110000.0,4790000.0,220000.0
Net Income Including Noncontrolling Interests,9850640000.0,6248420000.0,3050690000.0
Net Income Continuous Operations,9850640000.0,6248420000.0,3050690000.0
Tax Provision,3332440000.0,1871600000.0,1010250000.0
Pretax Income,13183080000.0,8120020000.0,4060940000.0
Other Non Operating Income Expenses,56090000.0,14180000.0,103010000.0
Special Income Charges,-143640000.0,39220000.0,-38600000.0
Other Special Charges,-40470000.0,3810000.0,-43840000.0
Write Off,184110000.0,399770000.0,82440000.0
Restructuring And Mergern Acquisition,0.0,-442800000.0,0.0
Net Non Operating Interest Income Expense,8582050000.0,4545670000.0,2369850000.0
Total Other Finance Cost,419500000.0,359410000.0,168980000.0
Interest Expense Non Operating,7800090000.0,5838090000.0,3795090000.0
Interest Income Non Operating,16801640000.0,10743170000.0,6333920000.0
Operating Income,1218330000.0,519720000.0,-964000000.0
Operating Expense,6316280000.0,5856940000.0,5097590000.0
Other Operating Expenses,3189150000.0,2670490000.0,2469960000.0
Depreciation And Amortization In Income Statement,943700000.0,1364180000.0,885820000.0
Amortization,,,272430000.0
Depreciation Income Statement,943700000.0,1364180000.0,613390000.0
Selling General And Administration,1189450000.0,1045920000.0,1027560000.0
Selling And Marketing Expense,428480000.0,263170000.0,388510000.0
General And Administrative Expense,760970000.0,782750000.0,639050000.0
Rent And Landing Fees,223130000.0,156600000.0,116850000.0
Gross Profit,7534610000.0,6376660000.0,4133590000.0
Cost Of Revenue,13860810000.0,11007870000.0,9095940000.0
Total Revenue,21395420000.0,17384530000.0,13229530000.0
Operating Revenue,21395420000.0,17384530000.0,13229530000.0
