,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,4092480.0,4292930.0,-1223640000.0,-11944540.0
Tax Rate For Calcs,0.1764,0.2843,0.3,0.3698
Normalized EBITDA,13891100000.0,16556900000.0,12256700000.0,15420100000.0
Total Unusual Items,23200000.0,15100000.0,-4078800000.0,-32300000.0
Total Unusual Items Excluding Goodwill,23200000.0,15100000.0,-4078800000.0,-32300000.0
Net Income From Continuing Operation Net Minority Interest,218400000.0,1473700000.0,158600000.0,320800000.0
Reconciled Depreciation,8685100000.0,9186400000.0,9511300000.0,9179600000.0
Reconciled Cost Of Revenue,25912900000.0,24387900000.0,23482500000.0,19177400000.0
EBITDA,13914300000.0,16572000000.0,8177900000.0,15387800000.0
EBIT,5229200000.0,7385600000.0,-1333400000.0,6208200000.0
Net Interest Income,-4909800000.0,-5167000000.0,-5052200000.0,-5479300000.0
Interest Expense,4964100000.0,5326300000.0,5119000000.0,5699200000.0
Interest Income,54300000.0,159300000.0,66800000.0,219900000.0
Normalized Income,199292480.0,1462892930.0,3013760000.0,341155460.0
Net Income From Continuing And Discontinued Operation,218400000.0,1473700000.0,158600000.0,320800000.0
Total Expenses,96669400000.0,98332400000.0,100222500000.0,84741700000.0
Rent Expense Supplemental,3850600000.0,3682100000.0,3297200000.0,2721500000.0
Diluted Average Shares,357156153.0,357156153.0,357156153.0,346774033.0
Basic Average Shares,357156153.0,357156153.0,357156153.0,346774033.0
Diluted EPS,0.61,4.13,0.44,0.93
Basic EPS,0.61,4.13,0.44,0.93
Diluted NI Availto Com Stockholders,218400000.0,1473700000.0,158600000.0,320800000.0
Net Income Common Stockholders,218400000.0,1473700000.0,158600000.0,320800000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,218400000.0,1473700000.0,158600000.0,320800000.0
Net Income Including Noncontrolling Interests,218400000.0,1473700000.0,158600000.0,320800000.0
Net Income Continuous Operations,218400000.0,1473700000.0,158600000.0,320800000.0
Tax Provision,46700000.0,585600000.0,-6611000000.0,188200000.0
Pretax Income,265100000.0,2059300000.0,-6452400000.0,509000000.0
Other Non Operating Income Expenses,83600000.0,66000000.0,42100000.0,72200000.0
Special Income Charges,-5100000.0,15100000.0,-4078300000.0,-32800000.0
Other Special Charges,5100000.0,-18700000.0,4065000000.0,20400000.0
Write Off,0.0,3600000.0,13300000.0,12400000.0
Net Non Operating Interest Income Expense,-4909800000.0,-5167000000.0,-5052200000.0,-5479300000.0
Interest Expense Non Operating,4964100000.0,5326300000.0,5119000000.0,5699200000.0
Interest Income Non Operating,54300000.0,159300000.0,66800000.0,219900000.0
Operating Income,5040000000.0,7054300000.0,2667300000.0,5868900000.0
Operating Expense,70756500000.0,73944500000.0,76740000000.0,65564300000.0
Other Operating Expenses,22615800000.0,24460100000.0,30654700000.0,23399000000.0
Depreciation And Amortization In Income Statement,8685100000.0,9186400000.0,9511300000.0,9179600000.0
Amortization,889500000.0,853300000.0,1276000000.0,1232400000.0
Depreciation Income Statement,7795600000.0,8333100000.0,8235300000.0,7947200000.0
Selling General And Administration,30294100000.0,31504100000.0,30114600000.0,26897200000.0
Selling And Marketing Expense,29748200000.0,30878900000.0,29539800000.0,26372200000.0
General And Administrative Expense,545900000.0,625200000.0,574800000.0,525000000.0
Rent And Landing Fees,3850600000.0,3682100000.0,3297200000.0,2721500000.0
Gross Profit,75796500000.0,80998800000.0,79407300000.0,71433200000.0
Cost Of Revenue,25912900000.0,24387900000.0,23482500000.0,19177400000.0
Total Revenue,101709400000.0,105386700000.0,102889800000.0,90610600000.0
Operating Revenue,101709400000.0,105386700000.0,102889800000.0,90610600000.0
