,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,960000.0,10084250.0,3570350.0,0.0
Tax Rate For Calcs,0.3,0.3667,0.3535,0.1272
Normalized EBITDA,4986800000.0,3713300000.0,2826620000.0,1882350000.0
Total Unusual Items,3200000.0,27500000.0,10100000.0,0.0
Total Unusual Items Excluding Goodwill,3200000.0,27500000.0,10100000.0,0.0
Net Income From Continuing Operation Net Minority Interest,660800000.0,322600000.0,192620000.0,410750000.0
Reconciled Depreciation,2664000000.0,2242200000.0,1732540000.0,964120000.0
Reconciled Cost Of Revenue,45514100000.0,37209800000.0,29616890000.0,22168750000.0
EBITDA,4990000000.0,3740800000.0,2836720000.0,1882350000.0
EBIT,2326000000.0,1498500000.0,1104160000.0,918220000.0
Net Interest Income,-880000000.0,-637900000.0,-537580000.0,-259640000.0
Interest Expense,1051500000.0,808300000.0,720210000.0,445160000.0
Interest Income,201900000.0,197600000.0,218590000.0,213370000.0
Normalized Income,658560000.0,305184250.0,186090350.0,410750000.0
Net Income From Continuing And Discontinued Operation,660800000.0,322600000.0,192620000.0,410750000.0
Total Expenses,76728000000.0,62173800000.0,50336860000.0,36873190000.0
Rent Expense Supplemental,425700000.0,324600000.0,212860000.0,106350000.0
Diluted Average Shares,2862386454.0,2859762537.0,2861264549.0,2826231726.0
Basic Average Shares,2857778495.0,2853872558.0,2847489724.0,2793922596.0
Diluted EPS,0.23,0.11,0.07,0.15
Basic EPS,0.23,0.11,0.07,0.15
Diluted NI Availto Com Stockholders,660800000.0,322600000.0,192620000.0,410750000.0
Net Income Common Stockholders,660800000.0,322600000.0,192620000.0,410750000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,660800000.0,322600000.0,192620000.0,410750000.0
Minority Interests,-59900000.0,-74800000.0,-16990000.0,-2130000.0
Net Income Including Noncontrolling Interests,720700000.0,397400000.0,209610000.0,412880000.0
Net Income Continuous Operations,720700000.0,397400000.0,209610000.0,412880000.0
Tax Provision,537500000.0,253100000.0,135740000.0,60180000.0
Pretax Income,1274500000.0,690200000.0,383950000.0,473060000.0
Other Non Operating Income Expenses,1300000.0,39100000.0,42550000.0,40110000.0
Special Income Charges,3200000.0,27500000.0,10100000.0,0.0
Other Special Charges,-38400000.0,-27500000.0,-10100000.0,
Write Off,35200000.0,0.0,,
Net Non Operating Interest Income Expense,-880000000.0,-637900000.0,-537580000.0,-259640000.0
Total Other Finance Cost,30400000.0,27200000.0,35960000.0,27850000.0
Interest Expense Non Operating,1051500000.0,808300000.0,720210000.0,445160000.0
Interest Income Non Operating,201900000.0,197600000.0,218590000.0,213370000.0
Operating Income,2119000000.0,1226300000.0,837990000.0,676320000.0
Operating Expense,31213900000.0,24964000000.0,20719970000.0,14704440000.0
Other Operating Expenses,5502700000.0,4624700000.0,3798700000.0,2313900000.0
Depreciation And Amortization In Income Statement,2664000000.0,2242300000.0,1732560000.0,964130000.0
Amortization,342800000.0,243700000.0,172810000.0,129080000.0
Depreciation Income Statement,2321200000.0,1998600000.0,1559750000.0,835050000.0
Selling General And Administration,16510000000.0,12501800000.0,10202500000.0,8163890000.0
Selling And Marketing Expense,15905000000.0,11963000000.0,9722940000.0,7922360000.0
General And Administrative Expense,605000000.0,538800000.0,479560000.0,241530000.0
Rent And Landing Fees,425700000.0,324600000.0,212860000.0,106350000.0
Gross Profit,33332900000.0,26190300000.0,21557960000.0,15380760000.0
Cost Of Revenue,45514100000.0,37209800000.0,29616890000.0,22168750000.0
Total Revenue,78847000000.0,63400100000.0,51174850000.0,37549510000.0
Operating Revenue,78847000000.0,63400100000.0,51174850000.0,37549510000.0
