,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,188948623.005329,482555294.661913,49153748.190146,37111823.325616
Tax Rate For Calcs,0.244281,0.221805,0.143593,0.226421
Normalized EBITDA,32136943000.0,25058065000.0,23984556000.0,14629988000.0
Total Unusual Items,773488000.0,2175579000.0,342313000.0,163906000.0
Total Unusual Items Excluding Goodwill,773488000.0,2175579000.0,342313000.0,163906000.0
Net Income From Continuing Operation Net Minority Interest,22255137000.0,19266037000.0,19045471000.0,10470983000.0
Reconciled Depreciation,884568000.0,475187000.0,397512000.0,397829000.0
Reconciled Cost Of Revenue,18449798000.0,17936352000.0,18668678000.0,13453186000.0
EBITDA,32910431000.0,27233644000.0,24326869000.0,14793894000.0
EBIT,32025863000.0,26758457000.0,23929357000.0,14396065000.0
Net Interest Income,-1558153000.0,-1425838000.0,-1100757000.0,-475797000.0
Interest Expense,2576895000.0,2001104000.0,1690549000.0,860294000.0
Interest Income,1094192000.0,758603000.0,589792000.0,384497000.0
Normalized Income,21670597623.00533,17573013294.661915,18752311748.190147,10344188823.325617
Net Income From Continuing And Discontinued Operation,22255137000.0,19266037000.0,19045471000.0,10470983000.0
Total Expenses,22259677000.0,20970886000.0,21018592000.0,15367398000.0
Rent Expense Supplemental,45238000.0,39390000.0,19644000.0,9168000.0
Diluted Average Shares,363602237.0,363602237.0,363602237.0,363602237.0
Basic Average Shares,363602237.0,363602237.0,363602237.0,363602237.0
Diluted EPS,61.21,52.99,52.38,28.8
Basic EPS,61.21,52.99,52.38,28.8
Diluted NI Availto Com Stockholders,22255137000.0,19266037000.0,19045471000.0,10470983000.0
Net Income Common Stockholders,22255137000.0,19266037000.0,19045471000.0,10470983000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,22255137000.0,19266037000.0,19045471000.0,10470983000.0
Net Income Including Noncontrolling Interests,22255137000.0,19266037000.0,19045471000.0,10470983000.0
Net Income Continuous Operations,22255137000.0,19266037000.0,19045471000.0,10470983000.0
Tax Provision,7193831000.0,5491316000.0,3193337000.0,3064788000.0
Pretax Income,29448968000.0,24757353000.0,22238808000.0,13535771000.0
Other Non Operating Income Expenses,11344000.0,95155000.0,74040000.0,28987000.0
Special Income Charges,8357000.0,1844965000.0,-73000.0,-7119000.0
Other Special Charges,-8357000.0,-1844965000.0,73000.0,7119000.0
Net Non Operating Interest Income Expense,-1558153000.0,-1425838000.0,-1100757000.0,-475797000.0
Total Other Finance Cost,75450000.0,183337000.0,,
Interest Expense Non Operating,2576895000.0,2001104000.0,1690549000.0,860294000.0
Interest Income Non Operating,1094192000.0,758603000.0,589792000.0,384497000.0
Operating Income,30145955000.0,23823951000.0,20719259000.0,11423049000.0
Operating Expense,3809879000.0,3034534000.0,2349914000.0,1914212000.0
Other Operating Expenses,1783322000.0,1153183000.0,945188000.0,824121000.0
Depreciation And Amortization In Income Statement,884568000.0,475187000.0,397512000.0,397829000.0
Amortization,7069000.0,8017000.0,8222000.0,6970000.0
Depreciation Income Statement,877499000.0,467170000.0,389290000.0,390859000.0
Selling General And Administration,730630000.0,494711000.0,387022000.0,214500000.0
Selling And Marketing Expense,486749000.0,296928000.0,168393000.0,103346000.0
General And Administrative Expense,243881000.0,197783000.0,218629000.0,111154000.0
Rent And Landing Fees,45238000.0,39390000.0,19644000.0,9168000.0
Gross Profit,33955834000.0,26858485000.0,23069173000.0,13337261000.0
Cost Of Revenue,18449798000.0,17936352000.0,18668678000.0,13453186000.0
Total Revenue,52405632000.0,44794837000.0,41737851000.0,26790447000.0
Operating Revenue,52405632000.0,44794837000.0,41737851000.0,26790447000.0
