,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-4862290234.760391,-7756541814.917855,-1881738600.854542,-1932197321.088917,
Tax Rate For Calcs,0.253994,0.210884,0.250268,0.252608,
Normalized EBITDA,146353300000.0,155690600000.0,166565400000.0,123623000000.0,
Total Unusual Items,-19143300000.0,-36781100000.0,-7518900000.0,-7649000000.0,
Total Unusual Items Excluding Goodwill,-19143300000.0,-36781100000.0,-7518900000.0,-7649000000.0,
Net Income From Continuing Operation Net Minority Interest,65509300000.0,63351000000.0,87285900000.0,56216300000.0,
Reconciled Depreciation,23182300000.0,21289800000.0,19469400000.0,18244800000.0,
Reconciled Cost Of Revenue,105361400000.0,101416600000.0,106336100000.0,97092000000.0,
EBITDA,127210000000.0,118909500000.0,159046500000.0,115974000000.0,
EBIT,104027700000.0,97619700000.0,139577100000.0,97729200000.0,
Net Interest Income,-1766400000.0,-3696300000.0,-4195600000.0,-4924200000.0,
Interest Expense,9663400000.0,9160600000.0,8138300000.0,7827000000.0,
Interest Income,7897000000.0,5464300000.0,3942700000.0,2902800000.0,
Normalized Income,79790309765.23961,92375558185.08214,92923061399.14546,61933102678.91108,
Net Income From Continuing And Discontinued Operation,65509300000.0,63351000000.0,87285900000.0,56216300000.0,
Total Expenses,214317600000.0,204680100000.0,212984900000.0,159138400000.0,
Diluted Average Shares,1626607791.0,1626607791.0,1626607791.0,1626607791.0,
Basic Average Shares,1626607791.0,1626607791.0,1626607791.0,1626607791.0,
Diluted EPS,40.27,38.95,53.66,34.56,
Basic EPS,40.27,38.95,53.66,34.56,
Diluted NI Availto Com Stockholders,65509300000.0,63351000000.0,87285900000.0,56216300000.0,
Net Income Common Stockholders,65509300000.0,63351000000.0,87285900000.0,56216300000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,65509300000.0,63351000000.0,87285900000.0,56216300000.0,
Minority Interests,-4887000000.0,-6453500000.0,-11258000000.0,-10975900000.0,
Net Income Including Noncontrolling Interests,70396300000.0,69804500000.0,98543900000.0,67192200000.0,
Net Income Discontinuous Operations,0.0,0.0,0.0,0.0,
Net Income Continuous Operations,70396300000.0,69804500000.0,98543900000.0,67192200000.0,
Tax Provision,23968000000.0,18654600000.0,32894900000.0,22710000000.0,
Pretax Income,94364300000.0,88459100000.0,131438800000.0,89902200000.0,
Other Non Operating Income Expenses,2998600000.0,1724500000.0,1347900000.0,1801800000.0,
Special Income Charges,-19811900000.0,-37193800000.0,-7803300000.0,-7774800000.0,
Other Special Charges,,23655600000.0,,-1496800000.0,4490300000.0
Write Off,13115300000.0,8760200000.0,931100000.0,899500000.0,
Impairment Of Capital Assets,6696600000.0,4778000000.0,6872200000.0,8372100000.0,
Net Non Operating Interest Income Expense,-1766400000.0,-3696300000.0,-4195600000.0,-4924200000.0,
Total Other Finance Cost,,,555500000.0,553800000.0,
Interest Expense Non Operating,9663400000.0,9160600000.0,8138300000.0,7827000000.0,
Interest Income Non Operating,7897000000.0,5464300000.0,3942700000.0,2902800000.0,
Operating Income,110779000000.0,119978000000.0,147854100000.0,97387500000.0,
Operating Expense,108956200000.0,103263500000.0,106648800000.0,62046400000.0,
Other Operating Expenses,83705100000.0,77907200000.0,79158500000.0,41179600000.0,
Selling General And Administration,2947900000.0,2986400000.0,3650600000.0,2863900000.0,
General And Administrative Expense,2947900000.0,2986400000.0,3650600000.0,2863900000.0,
Gross Profit,219735200000.0,223241500000.0,254502900000.0,159433900000.0,
Cost Of Revenue,105361400000.0,101416600000.0,106336100000.0,97092000000.0,
Total Revenue,325096600000.0,324658100000.0,360839000000.0,256525900000.0,
Operating Revenue,325096600000.0,324658100000.0,360839000000.0,256525900000.0,
