,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-7406361.10298,0.0,-29040694.583313,-8258434.08022,
Tax Rate For Calcs,0.259063,0.256419,0.25203,0.324051,
Normalized EBITDA,2763189000.0,1855074000.0,1529862000.0,890247000.0,
Total Unusual Items,0.0,-57000000.0,-115227000.0,-25485000.0,
Total Unusual Items Excluding Goodwill,-28589000.0,-57000000.0,-115227000.0,-25485000.0,
Net Income From Continuing Operation Net Minority Interest,1388865000.0,768334000.0,655945000.0,353514000.0,
Reconciled Depreciation,372817000.0,366766000.0,331135000.0,293150000.0,
Reconciled Cost Of Revenue,13413972000.0,8242244000.0,8525023000.0,4411449000.0,
EBITDA,2763189000.0,1855074000.0,1414635000.0,864762000.0,
EBIT,2390372000.0,1488308000.0,1083500000.0,571612000.0,
Net Interest Income,-511534000.0,-343872000.0,-220264000.0,-25790000.0,
Interest Expense,511534000.0,430532000.0,189171000.0,48552000.0,
Interest Income,,86660000.0,94008000.0,67004000.0,108052000.0
Normalized Income,1388865000.0,810718109.679176,742131305.416687,370740565.91978,
Net Income From Continuing And Discontinued Operation,1388865000.0,768334000.0,655945000.0,353514000.0,
Total Expenses,15785693000.0,10164514000.0,9699424000.0,5371549000.0,
Rent Expense Supplemental,,32652000.0,26551000.0,17605000.0,17589000.0
Diluted Average Shares,82080737.0,82086966.0,82080737.0,82080737.0,
Basic Average Shares,82084220.0,82080737.0,82080737.0,82080737.0,
Diluted EPS,16.92,9.36,7.99,4.31,
Basic EPS,16.92,9.36,7.99,4.31,
Diluted NI Availto Com Stockholders,1388865000.0,768334000.0,655945000.0,353514000.0,
Net Income Common Stockholders,1388865000.0,768334000.0,655945000.0,353514000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,1388865000.0,768334000.0,655945000.0,353514000.0,
Minority Interests,-3235000.0,-18208000.0,-12986000.0,-48000.0,
Net Income Including Noncontrolling Interests,1392100000.0,786542000.0,668931000.0,353562000.0,
Net Income Continuous Operations,1392100000.0,786542000.0,668931000.0,353562000.0,
Tax Provision,486738000.0,271234000.0,225398000.0,169498000.0,
Pretax Income,1878838000.0,1057776000.0,894329000.0,523060000.0,
Other Non Operating Income Expenses,123170000.0,1001000.0,66000.0,510000.0,
Special Income Charges,0.0,0.0,-115227000.0,-25485000.0,
Other Special Charges,,168000.0,-95000.0,-96000.0,251000.0
Write Off,12972000.0,56832000.0,115322000.0,0.0,
Restructuring And Mergern Acquisition,,,0.0,25581000.0,0.0
Net Non Operating Interest Income Expense,-511534000.0,-430532000.0,-220264000.0,-25790000.0,
Total Other Finance Cost,,162562000.0,125101000.0,44242000.0,49362000.0
Interest Expense Non Operating,511534000.0,430532000.0,189171000.0,48552000.0,
Interest Income Non Operating,106020000.0,86660000.0,94008000.0,67004000.0,
Operating Income,2233275000.0,1349334000.0,1196905000.0,553242000.0,
Operating Expense,1819279000.0,1452192000.0,1174401000.0,960100000.0,
Other Operating Expenses,1073321000.0,252436000.0,162766000.0,208865000.0,
Depreciation And Amortization In Income Statement,372817000.0,366766000.0,331135000.0,293150000.0,
Amortization,,28468000.0,30987000.0,21820000.0,17228000.0
Depreciation Income Statement,372817000.0,366766000.0,300148000.0,271330000.0,
Selling General And Administration,145288000.0,134548000.0,136008000.0,112788000.0,
Selling And Marketing Expense,,69462000.0,63975000.0,73511000.0,42020000.0
General And Administrative Expense,,65086000.0,72033000.0,39277000.0,29235000.0
Rent And Landing Fees,24112000.0,32652000.0,26551000.0,17605000.0,
Gross Profit,4087642000.0,3299110000.0,2371306000.0,1513342000.0,
Cost Of Revenue,13413972000.0,8242244000.0,8525023000.0,4411449000.0,
Total Revenue,17982229000.0,11541354000.0,10896329000.0,5924791000.0,
Operating Revenue,18018968000.0,11541354000.0,10896329000.0,5924791000.0,
