,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,683124.367067,2337314.051553,566894.208307,4267312.986405,
Tax Rate For Calcs,0.254897,0.247597,0.246476,0.243013,
Normalized EBITDA,11239160000.0,8912770000.0,8772430000.0,8046850000.0,
Total Unusual Items,2680000.0,9440000.0,2300000.0,17560000.0,
Total Unusual Items Excluding Goodwill,2680000.0,9440000.0,2300000.0,17560000.0,
Net Income From Continuing Operation Net Minority Interest,7291420000.0,5691930000.0,5712490000.0,5365310000.0,
Reconciled Depreciation,992270000.0,903710000.0,780880000.0,654730000.0,
Reconciled Cost Of Revenue,23842580000.0,23221550000.0,23296450000.0,19071190000.0,
EBITDA,11241840000.0,8922210000.0,8774730000.0,8064410000.0,
EBIT,10249570000.0,8013930000.0,7993850000.0,7409680000.0,
Net Interest Income,-17480000.0,-235580000.0,-368300000.0,-191010000.0,
Interest Expense,463780000.0,448930000.0,412820000.0,321960000.0,
Interest Income,446300000.0,213350000.0,44520000.0,145000000.0,
Normalized Income,7289423124.367067,5684827314.051553,5710756894.208307,5352017312.986405,
Net Income From Continuing And Discontinued Operation,7291420000.0,5691930000.0,5712490000.0,5365310000.0,
Total Expenses,39423610000.0,37743630000.0,38903270000.0,30020910000.0,
Rent Expense Supplemental,34900000.0,15380000.0,16320000.0,4470000.0,
Diluted Average Shares,11153874.0,11153874.0,11153874.0,11153874.0,
Basic Average Shares,11153874.0,11153874.0,11153874.0,11153874.0,
Diluted EPS,653.71,510.31,512.15,481.03,
Basic EPS,653.71,510.31,512.15,481.03,
Diluted NI Availto Com Stockholders,7291420000.0,5691930000.0,5712490000.0,5365310000.0,
Net Income Common Stockholders,7291420000.0,5691930000.0,5712490000.0,5365310000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,7291420000.0,5691930000.0,5712490000.0,5365310000.0,
Net Income Including Noncontrolling Interests,7291420000.0,5691930000.0,5712490000.0,5365310000.0,
Net Income Continuous Operations,7291420000.0,5691930000.0,5712490000.0,5365310000.0,
Tax Provision,2494370000.0,1873070000.0,1868540000.0,1722410000.0,
Pretax Income,9785790000.0,7565000000.0,7581030000.0,7087720000.0,
Other Non Operating Income Expenses,65560000.0,46740000.0,29080000.0,11520000.0,
Special Income Charges,2680000.0,9440000.0,2300000.0,17560000.0,
Other Special Charges,-2680000.0,-9440000.0,-2300000.0,-17560000.0,
Net Non Operating Interest Income Expense,-17480000.0,-235580000.0,-368300000.0,-191010000.0,
Total Other Finance Cost,,,12810000.0,14050000.0,5870000.0
Interest Expense Non Operating,463780000.0,448930000.0,412820000.0,321960000.0,
Interest Income Non Operating,446300000.0,213350000.0,44520000.0,145000000.0,
Operating Income,9706950000.0,7727310000.0,7880120000.0,7231350000.0,
Operating Expense,15581030000.0,14522080000.0,15606820000.0,10949720000.0,
Other Operating Expenses,2415750000.0,2138250000.0,3335590000.0,2755270000.0,
Depreciation And Amortization In Income Statement,992270000.0,908280000.0,780880000.0,654730000.0,
Amortization,15010000.0,8670000.0,7810000.0,7030000.0,
Depreciation Income Statement,977260000.0,899610000.0,773070000.0,647700000.0,
Selling General And Administration,4141170000.0,3639580000.0,2978530000.0,1940620000.0,
Selling And Marketing Expense,3186270000.0,2921460000.0,2629320000.0,1661550000.0,
General And Administrative Expense,954900000.0,718120000.0,349210000.0,279070000.0,
Rent And Landing Fees,34900000.0,15380000.0,16320000.0,4470000.0,
Gross Profit,25287980000.0,22249390000.0,23486940000.0,18181070000.0,
Cost Of Revenue,23842580000.0,23221550000.0,23296450000.0,19071190000.0,
Total Revenue,49130560000.0,45470940000.0,46783390000.0,37252260000.0,
Operating Revenue,49130560000.0,45470940000.0,46783390000.0,37252260000.0,
