,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,109728954.226909,134214368.613391,16749130.018941,-1368331.582776,
Tax Rate For Calcs,0.246199,0.278218,0.248117,0.249513,
Normalized EBITDA,20784149000.0,13337735000.0,13758969000.0,15399370000.0,
Total Unusual Items,445693000.0,482408000.0,67505000.0,-5484000.0,
Total Unusual Items Excluding Goodwill,445693000.0,482408000.0,67505000.0,-5484000.0,
Net Income From Continuing Operation Net Minority Interest,13007064000.0,7651509000.0,8864411000.0,8063089000.0,
Reconciled Depreciation,2465535000.0,2456112000.0,1567032000.0,1330659000.0,
Reconciled Cost Of Revenue,296428326000.0,286060764000.0,288690519000.0,218091753000.0,
EBITDA,20427155000.0,13820143000.0,13826474000.0,15393886000.0,
EBIT,17961620000.0,11364031000.0,12259442000.0,14063227000.0,
Net Interest Income,-364074000.0,-760073000.0,-65650000.0,-3243393000.0,
Interest Expense,706329000.0,763179000.0,469829000.0,3319412000.0,
Interest Income,583925000.0,1215317000.0,2381722000.0,341652000.0,
Normalized Income,13007064000.0,7303315368.613391,8813655130.018942,8067204668.417224,
Net Income From Continuing And Discontinued Operation,13007064000.0,7651509000.0,8864411000.0,8063089000.0,
Total Expenses,324109813000.0,305796687000.0,301004929000.0,225559069000.0,
Rent Expense Supplemental,606941000.0,604124000.0,432846000.0,279491000.0,
Diluted Average Shares,1088053620.0,1085857416.0,1083580734.0,887294118.0,
Basic Average Shares,1085784183.0,1085755656.0,1083580734.0,887294118.0,
Diluted EPS,11.98,7.046667,8.18,9.086667,
Basic EPS,11.98,7.046667,8.18,9.086667,
Diluted NI Availto Com Stockholders,13007064000.0,7651509000.0,8864411000.0,8063089000.0,
Net Income Common Stockholders,13007064000.0,7651509000.0,8864411000.0,8063089000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,13007064000.0,7651509000.0,8864411000.0,8063089000.0,
Minority Interests,0.0,,,,
Net Income Including Noncontrolling Interests,13007064000.0,7651509000.0,8864411000.0,8063089000.0,
Net Income Continuous Operations,13007064000.0,7651509000.0,8864411000.0,8063089000.0,
Tax Provision,4248227000.0,2949343000.0,2925202000.0,2680726000.0,
Pretax Income,17255291000.0,10600852000.0,11789613000.0,10743815000.0,
Other Non Operating Income Expenses,76331000.0,224853000.0,293857000.0,72316000.0,
Special Income Charges,-212773000.0,-360390000.0,67505000.0,-15096000.0,
Other Special Charges,-5519000.0,-9687000.0,-80059000.0,-23817000.0,
Write Off,-100000.0,137925000.0,-16714000.0,2297000.0,
Impairment Of Capital Assets,218392000.0,232152000.0,29268000.0,36616000.0,
Net Non Operating Interest Income Expense,-364074000.0,-760073000.0,-65650000.0,-3243393000.0,
Total Other Finance Cost,241670000.0,1212211000.0,1977543000.0,265633000.0,
Interest Expense Non Operating,706329000.0,763179000.0,469829000.0,3319412000.0,
Interest Income Non Operating,583925000.0,1215317000.0,2381722000.0,341652000.0,
Operating Income,17271748000.0,10792777000.0,11672175000.0,13624378000.0,
Operating Expense,27681487000.0,19735923000.0,12314410000.0,7467316000.0,
Other Operating Expenses,5429985000.0,3433512000.0,2947276000.0,1295380000.0,
Depreciation And Amortization In Income Statement,2465526000.0,2456112000.0,1567032000.0,1330659000.0,
Amortization,161350000.0,115534000.0,88554000.0,7257000.0,
Depreciation Income Statement,2304176000.0,2340578000.0,1478478000.0,1323402000.0,
Selling General And Administration,14439159000.0,10947262000.0,7634599000.0,5866280000.0,
Selling And Marketing Expense,,10482706000.0,7258110000.0,5589242000.0,3789606000.0
General And Administrative Expense,574677000.0,464556000.0,376489000.0,277038000.0,
Gross Profit,44953235000.0,30528700000.0,23986585000.0,21091694000.0,
Cost Of Revenue,296428326000.0,286060764000.0,288690519000.0,218091753000.0,
Total Revenue,341381561000.0,316589464000.0,312677104000.0,239183447000.0,
Operating Revenue,341381561000.0,316589464000.0,312677104000.0,239183447000.0,
