,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,2713800000.0,-492900000.0,142200000.0,-61200000.0
Tax Rate For Calcs,0.3,0.3,0.3,0.3
Normalized EBITDA,-8709000000.0,-4661000000.0,-12817000000.0,-20804000000.0
Total Unusual Items,9147000000.0,-1643000000.0,474000000.0,-180000000.0
Total Unusual Items Excluding Goodwill,9046000000.0,-1643000000.0,474000000.0,-204000000.0
Net Income From Continuing Operation Net Minority Interest,-6587000000.0,-14170000000.0,-17759000000.0,-23929000000.0
Reconciled Depreciation,6726000000.0,7357000000.0,4853000000.0,2473000000.0
Reconciled Cost Of Revenue,51239000000.0,69158000000.0,58794000000.0,56856000000.0
EBITDA,438000000.0,-6304000000.0,-12343000000.0,-20984000000.0
EBIT,-6288000000.0,-13661000000.0,-17196000000.0,-23457000000.0
Net Interest Income,2163000000.0,4354000000.0,2978000000.0,2194000000.0
Interest Expense,164000000.0,243000000.0,233000000.0,394000000.0
Interest Income,5532000000.0,4614000000.0,3214000000.0,2613000000.0
Normalized Income,-12818200000.0,-13019900000.0,-18090800000.0,-23762200000.0
Net Income From Continuing And Discontinued Operation,-6587000000.0,-14170000000.0,-17759000000.0,-23929000000.0
Total Expenses,85438000000.0,114981000000.0,99957000000.0,74987000000.0
Rent Expense Supplemental,37000000.0,59000000.0,67000000.0,100000000.0
Diluted Average Shares,636716095.0,634531390.0,645793553.0,621763714.0
Basic Average Shares,636716095.0,634531390.0,645793553.0,621763714.0
Diluted EPS,-10.35,-22.33,-27.0,-38.0
Basic EPS,-10.35,-22.33,-27.0,-38.0
Diluted NI Availto Com Stockholders,-6587000000.0,-14170000000.0,-17759000000.0,-23929000000.0
Net Income Common Stockholders,-6587000000.0,-14170000000.0,-17759000000.0,-23929000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,-6587000000.0,-14170000000.0,-17759000000.0,-23929000000.0
Minority Interests,45000000.0,54000000.0,6000000.0,35000000.0
Net Income Including Noncontrolling Interests,-6632000000.0,-14224000000.0,-17765000000.0,-23964000000.0
Net Income Continuous Operations,-6632000000.0,-14224000000.0,-17765000000.0,-23964000000.0
Tax Provision,180000000.0,320000000.0,336000000.0,113000000.0
Pretax Income,-6452000000.0,-13904000000.0,-17429000000.0,-23851000000.0
Other Non Operating Income Expenses,350000000.0,306000000.0,149000000.0,47000000.0
Special Income Charges,7686000000.0,-2424000000.0,-135000000.0,-419000000.0
Other Special Charges,-8539000000.0,27000000.0,-25000000.0,-7000000.0
Write Off,748000000.0,2393000000.0,143000000.0,391000000.0
Impairment Of Capital Assets,4000000.0,4000000.0,17000000.0,11000000.0
Net Non Operating Interest Income Expense,2163000000.0,4354000000.0,2978000000.0,2194000000.0
Total Other Finance Cost,3205000000.0,17000000.0,3000000.0,25000000.0
Interest Expense Non Operating,164000000.0,243000000.0,233000000.0,394000000.0
Interest Income Non Operating,5532000000.0,4614000000.0,3214000000.0,2613000000.0
Operating Income,-18030000000.0,-16282000000.0,-20913000000.0,-25362000000.0
Operating Expense,34199000000.0,45823000000.0,41163000000.0,18131000000.0
Other Operating Expenses,11783000000.0,13058000000.0,9701000000.0,5631000000.0
Depreciation And Amortization In Income Statement,6726000000.0,7357000000.0,4853000000.0,2473000000.0
Amortization,191000000.0,228000000.0,98000000.0,86000000.0
Depreciation Income Statement,6535000000.0,7129000000.0,4755000000.0,2387000000.0
Selling General And Administration,7963000000.0,10460000000.0,11896000000.0,10044000000.0
Selling And Marketing Expense,6594000000.0,9220000000.0,10764000000.0,8554000000.0
General And Administrative Expense,1369000000.0,1240000000.0,1132000000.0,1490000000.0
Rent And Landing Fees,37000000.0,59000000.0,67000000.0,100000000.0
Gross Profit,16169000000.0,29541000000.0,20250000000.0,-7231000000.0
Cost Of Revenue,51239000000.0,69158000000.0,58794000000.0,56856000000.0
Total Revenue,67408000000.0,98699000000.0,79044000000.0,49625000000.0
Operating Revenue,67408000000.0,98699000000.0,79044000000.0,49625000000.0
