,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,44547400.0,41550630.0,46737020.0,-554400.0,
Tax Rate For Calcs,0.2468,0.2739,0.2398,0.198,
Normalized EBITDA,8020000000.0,10557800000.0,7522100000.0,6813000000.0,
Total Unusual Items,5727700000.0,151700000.0,194900000.0,-2800000.0,
Total Unusual Items Excluding Goodwill,180500000.0,151700000.0,194900000.0,-2800000.0,
Net Income From Continuing Operation Net Minority Interest,4346000000.0,4909400000.0,4418000000.0,4260200000.0,
Reconciled Depreciation,3456800000.0,2172600000.0,1367400000.0,1208900000.0,
Reconciled Cost Of Revenue,59826300000.0,46274000000.0,44803100000.0,32620900000.0,
EBITDA,13747700000.0,10709500000.0,7717000000.0,6810200000.0,
EBIT,10290900000.0,8536900000.0,6349600000.0,5601300000.0,
Net Interest Income,-4503500000.0,-1739600000.0,-505800000.0,-225900000.0,
Interest Expense,4520300000.0,1773600000.0,532800000.0,285600000.0,
Interest Income,105600000.0,68200000.0,28300000.0,65000000.0,
Normalized Income,9757247400.0,4799250630.0,4269837020.0,4262445600.0,
Net Income From Continuing And Discontinued Operation,4346000000.0,4909400000.0,4418000000.0,4260200000.0,
Total Expenses,74158800000.0,56118400000.0,51667100000.0,39054300000.0,
Rent Expense Supplemental,183100000.0,108600000.0,103700000.0,81000000.0,
Diluted Average Shares,378571429.0,377646154.0,377462604.0,360554940.0,
Basic Average Shares,377462604.0,377462604.0,377462604.0,360554940.0,
Diluted EPS,11.48,13.0,11.7,11.81,
Basic EPS,11.51,13.0,11.7,11.81,
Diluted NI Availto Com Stockholders,4346000000.0,4909400000.0,4418000000.0,4260200000.0,
Net Income Common Stockholders,4346000000.0,4909400000.0,4418000000.0,4260200000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,4346000000.0,4909400000.0,4418000000.0,4260200000.0,
Minority Interests,-700000.0,-1700000.0,-3900000.0,-3200000.0,
Net Income Including Noncontrolling Interests,4346700000.0,4911100000.0,4421900000.0,4263400000.0,
Net Income Continuous Operations,4346700000.0,4911100000.0,4421900000.0,4263400000.0,
Tax Provision,1423900000.0,1852200000.0,1394900000.0,1052300000.0,
Pretax Income,5770600000.0,6763300000.0,5816800000.0,5315700000.0,
Other Non Operating Income Expenses,70400000.0,41900000.0,14900000.0,49300000.0,
Special Income Charges,25000000.0,2900000.0,-200000.0,-97500000.0,
Other Special Charges,,-2900000.0,200000.0,3900000.0,-14100000.0
Write Off,1700000.0,0.0,0.0,93600000.0,
Restructuring And Mergern Acquisition,-5542000000.0,0.0,,,
Net Non Operating Interest Income Expense,-4503500000.0,-1739600000.0,-505800000.0,-225900000.0,
Total Other Finance Cost,88800000.0,34200000.0,1300000.0,5300000.0,
Interest Expense Non Operating,4520300000.0,1773600000.0,532800000.0,285600000.0,
Interest Income Non Operating,105600000.0,68200000.0,28300000.0,65000000.0,
Operating Income,9401600000.0,7752600000.0,5851300000.0,5196000000.0,
Operating Expense,14332500000.0,9844400000.0,6864000000.0,6433400000.0,
Other Operating Expenses,4639200000.0,3337900000.0,2210500000.0,1960900000.0,
Depreciation And Amortization In Income Statement,3456800000.0,2172600000.0,1367400000.0,1208900000.0,
Amortization,925100000.0,156000000.0,1100000.0,1900000.0,
Depreciation Income Statement,2531700000.0,2016600000.0,1366300000.0,1207000000.0,
Research And Development,,,,93800000.0,90200000.0
Selling General And Administration,2204300000.0,1813700000.0,1312300000.0,1627300000.0,
Selling And Marketing Expense,2034200000.0,1707700000.0,1229500000.0,1556100000.0,
General And Administrative Expense,170100000.0,106000000.0,82800000.0,71200000.0,
Rent And Landing Fees,183100000.0,108600000.0,103700000.0,81000000.0,
Gross Profit,23734100000.0,17597000000.0,12715300000.0,11629400000.0,
Cost Of Revenue,59826300000.0,46274000000.0,44803100000.0,32620900000.0,
Total Revenue,83560400000.0,63871000000.0,57518400000.0,44250300000.0,
Operating Revenue,83560400000.0,63871000000.0,57518400000.0,44250300000.0,
