,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,477109959.891522,237487967.44418,-46558659.0,38744548.0
Tax Rate For Calcs,0.231655,0.244621,0.2577,0.2531
Normalized EBITDA,19903900000.0,17066220000.0,15781540000.0,10868180000.0
Total Unusual Items,2059570000.0,970840000.0,-180670000.0,153080000.0
Total Unusual Items Excluding Goodwill,2059570000.0,970840000.0,-180670000.0,153080000.0
Net Income From Continuing Operation Net Minority Interest,14001610000.0,10934910000.0,9210930000.0,6903860000.0
Reconciled Depreciation,3069100000.0,3093730000.0,2718950000.0,1660120000.0
Reconciled Cost Of Revenue,86605010000.0,72168640000.0,59652230000.0,41695630000.0
EBITDA,21963470000.0,18037060000.0,15600870000.0,11021260000.0
EBIT,18894370000.0,14943330000.0,12881920000.0,9361140000.0
Net Interest Income,-114870000.0,95180000.0,39230000.0,481870000.0
Interest Expense,671290000.0,467270000.0,473400000.0,118350000.0
Interest Income,556420000.0,562450000.0,512630000.0,600220000.0
Normalized Income,12419149959.891521,10201557967.44418,9345041341.0,6789524548.0
Net Income From Continuing And Discontinued Operation,14001610000.0,10934910000.0,9210930000.0,6903860000.0
Total Expenses,103306790000.0,85184070000.0,70918850000.0,48906200000.0
Rent Expense Supplemental,143410000.0,145930000.0,147450000.0,101880000.0
Diluted Average Shares,155166164.0,153871858.0,152850000.0,152850000.0
Basic Average Shares,153487571.0,150952418.0,148887386.0,152850000.0
Diluted EPS,90.24,71.07,60.26,45.17
Basic EPS,91.22,72.44,61.87,45.17
Diluted NI Availto Com Stockholders,14001610000.0,10934910000.0,9210930000.0,6903860000.0
Net Income Common Stockholders,14001610000.0,10934910000.0,9210930000.0,6903860000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,14001610000.0,10934910000.0,9210930000.0,6903860000.0
Net Income Including Noncontrolling Interests,14001610000.0,10934910000.0,9210930000.0,6903860000.0
Net Income Continuous Operations,14001610000.0,10934910000.0,9210930000.0,6903860000.0
Tax Provision,4221470000.0,3541150000.0,3197590000.0,2338930000.0
Pretax Income,18223080000.0,14476060000.0,12408520000.0,9242790000.0
Other Non Operating Income Expenses,108820000.0,293270000.0,96130000.0,137170000.0
Special Income Charges,1566810000.0,681730000.0,-377190000.0,-201220000.0
Other Special Charges,-104990000.0,-22640000.0,294860000.0,-12450000.0
Write Off,0.0,83940000.0,82330000.0,213670000.0
Restructuring And Mergern Acquisition,-1461820000.0,-743030000.0,0.0,
Net Non Operating Interest Income Expense,-114870000.0,95180000.0,39230000.0,481870000.0
Interest Expense Non Operating,671290000.0,467270000.0,473400000.0,118350000.0
Interest Income Non Operating,556420000.0,562450000.0,512630000.0,600220000.0
Operating Income,16080380000.0,13031800000.0,12587070000.0,8201260000.0
Operating Expense,16701780000.0,13015430000.0,11266620000.0,7210570000.0
Other Operating Expenses,3975370000.0,3416390000.0,2680320000.0,1342720000.0
Depreciation And Amortization In Income Statement,3069100000.0,3093730000.0,2718950000.0,1660120000.0
Amortization,1227300000.0,1254720000.0,1225940000.0,651500000.0
Depreciation Income Statement,1841800000.0,1839010000.0,1493010000.0,1008620000.0
Selling General And Administration,2065240000.0,1444110000.0,1304410000.0,1067820000.0
Selling And Marketing Expense,208280000.0,193070000.0,217160000.0,90560000.0
General And Administrative Expense,1856960000.0,1251040000.0,1087250000.0,977260000.0
Rent And Landing Fees,143410000.0,145930000.0,147450000.0,101880000.0
Gross Profit,32782160000.0,26047230000.0,23853690000.0,15411830000.0
Cost Of Revenue,86605010000.0,72168640000.0,59652230000.0,41695630000.0
Total Revenue,119387170000.0,98215870000.0,83505920000.0,57107460000.0
Operating Revenue,119387170000.0,98215870000.0,83505920000.0,57107460000.0
