,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-26203160.061462,-19457486.6947,-19386594.61573,-7656398.237635
Tax Rate For Calcs,0.21013,0.212186,0.200689,0.19733
Total Unusual Items,-124700000.0,-91700000.0,-96600000.0,-38800000.0
Total Unusual Items Excluding Goodwill,-124700000.0,-91700000.0,-96600000.0,-38800000.0
Net Income From Continuing Operation Net Minority Interest,229908100000.0,197611600000.0,158893300000.0,140147900000.0
Reconciled Depreciation,556900000.0,533900000.0,517800000.0,347800000.0
Net Interest Income,403310300000.0,321173300000.0,294791500000.0,301783400000.0
Interest Expense,646699800000.0,579680700000.0,470167800000.0,447087800000.0
Interest Income,1050010100000.0,900854000000.0,764959300000.0,748871200000.0
Normalized Income,230006596839.93854,197683842513.3053,158970513405.38428,140179043601.76236
Net Income From Continuing And Discontinued Operation,229908100000.0,197611600000.0,158893300000.0,140147900000.0
Diluted Average Shares,3300101760.0,3300101760.0,3300101760.0,3300101760.0
Basic Average Shares,3300101760.0,3300101760.0,3300101760.0,3300101760.0
Diluted EPS,69.67,59.88,48.15,42.464
Basic EPS,69.67,59.88,48.15,42.464
Diluted NI Availto Com Stockholders,229908100000.0,197611600000.0,158893300000.0,140147900000.0
Net Income Common Stockholders,229908100000.0,197611600000.0,158893300000.0,140147900000.0
Net Income,229908100000.0,197611600000.0,158893300000.0,140147900000.0
Minority Interests,-75235900000.0,-67000200000.0,-52892600000.0,-47534200000.0
Net Income Including Noncontrolling Interests,305144000000.0,264611800000.0,211785900000.0,187682100000.0
Net Income Discontinuous Operations,0.0,0.0,0.0,0.0
Net Income Continuous Operations,305144000000.0,264611800000.0,211785900000.0,187682100000.0
Tax Provision,81177600000.0,71269400000.0,53174800000.0,46140100000.0
Pretax Income,386321600000.0,335881200000.0,264960700000.0,233822200000.0
Special Income Charges,-124700000.0,-91700000.0,-96600000.0,-38800000.0
Other Special Charges,124700000.0,91700000.0,96600000.0,38800000.0
Gain On Sale Of Security,5214800000.0,1735500000.0,-767000000.0,-351400000.0
Operating Expense,16970600000.0,15110800000.0,12527700000.0,11445400000.0
Other Operating Expenses,9777500000.0,8568000000.0,6885900000.0,6518200000.0
Depreciation And Amortization In Income Statement,556800000.0,534000000.0,518000000.0,347700000.0
Depreciation Income Statement,556800000.0,534000000.0,518000000.0,347700000.0
Selling General And Administration,903800000.0,915400000.0,629400000.0,382500000.0
Selling And Marketing Expense,448100000.0,481500000.0,246500000.0,136700000.0
General And Administrative Expense,455700000.0,433900000.0,382900000.0,245800000.0
Insurance And Claims,12200000.0,6200000.0,5000000.0,3200000.0
Rent And Landing Fees,181100000.0,168000000.0,92300000.0,116600000.0
Total Revenue,416776700000.0,335664000000.0,275173700000.0,302370000000.0
Operating Revenue,416776700000.0,335664000000.0,275173700000.0,302370000000.0
