,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,420540780.0,14250600.0,90297320.0,0.0,
Tax Rate For Calcs,0.2446,0.261,0.2428,0.207442,
Normalized EBITDA,9133600000.0,8183000000.0,9057200000.0,8983800000.0,
Total Unusual Items,1719300000.0,54600000.0,371900000.0,0.0,
Total Unusual Items Excluding Goodwill,1719300000.0,54600000.0,371900000.0,0.0,
Net Income From Continuing Operation Net Minority Interest,7676000000.0,5513300000.0,6239300000.0,6125600000.0,
Reconciled Depreciation,607900000.0,622800000.0,1055100000.0,1150000000.0,
Reconciled Cost Of Revenue,8130600000.0,7952300000.0,8756500000.0,9480300000.0,
EBITDA,10852900000.0,8237600000.0,9429100000.0,8983800000.0,
EBIT,10245000000.0,7614800000.0,8374000000.0,7833800000.0,
Net Interest Income,1487700000.0,1561600000.0,720100000.0,-104900000.0,
Interest Expense,84100000.0,154100000.0,133900000.0,104900000.0,
Interest Income,1572700000.0,1715900000.0,854900000.0,489400000.0,
Normalized Income,6377240780.0,5472950600.0,5957697320.0,6125600000.0,
Net Income From Continuing And Discontinued Operation,7676000000.0,5513300000.0,6239300000.0,6125600000.0,
Total Expenses,15997200000.0,16156300000.0,17135400000.0,18902600000.0,
Rent Expense Supplemental,8000000.0,3300000.0,1900000.0,3300000.0,
Diluted Average Shares,45747732.0,45747732.0,45750372.0,45750990.0,
Basic Average Shares,45747732.0,45747732.0,45750372.0,45750990.0,
Diluted EPS,167.79,120.51,136.38,133.89,
Basic EPS,167.79,120.51,136.38,133.89,
Diluted NI Availto Com Stockholders,7676000000.0,5513300000.0,6239300000.0,6125600000.0,
Net Income Common Stockholders,7676000000.0,5513300000.0,6239300000.0,6125600000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,7676000000.0,5513300000.0,6239300000.0,6125600000.0,
Net Income Including Noncontrolling Interests,7676000000.0,5513300000.0,6239300000.0,6125600000.0,
Net Income Continuous Operations,7676000000.0,5513300000.0,6239300000.0,6125600000.0,
Tax Provision,2484900000.0,1947400000.0,2000800000.0,1603300000.0,
Pretax Income,10160900000.0,7460700000.0,8240100000.0,7728900000.0,
Other Non Operating Income Expenses,143200000.0,83400000.0,72700000.0,626500000.0,
Special Income Charges,1719300000.0,54600000.0,371900000.0,0.0,
Other Special Charges,-1719300000.0,-54600000.0,-371900000.0,-48500000.0,
Impairment Of Capital Assets,,,,,-31000000.0
Net Non Operating Interest Income Expense,1487700000.0,1561600000.0,720100000.0,-104900000.0,
Total Other Finance Cost,900000.0,200000.0,900000.0,2100000.0,
Interest Expense Non Operating,84100000.0,154100000.0,133900000.0,104900000.0,
Interest Income Non Operating,1572700000.0,1715900000.0,854900000.0,489400000.0,
Operating Income,6812800000.0,5770600000.0,7087800000.0,7207300000.0,
Operating Expense,7866600000.0,8204000000.0,8378900000.0,9422300000.0,
Other Operating Expenses,1540900000.0,1465200000.0,1599500000.0,4235600000.0,
Depreciation And Amortization In Income Statement,607900000.0,622800000.0,1055100000.0,1150000000.0,
Amortization,99600000.0,99600000.0,503200000.0,503200000.0,
Depreciation Income Statement,508300000.0,523200000.0,551900000.0,1150000000.0,
Selling General And Administration,1991300000.0,2632300000.0,2422800000.0,2772600000.0,
Selling And Marketing Expense,1175700000.0,1594300000.0,1391600000.0,1481100000.0,
General And Administrative Expense,815600000.0,1038000000.0,1031200000.0,1291500000.0,
Rent And Landing Fees,8000000.0,3300000.0,1900000.0,3300000.0,
Gross Profit,14679400000.0,13974600000.0,15466700000.0,16629600000.0,
Cost Of Revenue,8130600000.0,7952300000.0,8756500000.0,9480300000.0,
Total Revenue,22810000000.0,21926900000.0,24223200000.0,26109900000.0,
Operating Revenue,22810000000.0,21926900000.0,24223200000.0,26109900000.0,
