,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,472101649.484536,-9030037.615315,48951193.101367,-1942057.777392
Tax Rate For Calcs,0.257388,0.265589,0.252066,0.252215
Normalized EBITDA,30400800000.0,27542400000.0,20212000000.0,18962400000.0
Total Unusual Items,1834200000.0,-34000000.0,194200000.0,-7700000.0
Total Unusual Items Excluding Goodwill,1834200000.0,-34000000.0,194200000.0,-7700000.0
Net Income From Continuing Operation Net Minority Interest,20762400000.0,17293800000.0,12732500000.0,12075600000.0
Reconciled Depreciation,3504500000.0,3203000000.0,2697400000.0,2396100000.0
Reconciled Cost Of Revenue,60608600000.0,60575400000.0,68163200000.0,54933000000.0
EBITDA,32235000000.0,27508400000.0,20406200000.0,18954700000.0
EBIT,28730500000.0,24305400000.0,17708800000.0,16558600000.0
Net Interest Income,-349000000.0,-390900000.0,-400100000.0,-375000000.0
Interest Expense,503500000.0,511900000.0,476400000.0,420800000.0
Interest Income,154500000.0,121000000.0,76300000.0,45800000.0
Normalized Income,19400301649.484535,17318769962.384686,12587251193.101368,12081357942.222609
Net Income From Continuing And Discontinued Operation,20762400000.0,17293800000.0,12732500000.0,12075600000.0
Total Expenses,104193500000.0,99343400000.0,99996100000.0,82345600000.0
Rent Expense Supplemental,379300000.0,454300000.0,364400000.0,246200000.0
Diluted Average Shares,1019515086.0,1018024820.0,1017307220.0,1017098990.0
Basic Average Shares,1017244084.0,1016988220.0,1016601900.0,1016328850.0
Diluted EPS,20.365,16.99,12.515,11.875
Basic EPS,20.41,17.005,12.525,11.88
Diluted NI Availto Com Stockholders,20762400000.0,17293800000.0,12732500000.0,12075600000.0
Net Income Common Stockholders,20762400000.0,17293800000.0,12732500000.0,12075600000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,20762400000.0,17293800000.0,12732500000.0,12075600000.0
Minority Interests,-199300000.0,-180400000.0,-156200000.0,8000000.0
Net Income Including Noncontrolling Interests,20961700000.0,17474200000.0,12888700000.0,12067600000.0
Net Income Continuous Operations,20961700000.0,17474200000.0,12888700000.0,12067600000.0
Tax Provision,7265300000.0,6319300000.0,4343700000.0,4070200000.0
Pretax Income,28227000000.0,23793500000.0,17232400000.0,16137800000.0
Other Non Operating Income Expenses,115700000.0,293500000.0,182000000.0,152800000.0
Special Income Charges,-364300000.0,-946000000.0,5300000.0,-127000000.0
Other Special Charges,10000000.0,702300000.0,-19600000.0,58300000.0
Write Off,274000000.0,40100000.0,14300000.0,68700000.0
Impairment Of Capital Assets,80300000.0,203600000.0,0.0,
Net Non Operating Interest Income Expense,-349000000.0,-390900000.0,-400100000.0,-375000000.0
Interest Expense Non Operating,503500000.0,511900000.0,476400000.0,420800000.0
Interest Income Non Operating,154500000.0,121000000.0,76300000.0,45800000.0
Operating Income,26745000000.0,24027300000.0,17520100000.0,16454100000.0
Operating Expense,43584900000.0,38768000000.0,31832900000.0,27412600000.0
Other Operating Expenses,13873600000.0,12684000000.0,11146500000.0,9616800000.0
Depreciation And Amortization In Income Statement,3504500000.0,3202900000.0,2697400000.0,2396100000.0
Amortization,374400000.0,366900000.0,395400000.0,350400000.0
Depreciation Income Statement,3130100000.0,2836000000.0,2302000000.0,2045700000.0
Selling General And Administration,6420200000.0,6248600000.0,4044500000.0,2984100000.0
Selling And Marketing Expense,5142800000.0,4751200000.0,2935200000.0,2062700000.0
General And Administrative Expense,1277400000.0,1497400000.0,1109300000.0,921400000.0
Rent And Landing Fees,379300000.0,454300000.0,364400000.0,246200000.0
Gross Profit,70329900000.0,62795300000.0,49353000000.0,43866700000.0
Cost Of Revenue,60608600000.0,60575400000.0,68163200000.0,54933000000.0
Total Revenue,130938500000.0,123370700000.0,117516200000.0,98799700000.0
Operating Revenue,130938500000.0,123370700000.0,117516200000.0,98799700000.0
