,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-619080.0,-570500.0,-110700152.104107,-18379036.126794,
Tax Rate For Calcs,0.2211,0.2282,0.231397,0.228311,
Total Unusual Items,-2800000.0,-2500000.0,-478400000.0,-80500000.0,
Total Unusual Items Excluding Goodwill,-2800000.0,-2500000.0,-478400000.0,-80500000.0,
Net Income From Continuing Operation Net Minority Interest,19361400000.0,15080100000.0,10460000000.0,8364800000.0,
Reconciled Depreciation,558900000.0,511900000.0,514400000.0,533900000.0,
Net Interest Income,27533200000.0,24941700000.0,23113000000.0,17662200000.0,
Interest Expense,45401900000.0,42506000000.0,38877700000.0,40557800000.0,
Interest Income,72935100000.0,67447700000.0,61990700000.0,58220000000.0,
Normalized Income,19363580920.0,15082029500.0,10827699847.895893,8426920963.873206,
Net Income From Continuing And Discontinued Operation,19361400000.0,15080100000.0,10460000000.0,8364800000.0,
Diluted Average Shares,260762937.0,259130272.0,196747791.0,203895393.0,
Basic Average Shares,259800371.0,258367514.0,196582728.0,203450021.0,
Diluted EPS,74.25,58.2,53.16,41.022742,
Basic EPS,74.52,58.37,53.21,41.113849,
Diluted NI Availto Com Stockholders,19361400000.0,15080100000.0,10460000000.0,8364800000.0,
Net Income Common Stockholders,19361400000.0,15080100000.0,10460000000.0,8364800000.0,
Net Income,19361400000.0,15080100000.0,10460000000.0,8364800000.0,
Minority Interests,0.0,0.0,0.0,0.0,
Net Income Including Noncontrolling Interests,19361400000.0,15080100000.0,10460000000.0,8364800000.0,
Net Income Continuous Operations,19361400000.0,15080100000.0,10460000000.0,8364800000.0,
Tax Provision,5496300000.0,4458900000.0,3149100000.0,2474800000.0,
Pretax Income,24857700000.0,19539000000.0,13609100000.0,10839600000.0,
Special Income Charges,-2800000.0,-2500000.0,-478400000.0,-80500000.0,
Other Special Charges,,2500000.0,1900000.0,1900000.0,37100000.0
Write Off,2800000.0,0.0,476500000.0,78600000.0,
Gain On Sale Of Security,273000000.0,349800000.0,341000000.0,1113800000.0,
Operating Expense,7988900000.0,6583600000.0,5195900000.0,4567800000.0,
Other Operating Expenses,1939400000.0,1697500000.0,1149700000.0,968400000.0,
Depreciation And Amortization In Income Statement,558900000.0,511900000.0,514400000.0,533900000.0,
Depreciation Income Statement,558900000.0,511900000.0,514400000.0,533900000.0,
Selling General And Administration,1176400000.0,888700000.0,746000000.0,806500000.0,
Selling And Marketing Expense,248300000.0,242300000.0,199900000.0,184400000.0,
General And Administrative Expense,928100000.0,646400000.0,546100000.0,622100000.0,
Insurance And Claims,4500000.0,6000000.0,6600000.0,5400000.0,
Rent And Landing Fees,29400000.0,43600000.0,20600000.0,13600000.0,
Total Revenue,29620600000.0,27836300000.0,25410700000.0,21251500000.0,
Operating Revenue,29620600000.0,27836300000.0,25410700000.0,21251500000.0,
