,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,70845606.521851,61153028.141616,14472.497746,124690.201473,
Tax Rate For Calcs,0.088902,0.1647,4.1e-05,0.000575,
Normalized EBITDA,4475000000.0,1551600000.0,-4380900000.0,-7986523000.0,
Total Unusual Items,952200000.0,371300000.0,353100000.0,216672000.0,
Total Unusual Items Excluding Goodwill,796900000.0,371300000.0,353100000.0,216672000.0,
Net Income From Continuing Operation Net Minority Interest,3530100000.0,669800000.0,-4872200000.0,-8329130000.0,
Reconciled Depreciation,1212700000.0,887200000.0,638200000.0,428397000.0,
Reconciled Cost Of Revenue,29435400000.0,19475800000.0,9826400000.0,6087729000.0,
EBITDA,5427200000.0,1922900000.0,-4027800000.0,-7769851000.0,
EBIT,4214500000.0,1035700000.0,-4666000000.0,-8198248000.0,
Net Interest Income,3227600000.0,3164500000.0,1993600000.0,894941000.0,
Interest Expense,338300000.0,264600000.0,213600000.0,135678000.0,
Interest Income,3685600000.0,3431700000.0,2209600000.0,1032578000.0,
Normalized Income,2959345606.521851,359653028.141616,-5225285527.502254,-8545677309.798527,
Net Income From Continuing And Discontinued Operation,3530100000.0,669800000.0,-4872200000.0,-8329130000.0,
Total Expenses,49923000000.0,37123000000.0,32829800000.0,23693027000.0,
Rent Expense Supplemental,49300000.0,31300000.0,30500000.0,15883000.0,
Diluted Average Shares,461562431.0,461863779.0,444921010.0,409517780.0,
Basic Average Shares,454265798.0,447063126.0,444921010.0,409517780.0,
Diluted EPS,7.65,1.45,-10.97,-20.34,
Basic EPS,7.77,1.5,-10.97,-20.34,
Diluted NI Availto Com Stockholders,3530100000.0,669800000.0,-4872200000.0,-8329130000.0,
Net Income Common Stockholders,3530100000.0,669800000.0,-4872200000.0,-8329130000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,3530100000.0,669800000.0,-4872200000.0,-8329130000.0,
Minority Interests,-1500000.0,25700000.0,7200000.0,0.0,
Net Income Including Noncontrolling Interests,3531600000.0,644100000.0,-4879400000.0,-8329130000.0,
Net Income Continuous Operations,3531600000.0,644100000.0,-4879400000.0,-8329130000.0,
Tax Provision,344600000.0,127000000.0,-200000.0,-4796000.0,
Pretax Income,3876200000.0,771100000.0,-4879600000.0,-8333926000.0,
Other Non Operating Income Expenses,1800000.0,2000000.0,26500000.0,202000.0,
Special Income Charges,432300000.0,71900000.0,3300000.0,25708000.0,
Other Special Charges,-591100000.0,-71900000.0,-3800000.0,-30141000.0,
Write Off,,,12762000.0,4391000.0,27929000.0
Impairment Of Capital Assets,3500000.0,0.0,500000.0,42000.0,
Net Non Operating Interest Income Expense,3227600000.0,3164500000.0,1993600000.0,894941000.0,
Total Other Finance Cost,119700000.0,2600000.0,2400000.0,1959000.0,
Interest Expense Non Operating,338300000.0,264600000.0,213600000.0,135678000.0,
Interest Income Non Operating,3685600000.0,3431700000.0,2209600000.0,1032578000.0,
Operating Income,-150900000.0,-2746200000.0,-7251300000.0,-9444126000.0,
Operating Expense,20487600000.0,17647200000.0,23003400000.0,17605298000.0,
Other Operating Expenses,4018600000.0,2673700000.0,1994900000.0,1389147000.0,
Depreciation And Amortization In Income Statement,1212700000.0,887200000.0,638200000.0,428397000.0,
Amortization,36800000.0,32300000.0,29500000.0,24085000.0,
Depreciation Income Statement,1175900000.0,854900000.0,608700000.0,404312000.0,
Selling General And Administration,11816500000.0,9647300000.0,14106400000.0,9151503000.0,
Selling And Marketing Expense,10901300000.0,8990100000.0,13572500000.0,8644525000.0,
General And Administrative Expense,915200000.0,657200000.0,533900000.0,506978000.0,
Rent And Landing Fees,49300000.0,31300000.0,30500000.0,15883000.0,
Gross Profit,20336700000.0,14901000000.0,15752100000.0,8161172000.0,
Cost Of Revenue,29435400000.0,19475800000.0,9826400000.0,6087729000.0,
Total Revenue,49772100000.0,34376800000.0,25578500000.0,14248901000.0,
Operating Revenue,49772100000.0,34376800000.0,25578500000.0,14248901000.0,
