,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,288291409.73288,173857601.445344,193436741.121425,22135546.180607,
Tax Rate For Calcs,0.242631,0.235825,0.248451,0.242528,
Normalized EBITDA,30154760000.0,26220650000.0,18827180000.0,13317090000.0,
Total Unusual Items,1234410000.0,737230000.0,778570000.0,91270000.0,
Total Unusual Items Excluding Goodwill,1188190000.0,737230000.0,778570000.0,91270000.0,
Net Income From Continuing Operation Net Minority Interest,20199900000.0,17840450000.0,12707830000.0,8365290000.0,
Reconciled Depreciation,2981030000.0,2450400000.0,2091640000.0,2088060000.0,
Reconciled Cost Of Revenue,173432130000.0,137381990000.0,108204170000.0,97558530000.0,
EBITDA,31389170000.0,26957880000.0,19605750000.0,13408360000.0,
EBIT,28408140000.0,24507480000.0,17514110000.0,11320300000.0,
Net Interest Income,-1360680000.0,-752200000.0,-302510000.0,-82600000.0,
Interest Expense,1399690000.0,914480000.0,441550000.0,161720000.0,
Interest Income,328600000.0,331200000.0,295060000.0,269300000.0,
Normalized Income,19346221409.73288,17277077601.445343,12122696741.121426,8296155546.180607,
Net Income From Continuing And Discontinued Operation,20199900000.0,17840450000.0,12707830000.0,9085820000.0,
Total Expenses,193613750000.0,154990330000.0,122985630000.0,109268380000.0,
Rent Expense Supplemental,117240000.0,59650000.0,57090000.0,66660000.0,
Diluted Average Shares,150974137.0,150566475.0,150099705.0,149923144.0,
Basic Average Shares,150364869.0,150014272.0,149631506.0,149268712.0,
Diluted EPS,133.8,118.49,84.66,60.6,
Basic EPS,134.34,118.93,84.93,60.87,
Diluted NI Availto Com Stockholders,20199900000.0,17840450000.0,12707830000.0,9085820000.0,
Net Income Common Stockholders,20199900000.0,17840450000.0,12707830000.0,9085820000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,20199900000.0,17840450000.0,12707830000.0,9085820000.0,
Minority Interests,-255470000.0,-188720000.0,-123030000.0,-87030000.0,
Net Income Including Noncontrolling Interests,20455370000.0,18029170000.0,12830860000.0,9172840000.0,
Net Income Discontinuous Operations,,,0.0,720530000.0,441020000.0
Net Income Continuous Operations,20455370000.0,18029170000.0,12830860000.0,8452310000.0,
Tax Provision,6553080000.0,5563830000.0,4241700000.0,2706270000.0,
Pretax Income,27008450000.0,23593000000.0,17072560000.0,11158580000.0,
Other Non Operating Income Expenses,208090000.0,215860000.0,71470000.0,79600000.0,
Special Income Charges,-78060000.0,3000000.0,97400000.0,-50630000.0,
Other Special Charges,31840000.0,-3530000.0,-101170000.0,6040000.0,
Write Off,0.0,530000.0,3770000.0,44590000.0,
Restructuring And Mergern Acquisition,,,,,-97180000.0
Net Non Operating Interest Income Expense,-1360680000.0,-752200000.0,-302510000.0,-82600000.0,
Total Other Finance Cost,289590000.0,168920000.0,156020000.0,190180000.0,
Interest Expense Non Operating,1399690000.0,914480000.0,441550000.0,161720000.0,
Interest Income Non Operating,328600000.0,331200000.0,295060000.0,269300000.0,
Operating Income,26700440000.0,22613810000.0,16433270000.0,10778940000.0,
Operating Expense,20181620000.0,17608340000.0,14781460000.0,11709850000.0,
Other Operating Expenses,6746860000.0,5090220000.0,4284760000.0,3132570000.0,
Depreciation And Amortization In Income Statement,2981030000.0,2450400000.0,2091640000.0,2015190000.0,
Amortization,62720000.0,52550000.0,46370000.0,40770000.0,
Depreciation Income Statement,2918310000.0,2397850000.0,2045270000.0,1974420000.0,
Selling General And Administration,6731010000.0,6696090000.0,5434710000.0,4414080000.0,
Selling And Marketing Expense,4956080000.0,5486900000.0,4390130000.0,3562560000.0,
General And Administrative Expense,1774930000.0,1209190000.0,1044580000.0,851520000.0,
Rent And Landing Fees,117240000.0,59650000.0,57090000.0,66660000.0,
Gross Profit,46882060000.0,40222150000.0,31214730000.0,22488790000.0,
Cost Of Revenue,173432130000.0,137381990000.0,108204170000.0,97558530000.0,
Total Revenue,220314190000.0,177604140000.0,139418900000.0,120047320000.0,
Operating Revenue,220314190000.0,177604140000.0,139418900000.0,120047320000.0,
