,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,95556817.8,51318861.3,-10004584.8,23940665.6
Tax Rate For Calcs,0.2547,0.2517,0.2471,0.2528
Normalized EBITDA,5096289000.0,3985041000.0,3072501000.0,2434507000.0
Total Unusual Items,0.0,0.0,-40488000.0,94702000.0
Total Unusual Items Excluding Goodwill,375174000.0,203889000.0,-40488000.0,94702000.0
Net Income From Continuing Operation Net Minority Interest,3385572000.0,2582597000.0,1792825000.0,1465060000.0
Reconciled Depreciation,831822000.0,639265000.0,571668000.0,539522000.0
Reconciled Cost Of Revenue,7064101000.0,6043163000.0,5093215000.0,4332255000.0
EBITDA,5471463000.0,4188930000.0,3032013000.0,2529209000.0
EBIT,4639641000.0,3549665000.0,2460345000.0,1989687000.0
Net Interest Income,-119965000.0,-113009000.0,-48834000.0,-38722000.0
Interest Expense,114490000.0,106974000.0,85431000.0,37238000.0
Interest Income,117828000.0,118356000.0,59740000.0,22913000.0
Normalized Income,3105954817.8,2430026861.3,1823308415.2,1394298665.6
Net Income From Continuing And Discontinued Operation,3385572000.0,2582597000.0,1792825000.0,1465060000.0
Total Expenses,12748971000.0,10630392000.0,8908082000.0,7528345000.0
Rent Expense Supplemental,26460000.0,22265000.0,19296000.0,22357000.0
Diluted Average Shares,99244066.0,96020790.0,96020945.0,95964194.0
Basic Average Shares,99205341.0,95946790.0,95916495.0,95888694.0
Diluted EPS,34.11,26.9,18.67,15.27
Basic EPS,34.13,26.92,18.69,15.28
Diluted NI Availto Com Stockholders,3385572000.0,2582597000.0,1792825000.0,1465060000.0
Net Income Common Stockholders,3385572000.0,2582597000.0,1792825000.0,1465060000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,3385572000.0,2582597000.0,1792825000.0,1465060000.0
Minority Interests,0.0,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,3385572000.0,2582597000.0,1792825000.0,1465060000.0
Net Income Continuous Operations,3385572000.0,2582597000.0,1792825000.0,1465060000.0
Tax Provision,1139579000.0,860094000.0,582089000.0,487389000.0
Pretax Income,4525151000.0,3442691000.0,2374914000.0,1952449000.0
Other Non Operating Income Expenses,25315000.0,33226000.0,32976000.0,36518000.0
Special Income Charges,-2118000.0,-5599000.0,-419000.0,-1301000.0
Other Special Charges,-1203000.0,-6228000.0,-1003000.0,-5305000.0
Write Off,3321000.0,11827000.0,1422000.0,6606000.0
Net Non Operating Interest Income Expense,-7370000.0,-2734000.0,-48834000.0,-38722000.0
Total Other Finance Cost,10708000.0,14116000.0,23143000.0,24397000.0
Interest Expense Non Operating,114490000.0,106974000.0,85431000.0,37238000.0
Interest Income Non Operating,117828000.0,118356000.0,59740000.0,22913000.0
Operating Income,3801256000.0,3026545000.0,2178500000.0,1640534000.0
Operating Expense,5684870000.0,4587229000.0,3814867000.0,3196090000.0
Other Operating Expenses,1108468000.0,922598000.0,721760000.0,559930000.0
Depreciation And Amortization In Income Statement,826361000.0,634443000.0,571668000.0,539522000.0
Amortization,32948000.0,34911000.0,29194000.0,26784000.0
Depreciation Income Statement,793413000.0,599532000.0,542474000.0,512738000.0
Research And Development,245711000.0,194423000.0,178025000.0,187711000.0
Selling General And Administration,652880000.0,473246000.0,380851000.0,322396000.0
Selling And Marketing Expense,425524000.0,263654000.0,205118000.0,150766000.0
General And Administrative Expense,227356000.0,209592000.0,175733000.0,171630000.0
Rent And Landing Fees,26460000.0,22265000.0,19296000.0,22357000.0
Gross Profit,9486126000.0,7613774000.0,5993367000.0,4836624000.0
Cost Of Revenue,7064101000.0,6043163000.0,5093215000.0,4332255000.0
Total Revenue,16550227000.0,13656937000.0,11086582000.0,9168879000.0
Operating Revenue,16550227000.0,13656937000.0,11086582000.0,9168879000.0
