,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,41717782.482138,2896757291.617585,1461205189.846567,1619135360.763268,
Tax Rate For Calcs,0.183779,0.232578,0.245705,0.195124,
Normalized EBITDA,27893000000.0,27758000000.0,22081000000.0,16648000000.0,
Total Unusual Items,227000000.0,12455000000.0,5947000000.0,8298000000.0,
Total Unusual Items Excluding Goodwill,227000000.0,12455000000.0,5947000000.0,8298000000.0,
Net Income From Continuing Operation Net Minority Interest,4675000000.0,13741000000.0,9418000000.0,11500000000.0,
Reconciled Depreciation,8123000000.0,7165000000.0,6471000000.0,4710000000.0,
Reconciled Cost Of Revenue,13644000000.0,27415000000.0,40992000000.0,33525000000.0,
EBITDA,28120000000.0,40213000000.0,28028000000.0,24946000000.0,
EBIT,19997000000.0,33048000000.0,21557000000.0,20236000000.0,
Net Interest Income,-10444000000.0,-9685000000.0,-6603000000.0,-3963000000.0,
Interest Expense,12439000000.0,11825000000.0,7414000000.0,5143000000.0,
Interest Income,2894000000.0,2506000000.0,1463000000.0,1590000000.0,
Normalized Income,4489717782.482138,4182757291.617585,4932205189.846567,4821135360.763268,
Net Income From Continuing And Discontinued Operation,4675000000.0,13741000000.0,9418000000.0,11500000000.0,
Total Expenses,54371000000.0,59986000000.0,67712000000.0,52154000000.0,
Rent Expense Supplemental,92000000.0,68000000.0,43000000.0,5000000.0,
Diluted Average Shares,417800820.0,400861654.0,400861654.0,400861654.0,
Basic Average Shares,417800820.0,400861654.0,400861654.0,400861654.0,
Diluted EPS,11.19,34.28,23.49,28.69,
Basic EPS,11.19,34.28,23.49,28.69,
Diluted NI Availto Com Stockholders,4675000000.0,13741000000.0,9418000000.0,11500000000.0,
Net Income Common Stockholders,4675000000.0,13741000000.0,9418000000.0,11500000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,4675000000.0,13741000000.0,9418000000.0,11500000000.0,
Minority Interests,-1494000000.0,-2546000000.0,-1250000000.0,-648000000.0,
Net Income Including Noncontrolling Interests,6169000000.0,16287000000.0,10668000000.0,12148000000.0,
Net Income Continuous Operations,6169000000.0,16287000000.0,10668000000.0,12148000000.0,
Tax Provision,1389000000.0,4936000000.0,3475000000.0,2945000000.0,
Pretax Income,7558000000.0,21223000000.0,14143000000.0,15093000000.0,
Other Non Operating Income Expenses,117000000.0,106000000.0,189000000.0,159000000.0,
Special Income Charges,20000000.0,8536000000.0,3291000000.0,8127000000.0,
Other Special Charges,-48000000.0,-8544000000.0,-3321000000.0,-8141000000.0,
Write Off,28000000.0,8000000.0,30000000.0,14000000.0,
Net Non Operating Interest Income Expense,-10444000000.0,-9685000000.0,-6603000000.0,-3963000000.0,
Total Other Finance Cost,899000000.0,366000000.0,652000000.0,410000000.0,
Interest Expense Non Operating,12439000000.0,11825000000.0,7414000000.0,5143000000.0,
Interest Income Non Operating,2894000000.0,2506000000.0,1463000000.0,1590000000.0,
Operating Income,17681000000.0,18048000000.0,14442000000.0,10760000000.0,
Operating Expense,40727000000.0,32571000000.0,26720000000.0,18629000000.0,
Other Operating Expenses,19011000000.0,12985000000.0,10839000000.0,6556000000.0,
Depreciation And Amortization In Income Statement,8123000000.0,7165000000.0,6471000000.0,4710000000.0,
Amortization,,,,13000000.0,26000000.0
Depreciation Income Statement,8123000000.0,7165000000.0,6471000000.0,4710000000.0,
Selling General And Administration,6277000000.0,5316000000.0,4209000000.0,3809000000.0,
Selling And Marketing Expense,,1509000000.0,1537000000.0,2610000000.0,1436000000.0
General And Administrative Expense,4211000000.0,3807000000.0,2672000000.0,1199000000.0,
Rent And Landing Fees,92000000.0,68000000.0,43000000.0,,
Gross Profit,58408000000.0,50619000000.0,41162000000.0,29389000000.0,
Cost Of Revenue,13644000000.0,27415000000.0,40992000000.0,33525000000.0,
Total Revenue,72052000000.0,78034000000.0,82154000000.0,62914000000.0,
Operating Revenue,72052000000.0,78034000000.0,82154000000.0,62914000000.0,
