,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-3365495.481937,5177828.756055,-3516672.068951,-1574752.137455,
Tax Rate For Calcs,0.220457,0.220361,0.233031,0.247175,
Normalized EBITDA,1078102000.0,818537000.0,659466000.0,459747000.0,
Total Unusual Items,-15266000.0,23497000.0,-15091000.0,-6371000.0,
Total Unusual Items Excluding Goodwill,-15266000.0,23497000.0,-15091000.0,-6371000.0,
Net Income From Continuing Operation Net Minority Interest,610185000.0,422158000.0,258151000.0,128115000.0,
Reconciled Depreciation,185485000.0,166293000.0,166692000.0,146299000.0,
Reconciled Cost Of Revenue,1470844000.0,1330923000.0,1148390000.0,1018851000.0,
EBITDA,1062836000.0,842034000.0,644375000.0,453376000.0,
EBIT,849773000.0,675741000.0,477683000.0,307077000.0,
Net Interest Income,176348000.0,-109358000.0,-150605000.0,-150133000.0,
Interest Expense,67026000.0,134262000.0,141097000.0,136898000.0,
Interest Income,265298000.0,43121000.0,7169000.0,1525000.0,
Normalized Income,622085504.518063,403838828.756055,269725327.931049,132911247.862545,
Net Income From Continuing And Discontinued Operation,610185000.0,422158000.0,258151000.0,128115000.0,
Total Expenses,2477112000.0,1947996000.0,1708239000.0,1483630000.0,
Rent Expense Supplemental,13222000.0,2540000.0,2438000.0,2355000.0,
Diluted Average Shares,14751000.0,13694000.0,13168000.0,13050810.0,
Basic Average Shares,14751000.0,13694000.0,13168000.0,13050810.0,
Diluted EPS,41.33,30.35,19.54,3.938038,
Basic EPS,41.37,30.83,19.6,9.814988,
Diluted NI Availto Com Stockholders,610185000.0,422158000.0,258151000.0,128115000.0,
Net Income Common Stockholders,610185000.0,422158000.0,258151000.0,128115000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,610185000.0,422158000.0,258151000.0,128115000.0,
Net Income Including Noncontrolling Interests,610185000.0,422158000.0,258151000.0,128115000.0,
Net Income Continuous Operations,610185000.0,422158000.0,258151000.0,128115000.0,
Tax Provision,172562000.0,119321000.0,78435000.0,42064000.0,
Pretax Income,782747000.0,541479000.0,336586000.0,170179000.0,
Other Non Operating Income Expenses,6997000.0,20657000.0,6816000.0,13981000.0,
Special Income Charges,-9402000.0,-1114000.0,546000.0,-9176000.0,
Other Special Charges,8748000.0,1105000.0,-546000.0,9176000.0,
Write Off,654000.0,9000.0,0.0,0.0,
Net Non Operating Interest Income Expense,176348000.0,-109358000.0,-150605000.0,-150133000.0,
Total Other Finance Cost,21924000.0,18217000.0,16677000.0,14760000.0,
Interest Expense Non Operating,67026000.0,134262000.0,141097000.0,136898000.0,
Interest Income Non Operating,265298000.0,43121000.0,7169000.0,1525000.0,
Operating Income,556738000.0,567947000.0,441937000.0,279884000.0,
Operating Expense,1006268000.0,617073000.0,559849000.0,464779000.0,
Other Operating Expenses,39451000.0,26906000.0,35339000.0,18536000.0,
Depreciation And Amortization In Income Statement,213063000.0,166293000.0,166692000.0,146299000.0,
Amortization,2346000.0,1644000.0,2137000.0,2040000.0,
Depreciation Income Statement,210717000.0,164649000.0,164555000.0,144259000.0,
Research And Development,,,3456000.0,18194000.0,18109000.0
Selling General And Administration,221096000.0,161154000.0,136971000.0,91775000.0,
Selling And Marketing Expense,12849000.0,6375000.0,3066000.0,1861000.0,
General And Administrative Expense,208247000.0,154779000.0,133905000.0,89914000.0,
Rent And Landing Fees,13222000.0,2540000.0,2438000.0,2355000.0,
Gross Profit,1563006000.0,1185020000.0,1001786000.0,744663000.0,
Cost Of Revenue,1470844000.0,1330923000.0,1148390000.0,1018851000.0,
Total Revenue,3033850000.0,2515943000.0,2150176000.0,1763514000.0,
Operating Revenue,3033850000.0,2515943000.0,2150176000.0,1763514000.0,
