,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,330933800.0,10059980.0,1153740.0,-420000.0
Tax Rate For Calcs,0.1655,0.2534,0.2747,0.3
Normalized EBITDA,11577100000.0,15102700000.0,11866100000.0,13019700000.0
Total Unusual Items,1999600000.0,39700000.0,4200000.0,-1400000.0
Total Unusual Items Excluding Goodwill,1999600000.0,39700000.0,4200000.0,-1400000.0
Net Income From Continuing Operation Net Minority Interest,2726500000.0,3599500000.0,3145200000.0,8814800000.0
Reconciled Depreciation,6950500000.0,6463100000.0,5059800000.0,4022300000.0
Reconciled Cost Of Revenue,44089600000.0,48704700000.0,45334400000.0,27270900000.0
EBITDA,13576700000.0,15142400000.0,11870300000.0,13018300000.0
EBIT,6626200000.0,8679300000.0,6810500000.0,8996000000.0
Net Interest Income,-4421600000.0,-4025100000.0,-2310600000.0,-1016800000.0
Interest Expense,3433100000.0,3262700000.0,2090700000.0,961600000.0
Interest Income,181300000.0,136300000.0,101800000.0,113200000.0
Normalized Income,1057833800.0,3569859980.0,3142153740.0,8815780000.0
Net Income From Continuing And Discontinued Operation,2726500000.0,3599500000.0,3145200000.0,8814800000.0
Total Expenses,79526000000.0,84290100000.0,74419800000.0,50806100000.0
Rent Expense Supplemental,178100000.0,167700000.0,159000000.0,146000000.0
Diluted Average Shares,236377944.0,228184346.0,228590905.0,228600000.0
Basic Average Shares,236377944.0,228184346.0,228590905.0,228600000.0
Diluted EPS,11.53,15.77,13.76,39.0
Basic EPS,11.53,15.77,13.76,39.0
Diluted NI Availto Com Stockholders,2726500000.0,3599500000.0,3145200000.0,8814800000.0
Net Income Common Stockholders,2726500000.0,3599500000.0,3145200000.0,8814800000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,2726500000.0,3599500000.0,3145200000.0,8814800000.0
Minority Interests,30800000.0,34600000.0,-2300000.0,-4700000.0
Net Income Including Noncontrolling Interests,2695700000.0,3564900000.0,3147500000.0,8819500000.0
Net Income Continuous Operations,2695700000.0,3564900000.0,3147500000.0,8819500000.0
Tax Provision,511700000.0,1481300000.0,1299900000.0,-894100000.0
Pretax Income,3193100000.0,5416600000.0,4719800000.0,8034400000.0
Other Non Operating Income Expenses,218800000.0,211900000.0,208700000.0,165100000.0
Special Income Charges,1999600000.0,38600000.0,4200000.0,-2100000.0
Other Special Charges,-2000100000.0,-38600000.0,-4600000.0,2100000.0
Write Off,500000.0,0.0,400000.0,0.0
Net Non Operating Interest Income Expense,-4421600000.0,-4025100000.0,-2310600000.0,-1016800000.0
Total Other Finance Cost,1169800000.0,898700000.0,321700000.0,168400000.0
Interest Expense Non Operating,3433100000.0,3262700000.0,2090700000.0,961600000.0
Interest Income Non Operating,181300000.0,136300000.0,101800000.0,113200000.0
Operating Income,5390700000.0,9196800000.0,6803800000.0,8894700000.0
Operating Expense,35436400000.0,35585400000.0,29085400000.0,23535200000.0
Other Operating Expenses,21248700000.0,21463100000.0,17797700000.0,13541700000.0
Depreciation And Amortization In Income Statement,6950500000.0,6463100000.0,5059800000.0,4022300000.0
Amortization,900100000.0,839900000.0,446400000.0,241600000.0
Depreciation Income Statement,6050400000.0,5623200000.0,4613400000.0,3780700000.0
Selling General And Administration,1826000000.0,2271300000.0,1587900000.0,1382900000.0
Selling And Marketing Expense,1346500000.0,1772000000.0,1111500000.0,933200000.0
General And Administrative Expense,479500000.0,499300000.0,476400000.0,449700000.0
Rent And Landing Fees,178100000.0,167700000.0,159000000.0,146000000.0
Gross Profit,40827100000.0,44782200000.0,35889200000.0,32429900000.0
Cost Of Revenue,44089600000.0,48704700000.0,45334400000.0,27270900000.0
Total Revenue,84916700000.0,93486900000.0,81223600000.0,59700800000.0
Operating Revenue,84916700000.0,93486900000.0,81223600000.0,59700800000.0
