,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,0.0,0.0,-936556.987733,0.0,
Tax Rate For Calcs,0.3,0.065856,0.246982,0.1954,
Total Unusual Items,0.0,4797000.0,-3792000.0,0.0,
Total Unusual Items Excluding Goodwill,10310000.0,4797000.0,-3792000.0,0.0,
Net Income From Continuing Operation Net Minority Interest,7170600000.0,12598900000.0,9195444000.0,-1661500000.0,
Reconciled Depreciation,2358400000.0,2345300000.0,2130908000.0,1801700000.0,
Net Interest Income,64649241000.0,60437493000.0,49979831000.0,42966200000.0,
Interest Expense,75761862000.0,63500467000.0,46786233000.0,41482400000.0,
Interest Income,140411100000.0,123938000000.0,96766064000.0,84448600000.0,
Normalized Income,7170600000.0,12598900000.0,9198299443.012266,-1661500000.0,
Net Income From Continuing And Discontinued Operation,7170600000.0,12598900000.0,9195444000.0,-1661500000.0,
Diluted Average Shares,609744898.0,613383642.0,601995371.0,599819495.0,
Basic Average Shares,607089693.0,601588096.0,599526831.0,599819495.0,
Diluted EPS,11.76,20.54,15.27,-2.77,
Basic EPS,11.81,20.94,15.34,-2.77,
Diluted NI Availto Com Stockholders,7170670000.0,12598913000.0,9195444000.0,-1661500000.0,
Net Income Common Stockholders,7170600000.0,12598900000.0,9195444000.0,-1661500000.0,
Net Income,7170670000.0,12598913000.0,9195444000.0,-1661500000.0,
Minority Interests,0.0,0.0,0.0,0.0,
Net Income Including Noncontrolling Interests,7170600000.0,12598900000.0,9195400000.0,-1661500000.0,
Net Income Extraordinary,0.0,0.0,0.0,0.0,
Net Income Continuous Operations,7170600000.0,12598900000.0,9195400000.0,-1661500000.0,
Tax Provision,-212700000.0,888200000.0,3016000000.0,-403500000.0,
Pretax Income,6957921000.0,13487115000.0,12211400000.0,-2065000000.0,
Special Income Charges,0.0,0.0,-3792000.0,0.0,
Other Special Charges,,-4797000.0,3792000.0,3011000.0,17648000.0
Gain On Sale Of Security,3690163000.0,1588132000.0,1293068000.0,2491821000.0,
Operating Expense,65888500000.0,59803197000.0,53161891000.0,39942300000.0,
Other Operating Expenses,35666219000.0,33892340000.0,29542741000.0,26618800000.0,
Depreciation And Amortization In Income Statement,,2345201000.0,2130908000.0,1801621000.0,1696089000.0
Depreciation Income Statement,2358430000.0,2345201000.0,2130908000.0,1801621000.0,
Selling General And Administration,,789055000.0,1026185000.0,675950000.0,450925000.0
Selling And Marketing Expense,831067000.0,495728000.0,780270000.0,414010000.0,
General And Administrative Expense,,293327000.0,245915000.0,261940000.0,216207000.0
Insurance And Claims,,1388655000.0,1201160000.0,1160790000.0,910200000.0
Rent And Landing Fees,3091706000.0,2788492000.0,2689353000.0,2399422000.0,
Total Revenue,102433000000.0,91037000000.0,74377883000.0,66481300000.0,
Operating Revenue,104069942000.0,89721515000.0,74377883000.0,66481300000.0,
