,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,9860194.322612,86581678.121991,214263840.0,356995080.0
Tax Rate For Calcs,0.261544,0.251984,0.2408,0.2538
Normalized EBITDA,8107200000.0,6784800000.0,15679600000.0,10973000000.0
Total Unusual Items,37700000.0,343600000.0,889800000.0,1406600000.0
Total Unusual Items Excluding Goodwill,37700000.0,343600000.0,889800000.0,1406600000.0
Net Income From Continuing Operation Net Minority Interest,2424500000.0,2252800000.0,9663100000.0,7023900000.0
Reconciled Depreciation,2582200000.0,2275800000.0,2065800000.0,1838400000.0
Reconciled Cost Of Revenue,102832200000.0,101331800000.0,121399900000.0,63523500000.0
EBITDA,8144900000.0,7128400000.0,16569400000.0,12379600000.0
EBIT,5562700000.0,4852600000.0,14503600000.0,10541200000.0
Net Interest Income,-1673800000.0,-1354500000.0,-1663900000.0,-693400000.0
Interest Expense,2279500000.0,1840900000.0,1772200000.0,1121800000.0
Interest Income,673400000.0,511700000.0,234100000.0,512500000.0
Normalized Income,2396660194.322612,1995781678.121991,8987563840.0,5974295080.0
Net Income From Continuing And Discontinued Operation,2424500000.0,2252800000.0,9663100000.0,7023900000.0
Total Expenses,65741400000.0,61170800000.0,64284600000.0,44890000000.0
Rent Expense Supplemental,121200000.0,151000000.0,91700000.0,89800000.0
Diluted Average Shares,551688100.0,551688100.0,551688100.0,551688100.0
Basic Average Shares,551688100.0,551688100.0,551688100.0,551688100.0
Diluted EPS,4.39,4.08,17.52,12.73
Basic EPS,4.39,4.08,17.52,12.73
Diluted NI Availto Com Stockholders,2424500000.0,2252800000.0,9663100000.0,7023900000.0
Net Income Common Stockholders,2424500000.0,2252800000.0,9663100000.0,7023900000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,2424500000.0,2252800000.0,9663100000.0,7023900000.0
Net Income Including Noncontrolling Interests,2424500000.0,2252800000.0,9663100000.0,7023900000.0
Net Income Continuous Operations,2424500000.0,2252800000.0,9663100000.0,7023900000.0
Tax Provision,858700000.0,758900000.0,3068300000.0,2395500000.0
Pretax Income,3283200000.0,3011700000.0,12731400000.0,9419400000.0
Other Non Operating Income Expenses,912900000.0,1117700000.0,1172700000.0,709300000.0
Special Income Charges,-16500000.0,327100000.0,876400000.0,1356700000.0
Other Special Charges,-37300000.0,-389400000.0,-929700000.0,-1353900000.0
Write Off,700000.0,-1200000.0,-5300000.0,-2800000.0
Impairment Of Capital Assets,53100000.0,63500000.0,58600000.0,0.0
Net Non Operating Interest Income Expense,-1673800000.0,-1354500000.0,-1663900000.0,-693400000.0
Total Other Finance Cost,67700000.0,25300000.0,125800000.0,84100000.0
Interest Expense Non Operating,2279500000.0,1840900000.0,1772200000.0,1121800000.0
Interest Income Non Operating,673400000.0,511700000.0,234100000.0,512500000.0
Operating Income,4590800000.0,3072000000.0,13880200000.0,8252100000.0
Operating Expense,-37090800000.0,-40161000000.0,-57115300000.0,-18633500000.0
Other Operating Expenses,44255200000.0,48395800000.0,62586400000.0,41127300000.0
Depreciation And Amortization In Income Statement,2574500000.0,2267500000.0,2062600000.0,1835500000.0
Amortization,2300000.0,4100000.0,11800000.0,15700000.0
Depreciation Income Statement,2572200000.0,2263400000.0,2050800000.0,1819800000.0
Research And Development,68800000.0,67000000.0,62300000.0,49200000.0
Selling General And Administration,9255600000.0,9365200000.0,7766300000.0,6990400000.0
Selling And Marketing Expense,8964400000.0,8876500000.0,7313500000.0,6592800000.0
General And Administrative Expense,291200000.0,488700000.0,452800000.0,397600000.0
Rent And Landing Fees,121200000.0,151000000.0,91700000.0,89800000.0
Gross Profit,-32500000000.0,-37089000000.0,-43235100000.0,-10381400000.0
Cost Of Revenue,102832200000.0,101331800000.0,121399900000.0,63523500000.0
Total Revenue,70332200000.0,64242800000.0,78164800000.0,53142100000.0
Operating Revenue,70332200000.0,64242800000.0,78164800000.0,53142100000.0
