,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-15992380.751655,-11808785.998171,-13046634.148026,-20575779.471994,
Tax Rate For Calcs,0.210426,0.212388,0.196485,0.192657,
Total Unusual Items,-76000000.0,-55600000.0,-66400000.0,-106800000.0,
Total Unusual Items Excluding Goodwill,-76000000.0,-55600000.0,-66400000.0,-106800000.0,
Net Income From Continuing Operation Net Minority Interest,158842300000.0,141454600000.0,111669800000.0,100357000000.0,
Reconciled Depreciation,247000000.0,239900000.0,242600000.0,182400000.0,
Net Interest Income,209745500000.0,164839800000.0,151130100000.0,161443700000.0,
Interest Expense,341312900000.0,299477400000.0,237333300000.0,220509600000.0,
Interest Income,551058400000.0,464317200000.0,388463400000.0,381953300000.0,
Normalized Income,158902307619.24835,141498391214.00183,111723153365.85197,100443224220.528,
Net Income From Continuing And Discontinued Operation,158842300000.0,141454600000.0,111669800000.0,100357000000.0,
Diluted Average Shares,2633224000.0,2633224000.0,2633224000.0,2633224000.0,
Basic Average Shares,2633224000.0,2633224000.0,2633224000.0,2633224000.0,
Diluted EPS,60.2,53.59,42.28,37.98,
Basic EPS,60.2,53.59,42.28,37.98,
Diluted NI Availto Com Stockholders,158842300000.0,141454600000.0,111669800000.0,100357000000.0,
Net Income Common Stockholders,158842300000.0,141454600000.0,111669800000.0,100357000000.0,
Net Income,158842300000.0,141454600000.0,111669800000.0,100357000000.0,
Net Income Including Noncontrolling Interests,158842300000.0,141454600000.0,111669800000.0,100357000000.0,
Net Income Discontinuous Operations,0.0,0.0,,,
Net Income Continuous Operations,158842300000.0,141454600000.0,111669800000.0,100357000000.0,
Tax Provision,42332400000.0,38144800000.0,27306900000.0,23948300000.0,
Pretax Income,201174700000.0,179599400000.0,138976700000.0,124305300000.0,
Special Income Charges,-76000000.0,-55600000.0,-66400000.0,-106800000.0,
Other Special Charges,76000000.0,55600000.0,66400000.0,9700000.0,
Write Off,,,300000.0,97100000.0,0.0
Gain On Sale Of Security,2672700000.0,489300000.0,-239000000.0,3465700000.0,
Operating Expense,7687700000.0,6549500000.0,5543900000.0,4742200000.0,
Other Operating Expenses,4122700000.0,3364900000.0,2887900000.0,2520200000.0,
Depreciation And Amortization In Income Statement,247000000.0,239900000.0,242600000.0,182400000.0,
Amortization,2900000.0,11100000.0,26600000.0,,
Depreciation Income Statement,244100000.0,228800000.0,216000000.0,182400000.0,
Selling General And Administration,539800000.0,478800000.0,287500000.0,155000000.0,
Selling And Marketing Expense,308400000.0,322800000.0,107800000.0,23200000.0,
General And Administrative Expense,231400000.0,156000000.0,179700000.0,131800000.0,
Insurance And Claims,5600000.0,1600000.0,1500000.0,900000.0,
Rent And Landing Fees,86300000.0,77400000.0,79200000.0,73200000.0,
Total Revenue,219000000000.0,172407000000.0,146008700000.0,163685400000.0,
Operating Revenue,219000000000.0,172407000000.0,146008700000.0,163685400000.0,
