,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,1314913947.173432,-67308300.892262,4298734.094368,-12869258.980744,
Tax Rate For Calcs,0.220228,0.213406,0.214937,0.189533,
Normalized EBITDA,22488600000.0,21614300000.0,22495700000.0,18804500000.0,
Total Unusual Items,6216200000.0,-315400000.0,20000000.0,-67900000.0,
Total Unusual Items Excluding Goodwill,5970700000.0,-315400000.0,20000000.0,-67900000.0,
Net Income From Continuing Operation Net Minority Interest,16048400000.0,12186200000.0,13925600000.0,12799100000.0,
Reconciled Depreciation,2175800000.0,1810900000.0,1554000000.0,1412800000.0,
Reconciled Cost Of Revenue,954841600000.0,855270900000.0,757597200000.0,597001500000.0,
EBITDA,28704800000.0,21298900000.0,22515700000.0,18736600000.0,
EBIT,26529000000.0,19487900000.0,20961700000.0,17323800000.0,
Net Interest Income,-3502800000.0,-3910400000.0,-2937500000.0,-1114900000.0,
Interest Expense,3180900000.0,3741400000.0,2627000000.0,1100200000.0,
Interest Income,1056500000.0,1257900000.0,617200000.0,513100000.0,
Normalized Income,11638113947.173431,12434291699.107738,13909898734.094368,12854130741.019257,
Net Income From Continuing And Discontinued Operation,16048400000.0,12186200000.0,13925600000.0,12799100000.0,
Total Expenses,972407600000.0,874152800000.0,772379000000.0,608851200000.0,
Rent Expense Supplemental,580800000.0,590900000.0,571000000.0,505600000.0,
Diluted Average Shares,781774431.0,781692363.0,781716132.0,780962573.0,
Basic Average Shares,781774431.0,781692363.0,781488590.0,780655710.0,
Diluted EPS,20.53,15.59,17.81,16.39,
Basic EPS,20.53,15.59,17.82,16.4,
Diluted NI Availto Com Stockholders,16048400000.0,12186200000.0,13925600000.0,12799100000.0,
Net Income Common Stockholders,16048400000.0,12186200000.0,13925600000.0,12799100000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,16048400000.0,12186200000.0,13925600000.0,12799100000.0,
Minority Interests,-2157800000.0,-199900000.0,-468300000.0,-349600000.0,
Net Income Including Noncontrolling Interests,18206200000.0,12386100000.0,14393900000.0,13148700000.0,
Net Income Continuous Operations,18206200000.0,12386100000.0,14393900000.0,13148700000.0,
Tax Provision,5141900000.0,3360400000.0,3940800000.0,3074900000.0,
Pretax Income,23348100000.0,15746500000.0,18334700000.0,16223600000.0,
Other Non Operating Income Expenses,1143100000.0,1307500000.0,762500000.0,279300000.0,
Special Income Charges,5970700000.0,-315400000.0,20000000.0,-67900000.0,
Other Special Charges,-6301700000.0,-33400000.0,-20000000.0,-35900000.0,
Write Off,85500000.0,348800000.0,0.0,103800000.0,
Impairment Of Capital Assets,,,,0.0,63400000.0
Net Non Operating Interest Income Expense,-3502800000.0,-3910400000.0,-2937500000.0,-1114900000.0,
Total Other Finance Cost,1378400000.0,1426900000.0,927700000.0,527800000.0,
Interest Expense Non Operating,3180900000.0,3741400000.0,2627000000.0,1100200000.0,
Interest Income Non Operating,1056500000.0,1257900000.0,617200000.0,513100000.0,
Operating Income,20499900000.0,18945500000.0,20988800000.0,17266800000.0,
Operating Expense,17566000000.0,18881900000.0,14781800000.0,11849700000.0,
Other Operating Expenses,8354700000.0,9740700000.0,7420200000.0,4750100000.0,
Depreciation And Amortization In Income Statement,2175800000.0,1811000000.0,1554000000.0,1412800000.0,
Amortization,619400000.0,392100000.0,347900000.0,376600000.0,
Depreciation Income Statement,1556400000.0,1418900000.0,1206100000.0,1036200000.0,
Selling General And Administration,6354900000.0,6669300000.0,5221400000.0,5098200000.0,
Selling And Marketing Expense,4253000000.0,4550200000.0,3318800000.0,3518200000.0,
General And Administrative Expense,2101900000.0,2119100000.0,1902600000.0,1580000000.0,
Rent And Landing Fees,580800000.0,590900000.0,571000000.0,505600000.0,
Gross Profit,38065900000.0,37827400000.0,35770600000.0,29116500000.0,
Cost Of Revenue,954841600000.0,855270900000.0,757597200000.0,597001500000.0,
Total Revenue,992907500000.0,893098300000.0,793367800000.0,626118000000.0,
Operating Revenue,992907500000.0,893098300000.0,793367800000.0,626118000000.0,
