,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,3378540000.0,-493800000.0,-7841100000.0,431400000.0
Tax Rate For Calcs,0.3,0.3,0.3,0.3
Normalized EBITDA,103997100000.0,31961600000.0,37692400000.0,23468200000.0
Total Unusual Items,11261800000.0,-1646000000.0,-26137000000.0,1438000000.0
Total Unusual Items Excluding Goodwill,11261800000.0,-1646000000.0,-26137000000.0,1438000000.0
Net Income From Continuing Operation Net Minority Interest,49375200000.0,-16086600000.0,-32211800000.0,-9988800000.0
Reconciled Depreciation,14212300000.0,15027500000.0,14485000000.0,12834300000.0
Reconciled Cost Of Revenue,160128800000.0,161688800000.0,158123700000.0,136578500000.0
EBITDA,115258900000.0,30315600000.0,11555400000.0,24906200000.0
EBIT,101046600000.0,15288100000.0,-2929600000.0,12071900000.0
Net Interest Income,-15479800000.0,-20604200000.0,-21393400000.0,-18056800000.0
Interest Expense,16207800000.0,21333800000.0,21727100000.0,18634800000.0
Interest Income,2362400000.0,1958600000.0,1486100000.0,1535100000.0
Normalized Income,41491940000.0,-14934400000.0,-13915900000.0,-10995400000.0
Net Income From Continuing And Discontinued Operation,49375200000.0,-16086600000.0,-32211800000.0,-9988800000.0
Total Expenses,191945700000.0,193621500000.0,189617600000.0,165480700000.0
Rent Expense Supplemental,44300000.0,42800000.0,48300000.0,132800000.0
Diluted Average Shares,409156970.0,377110518.0,285115753.0,262990000.0
Basic Average Shares,396131194.0,377110518.0,285115753.0,262990000.0
Diluted EPS,120.68,-42.66,-112.98,-37.98
Basic EPS,124.64,-42.66,-112.98,-37.98
Diluted NI Availto Com Stockholders,49375200000.0,-16086600000.0,-32211800000.0,-9988800000.0
Net Income Common Stockholders,49375200000.0,-16086600000.0,-32211800000.0,-9988800000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,49375200000.0,-16086600000.0,-32211800000.0,-9988800000.0
Minority Interests,-42397000000.0,-4606800000.0,-6571300000.0,-1306700000.0
Net Income Including Noncontrolling Interests,91772200000.0,-11479800000.0,-25640500000.0,-8682100000.0
Net Income Continuous Operations,91772200000.0,-11479800000.0,-25640500000.0,-8682100000.0
Tax Provision,-62300000.0,409900000.0,73700000.0,225500000.0
Pretax Income,84838800000.0,-6045700000.0,-24656700000.0,-6562900000.0
Other Non Operating Income Expenses,48337300000.0,-7185800000.0,5544500000.0,-10883400000.0
Special Income Charges,10784700000.0,-702000000.0,-24096700000.0,1170400000.0
Other Special Charges,-10926300000.0,700500000.0,24043100000.0,-1247700000.0
Write Off,141600000.0,1500000.0,53600000.0,77300000.0
Net Non Operating Interest Income Expense,-15479800000.0,-20604200000.0,-21393400000.0,-18056800000.0
Total Other Finance Cost,1634400000.0,1229000000.0,1152400000.0,957100000.0
Interest Expense Non Operating,16207800000.0,21333800000.0,21727100000.0,18634800000.0
Interest Income Non Operating,2362400000.0,1958600000.0,1486100000.0,1535100000.0
Operating Income,40827000000.0,23411500000.0,16011700000.0,20350500000.0
Operating Expense,31816900000.0,31932700000.0,31493900000.0,28902200000.0
Other Operating Expenses,6802100000.0,6976600000.0,7077000000.0,6482200000.0
Depreciation And Amortization In Income Statement,14212300000.0,15027500000.0,14485000000.0,12834300000.0
Depreciation Income Statement,14212300000.0,15027500000.0,14485000000.0,12834300000.0
Selling General And Administration,2414200000.0,2285600000.0,1842900000.0,1953700000.0
General And Administrative Expense,2414200000.0,2285600000.0,1842900000.0,1953700000.0
Rent And Landing Fees,44300000.0,42800000.0,48300000.0,132800000.0
Gross Profit,72643900000.0,55344200000.0,47505600000.0,49252700000.0
Cost Of Revenue,160128800000.0,161688800000.0,158123700000.0,136578500000.0
Total Revenue,232772700000.0,217033000000.0,205629300000.0,185831200000.0
Operating Revenue,232772700000.0,217033000000.0,205629300000.0,185831200000.0
