,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-7936461.707063,-1022931600.0,-2000144400.0,-6481104.991521,
Tax Rate For Calcs,0.228987,0.3,0.3,0.247503,
Normalized EBITDA,5150051000.0,2569015000.0,-2803251000.0,3970992000.0,
Total Unusual Items,0.0,0.0,-60326000.0,-26186000.0,
Total Unusual Items Excluding Goodwill,-34659000.0,-3409772000.0,-6667148000.0,-26186000.0,
Net Income From Continuing Operation Net Minority Interest,2025128000.0,-1004456000.0,-4661054000.0,2690044000.0,
Reconciled Depreciation,2065084000.0,1936748000.0,709006000.0,338252000.0,
Reconciled Cost Of Revenue,21843780000.0,22379436000.0,18117525000.0,12590388000.0,
EBITDA,5117390000.0,2423221000.0,-2863577000.0,3944806000.0,
EBIT,3052306000.0,486473000.0,-3572583000.0,3606554000.0,
Net Interest Income,-380425000.0,-613829000.0,-349532000.0,-5555000.0,
Interest Expense,423727000.0,635317000.0,390413000.0,31732000.0,
Interest Income,,40786000.0,52159000.0,37161000.0,59684000.0
Normalized Income,2025128000.0,4640147400.0,6612771600.0,2709748895.008479,
Net Income From Continuing And Discontinued Operation,2025128000.0,-1004456000.0,-4661054000.0,2690044000.0,
Total Expenses,33953349000.0,34176430000.0,23711306000.0,16059136000.0,
Rent Expense Supplemental,127545000.0,44159000.0,37062000.0,25222000.0,
Diluted Average Shares,206501426.0,205669267.0,167357975.0,160996331.0,
Basic Average Shares,206435066.0,205831148.0,167357975.0,160996331.0,
Diluted EPS,9.81,-4.88,-27.85,16.71,
Basic EPS,9.81,-4.88,-27.85,16.71,
Diluted NI Availto Com Stockholders,2025128000.0,-1004456000.0,-4661054000.0,2690044000.0,
Net Income Common Stockholders,2025128000.0,-1004456000.0,-4661054000.0,2690044000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,2025128000.0,-1004456000.0,-4661054000.0,2690044000.0,
Minority Interests,0.0,-3362000.0,-4532000.0,,
Net Income Including Noncontrolling Interests,2025128000.0,-1001094000.0,-4656522000.0,2690044000.0,
Net Income Continuous Operations,2025128000.0,-1001094000.0,-4656522000.0,2690044000.0,
Tax Provision,601453000.0,846035000.0,693526000.0,884778000.0,
Pretax Income,2626581000.0,-155059000.0,-3962996000.0,3574822000.0,
Other Non Operating Income Expenses,260705000.0,109626000.0,47672000.0,26869000.0,
Special Income Charges,-42504000.0,-3409772000.0,-6667148000.0,-26186000.0,
Other Special Charges,11860000.0,43371000.0,-33534000.0,3811000.0,
Write Off,,108638000.0,93860000.0,22375000.0,10507000.0
Net Non Operating Interest Income Expense,-380425000.0,-613829000.0,-349532000.0,-5555000.0,
Total Other Finance Cost,,19298000.0,11278000.0,10984000.0,11853000.0
Interest Expense Non Operating,423727000.0,635317000.0,390413000.0,31732000.0,
Interest Income Non Operating,52804000.0,40786000.0,52159000.0,37161000.0,
Operating Income,3126927000.0,3962396000.0,3186343000.0,3629448000.0,
Operating Expense,12109569000.0,11796994000.0,5593781000.0,3468748000.0,
Other Operating Expenses,3099197000.0,3317380000.0,2410059000.0,1461248000.0,
Depreciation And Amortization In Income Statement,2065084000.0,1936748000.0,709006000.0,338252000.0,
Amortization,,918719000.0,186551000.0,10753000.0,4344000.0
Depreciation Income Statement,1999221000.0,1824856000.0,522455000.0,327499000.0,
Selling General And Administration,,1149121000.0,761211000.0,711864000.0,493760000.0
Selling And Marketing Expense,722880000.0,649618000.0,476576000.0,495388000.0,
General And Administrative Expense,,499503000.0,284635000.0,216476000.0,93517000.0
Rent And Landing Fees,,44159000.0,37062000.0,25222000.0,11484000.0
Gross Profit,12931443000.0,13691308000.0,8780124000.0,7098196000.0,
Cost Of Revenue,23310337000.0,23654640000.0,18117525000.0,12590388000.0,
Total Revenue,36241780000.0,37811040000.0,26897649000.0,19688584000.0,
Operating Revenue,36241780000.0,37345948000.0,26897649000.0,19688584000.0,
