,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,85188276.521185,-18682409.451638,-56957747.570808,-55900329.206911
Tax Rate For Calcs,0.250186,0.261292,0.262236,0.267338
Normalized EBITDA,5967500000.0,7410600000.0,8672800000.0,8262500000.0
Total Unusual Items,340500000.0,-71500000.0,-217200000.0,-209100000.0
Total Unusual Items Excluding Goodwill,340500000.0,-71500000.0,-217200000.0,-209100000.0
Net Income From Continuing Operation Net Minority Interest,3848000000.0,4554000000.0,5420400000.0,5163700000.0
Reconciled Depreciation,621200000.0,606600000.0,666900000.0,656100000.0
Reconciled Cost Of Revenue,10549600000.0,11480200000.0,11846700000.0,12310600000.0
EBITDA,6308000000.0,7339100000.0,8455600000.0,8053400000.0
EBIT,5686800000.0,6732500000.0,7788700000.0,7397300000.0
Net Interest Income,661900000.0,635300000.0,504600000.0,514900000.0
Interest Expense,36600000.0,28900000.0,49500000.0,46300000.0
Interest Income,719900000.0,682400000.0,574900000.0,587400000.0
Normalized Income,3592688276.521185,4606817590.548362,5580642252.429192,5316899670.793089
Net Income From Continuing And Discontinued Operation,3848000000.0,4554000000.0,5420400000.0,5163700000.0
Total Expenses,17466300000.0,18529600000.0,18975000000.0,19524200000.0
Rent Expense Supplemental,105700000.0,99900000.0,99400000.0,68400000.0
Diluted Average Shares,480603774.0,480603774.0,480603774.0,480603774.0
Basic Average Shares,480603774.0,480603774.0,480603774.0,480603774.0
Diluted EPS,8.01,9.48,11.28,10.745
Basic EPS,8.01,9.48,11.28,10.745
Diluted NI Availto Com Stockholders,3848000000.0,4554000000.0,5420400000.0,5163700000.0
Net Income Common Stockholders,3848000000.0,4554000000.0,5420400000.0,5163700000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,3848000000.0,4554000000.0,5420400000.0,5163700000.0
Minority Interests,-388600000.0,-398000000.0,-289300000.0,-222100000.0
Net Income Including Noncontrolling Interests,4236600000.0,4952000000.0,5709700000.0,5385800000.0
Net Income Continuous Operations,4236600000.0,4952000000.0,5709700000.0,5385800000.0
Tax Provision,1413600000.0,1751600000.0,2029500000.0,1965200000.0
Pretax Income,5650200000.0,6703600000.0,7739200000.0,7351000000.0
Other Non Operating Income Expenses,49200000.0,87400000.0,26900000.0,53400000.0
Special Income Charges,340500000.0,-71500000.0,-226800000.0,-231000000.0
Other Special Charges,-261000000.0,-55500000.0,-51600000.0,-5800000.0
Write Off,-79700000.0,127000000.0,277800000.0,236300000.0
Impairment Of Capital Assets,200000.0,0.0,600000.0,500000.0
Net Non Operating Interest Income Expense,661900000.0,635300000.0,504600000.0,514900000.0
Total Other Finance Cost,21400000.0,18200000.0,20800000.0,26200000.0
Interest Expense Non Operating,36600000.0,28900000.0,49500000.0,46300000.0
Interest Income Non Operating,719900000.0,682400000.0,574900000.0,587400000.0
Operating Income,4374700000.0,5908600000.0,7009100000.0,6812800000.0
Operating Expense,6916700000.0,7049400000.0,7128300000.0,7213600000.0
Other Operating Expenses,1026100000.0,1143500000.0,1105300000.0,1190700000.0
Depreciation And Amortization In Income Statement,621200000.0,606600000.0,666900000.0,656100000.0
Amortization,27200000.0,26900000.0,18700000.0,19900000.0
Depreciation Income Statement,594000000.0,579700000.0,648200000.0,636200000.0
Research And Development,9900000.0,6900000.0,4000000.0,
Selling General And Administration,153100000.0,275100000.0,388000000.0,330400000.0
Selling And Marketing Expense,48900000.0,160200000.0,278000000.0,237600000.0
General And Administrative Expense,104200000.0,114900000.0,110000000.0,92800000.0
Rent And Landing Fees,105700000.0,99900000.0,99400000.0,68400000.0
Gross Profit,11291400000.0,12958000000.0,14137400000.0,14026400000.0
Cost Of Revenue,10549600000.0,11480200000.0,11846700000.0,12310600000.0
Total Revenue,21841000000.0,24438200000.0,25984100000.0,26337000000.0
Operating Revenue,21841000000.0,24438200000.0,25984100000.0,26337000000.0
