,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,23894100.0,17822913.694821,1534089.205108,62756.399578,
Tax Rate For Calcs,0.3,0.288411,0.337385,0.217904,
Normalized EBITDA,5169536000.0,7449403000.0,6620354000.0,4957683000.0,
Total Unusual Items,79647000.0,61797000.0,4547000.0,288000.0,
Total Unusual Items Excluding Goodwill,79647000.0,61797000.0,4547000.0,288000.0,
Net Income From Continuing Operation Net Minority Interest,3315505000.0,2828806000.0,2481084000.0,1980269000.0,
Reconciled Depreciation,2712823000.0,2572144000.0,2016397000.0,1693532000.0,
Reconciled Cost Of Revenue,25453655000.0,22849382000.0,19445980000.0,14333941000.0,
EBITDA,5249183000.0,7511200000.0,6624901000.0,4957971000.0,
EBIT,2536360000.0,4939056000.0,4608504000.0,3264439000.0,
Net Interest Income,-1658639000.0,-1388858000.0,-1204429000.0,-962212000.0,
Interest Expense,1059489000.0,963721000.0,864122000.0,732436000.0,
Interest Income,49514000.0,80693000.0,13104000.0,9587000.0,
Normalized Income,3259752100.0,2784831913.694821,2478071089.205108,1980043756.399578,
Net Income From Continuing And Discontinued Operation,4150252000.0,2912127000.0,2481084000.0,1980269000.0,
Total Expenses,37458340000.0,28507456000.0,24152407000.0,17626690000.0,
Rent Expense Supplemental,142551000.0,118081000.0,91523000.0,68655000.0,
Diluted Average Shares,180839978.0,169918567.0,160809954.0,159898067.0,
Basic Average Shares,180839978.0,168431967.0,159889535.0,159889535.0,
Diluted EPS,22.95,17.14,15.43,12.43,
Basic EPS,22.95,17.28,15.52,12.43,
Diluted NI Availto Com Stockholders,4150252000.0,2912127000.0,2481084000.0,1980269000.0,
Net Income Common Stockholders,4150252000.0,2912127000.0,2481084000.0,1980269000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,4150252000.0,2912127000.0,2481084000.0,1980269000.0,
Minority Interests,0.0,0.0,0.0,0.0,
Net Income Including Noncontrolling Interests,4150252000.0,2912127000.0,2481084000.0,1980269000.0,
Net Income Discontinuous Operations,834747000.0,83321000.0,,,
Net Income Continuous Operations,3315505000.0,2828806000.0,2481084000.0,1980269000.0,
Tax Provision,-1838634000.0,1146529000.0,1263298000.0,551734000.0,
Pretax Income,1476871000.0,3975335000.0,3744382000.0,2532003000.0,
Other Non Operating Income Expenses,127109000.0,43921000.0,21917000.0,4716000.0,
Special Income Charges,71052000.0,6759000.0,4547000.0,288000.0,
Other Special Charges,-71354000.0,-6759000.0,-4547000.0,-288000.0,
Write Off,302000.0,0.0,,,52787000.0
Net Non Operating Interest Income Expense,-1625330000.0,-1388858000.0,-1204429000.0,-962212000.0,
Total Other Finance Cost,615355000.0,505830000.0,353411000.0,239363000.0,
Interest Expense Non Operating,1059489000.0,963721000.0,864122000.0,732436000.0,
Interest Income Non Operating,49514000.0,80693000.0,13104000.0,9587000.0,
Operating Income,2546603000.0,4880964000.0,4441831000.0,3110736000.0,
Operating Expense,8285174000.0,5658074000.0,4706427000.0,3292749000.0,
Other Operating Expenses,3695459000.0,2513645000.0,1892690000.0,1311024000.0,
Depreciation And Amortization In Income Statement,2712823000.0,2572144000.0,2016397000.0,1693532000.0,
Amortization,42455000.0,24978000.0,6413000.0,2387000.0,
Depreciation Income Statement,2670368000.0,2547166000.0,2009984000.0,1691145000.0,
Selling General And Administration,2826018000.0,1887726000.0,1856149000.0,1024558000.0,
Selling And Marketing Expense,2234270000.0,1625247000.0,1665170000.0,882603000.0,
General And Administrative Expense,591748000.0,262479000.0,190979000.0,141955000.0,
Rent And Landing Fees,142551000.0,118081000.0,91523000.0,68655000.0,
Gross Profit,10831777000.0,10539038000.0,9148258000.0,6403485000.0,
Cost Of Revenue,25453655000.0,22849382000.0,19445980000.0,14333941000.0,
Total Revenue,36285432000.0,33388420000.0,28594238000.0,20737426000.0,
Operating Revenue,36285432000.0,33388420000.0,28594238000.0,20737426000.0,
