,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,1125820670.825553,382590000.0,3052290000.0,2640000.0,
Tax Rate For Calcs,0.03278,0.3,0.3,0.3,
Normalized EBITDA,24074500000.0,11292500000.0,17851800000.0,28339300000.0,
Total Unusual Items,34373200000.0,1275300000.0,10174300000.0,8800000.0,
Total Unusual Items Excluding Goodwill,34344800000.0,1275300000.0,10174300000.0,8800000.0,
Net Income From Continuing Operation Net Minority Interest,29474000000.0,-22421800000.0,-4107700000.0,-9726000000.0,
Reconciled Depreciation,10960200000.0,12567500000.0,12277500000.0,12750500000.0,
Reconciled Cost Of Revenue,42194300000.0,41552000000.0,39565300000.0,33053300000.0,
EBITDA,58447700000.0,12567800000.0,28026100000.0,28348100000.0,
EBIT,47487500000.0,300000.0,15748600000.0,15597600000.0,
Net Interest Income,-14837000000.0,-19313300000.0,-19651600000.0,-21481900000.0,
Interest Expense,17014600000.0,20281800000.0,18538400000.0,24392500000.0,
Interest Income,5721600000.0,5199600000.0,5389600000.0,5726300000.0,
Normalized Income,-3716579329.174447,-23314510000.0,-11229710000.0,-9732160000.0,
Net Income From Continuing And Discontinued Operation,29478300000.0,-20683800000.0,-4707700000.0,-9640000000.0,
Total Expenses,60774900000.0,77185100000.0,65442300000.0,57428400000.0,
Rent Expense Supplemental,332100000.0,213300000.0,168700000.0,178800000.0,
Diluted Average Shares,4095896014.0,3984379739.0,3686286241.0,3752592219.0,
Basic Average Shares,4016970966.0,3789274723.0,3480498241.0,3230592219.0,
Diluted EPS,7.197,-5.458,-1.353,-2.984,
Basic EPS,7.338,-5.458,-1.353,-2.984,
Diluted NI Availto Com Stockholders,29478300000.0,-20683800000.0,-4707700000.0,-9640000000.0,
Net Income Common Stockholders,29478300000.0,-20683800000.0,-4707700000.0,-9640000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,29478300000.0,-20683800000.0,-4707700000.0,-9640000000.0,
Minority Interests,0.0,0.0,-678800000.0,-493800000.0,
Net Income Including Noncontrolling Interests,29478300000.0,-20683800000.0,-4028900000.0,-9146200000.0,
Net Income Extraordinary,,,0.0,0.0,
Net Income Discontinuous Operations,4300000.0,1738000000.0,-600000000.0,86000000.0,
Net Income Continuous Operations,29474000000.0,-22421800000.0,-3428900000.0,-9232200000.0,
Tax Provision,998900000.0,2140300000.0,639100000.0,437300000.0,
Pretax Income,30472900000.0,-20281500000.0,-2789800000.0,-8794900000.0,
Other Non Operating Income Expenses,254800000.0,661800000.0,1715800000.0,573100000.0,
Special Income Charges,34318300000.0,-426300000.0,10156400000.0,-1500000.0,
Other Special Charges,-33459900000.0,-18837200000.0,-10156400000.0,1500000.0,
Write Off,-886800000.0,0.0,4359000000.0,2496400000.0,
Impairment Of Capital Assets,0.0,19263500000.0,0.0,,0.0
Net Non Operating Interest Income Expense,-14837000000.0,-19313300000.0,-19651600000.0,-21481900000.0,
Total Other Finance Cost,3544000000.0,4231100000.0,6502800000.0,2815700000.0,
Interest Expense Non Operating,17014600000.0,20281800000.0,18538400000.0,24392500000.0,
Interest Income Non Operating,5721600000.0,5199600000.0,5389600000.0,5726300000.0,
Operating Income,10757200000.0,-2920600000.0,4883700000.0,12380900000.0,
Operating Expense,18580600000.0,35633100000.0,25877000000.0,24375100000.0,
Other Operating Expenses,4392400000.0,19599600000.0,7584100000.0,5948000000.0,
Depreciation And Amortization In Income Statement,9096700000.0,10617500000.0,10166900000.0,10772800000.0,
Depreciation Income Statement,9096700000.0,10617500000.0,10166900000.0,10772800000.0,
Selling General And Administration,3287200000.0,3891000000.0,6699900000.0,6297900000.0,
General And Administrative Expense,3287200000.0,3891000000.0,6699900000.0,6297900000.0,
Rent And Landing Fees,332100000.0,213300000.0,168700000.0,178800000.0,
Gross Profit,29337800000.0,32712500000.0,30760700000.0,36756000000.0,
Cost Of Revenue,42194300000.0,41552000000.0,39565300000.0,33053300000.0,
Total Revenue,71532100000.0,74264500000.0,70326000000.0,69809300000.0,
Operating Revenue,71532100000.0,74264500000.0,70326000000.0,69809300000.0,
