,2025-03-31,2024-03-31,2023-03-31
Tax Effect Of Unusual Items,4586596.915937,1451509.427717,-27604074.010244
Tax Rate For Calcs,0.290843,0.055507,0.226765
Normalized EBITDA,13526130000.0,11134220000.0,10570370000.0
Total Unusual Items,15770000.0,26150000.0,-121730000.0
Total Unusual Items Excluding Goodwill,15770000.0,26150000.0,-121730000.0
Net Income From Continuing Operation Net Minority Interest,5391230000.0,2282660000.0,1435720000.0
Reconciled Depreciation,4668560000.0,6892110000.0,6443380000.0
Reconciled Cost Of Revenue,31703220000.0,27470040000.0,25030070000.0
EBITDA,13541900000.0,11160370000.0,10448640000.0
EBIT,8873340000.0,4268260000.0,4005260000.0
Net Interest Income,-1012220000.0,-1771660000.0,-2111010000.0
Interest Expense,1271030000.0,1851450000.0,2148490000.0
Interest Income,258810000.0,79790000.0,37480000.0
Normalized Income,5380046596.915937,2257961509.427717,1529845925.989756
Net Income From Continuing And Discontinued Operation,5391230000.0,2282660000.0,1435720000.0
Total Expenses,47297800000.0,43546780000.0,38233610000.0
Rent Expense Supplemental,254200000.0,116520000.0,196980000.0
Diluted Average Shares,4617642048.0,4681328413.0,4681328413.0
Basic Average Shares,4617642048.0,4681328413.0,4681328413.0
Diluted EPS,1.17,0.487609,0.306691
Basic EPS,1.17,0.487609,0.306691
Diluted NI Availto Com Stockholders,5391230000.0,2282660000.0,1435720000.0
Net Income Common Stockholders,5391230000.0,2282660000.0,1435720000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0
Net Income,5391230000.0,2282660000.0,1435720000.0
Minority Interests,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,5391230000.0,2282660000.0,1435720000.0
Net Income Continuous Operations,5391230000.0,2282660000.0,1435720000.0
Tax Provision,2211080000.0,134150000.0,421050000.0
Pretax Income,7602310000.0,2416810000.0,1856770000.0
Other Non Operating Income Expenses,19980000.0,6720000.0,38480000.0
Special Income Charges,15770000.0,26150000.0,-121730000.0
Other Special Charges,-15770000.0,-26150000.0,121730000.0
Net Non Operating Interest Income Expense,-1012220000.0,-1771660000.0,-2111010000.0
Interest Expense Non Operating,1271030000.0,1851450000.0,2148490000.0
Interest Income Non Operating,258810000.0,79790000.0,37480000.0
Operating Income,8401380000.0,3988790000.0,3950470000.0
Operating Expense,15594580000.0,16076740000.0,13203540000.0
Other Operating Expenses,5059850000.0,4621640000.0,4238080000.0
Depreciation And Amortization In Income Statement,4668560000.0,6892110000.0,6443380000.0
Amortization,1678390000.0,4413960000.0,4298000000.0
Depreciation Income Statement,2990170000.0,2478150000.0,2145380000.0
Selling General And Administration,2126900000.0,2278050000.0,2095720000.0
Selling And Marketing Expense,133030000.0,204980000.0,165880000.0
General And Administrative Expense,1993870000.0,2073070000.0,1929840000.0
Rent And Landing Fees,254200000.0,116520000.0,196980000.0
Gross Profit,23995960000.0,20065530000.0,17154010000.0
Cost Of Revenue,31703220000.0,27470040000.0,25030070000.0
Total Revenue,55699180000.0,47535570000.0,42184080000.0
Operating Revenue,55699180000.0,47535570000.0,42184080000.0
