,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-9821460.0,-32541983.265284,-28804910.409556,37824444.559051
Tax Rate For Calcs,0.253,0.241912,0.391212,0.357813
Normalized EBITDA,4463220000.0,3280320000.0,2002600000.0,1388560000.0
Total Unusual Items,-38820000.0,-134520000.0,-73630000.0,105710000.0
Total Unusual Items Excluding Goodwill,-38820000.0,-134520000.0,-73630000.0,105710000.0
Net Income From Continuing Operation Net Minority Interest,1701320000.0,828090000.0,99890000.0,62260000.0
Reconciled Depreciation,1385730000.0,1194360000.0,994320000.0,901610000.0
Reconciled Cost Of Revenue,10414980000.0,9686560000.0,8787650000.0,6021550000.0
EBITDA,4424400000.0,3145800000.0,1928970000.0,1494270000.0
EBIT,3038670000.0,1951440000.0,934650000.0,592660000.0
Net Interest Income,-607780000.0,-739610000.0,-703590000.0,-461280000.0
Interest Expense,761640000.0,859100000.0,770570000.0,495710000.0
Interest Income,175650000.0,135970000.0,106640000.0,70500000.0
Normalized Income,1730318540.0,930068016.734716,144715089.590444,-5625555.440949
Net Income From Continuing And Discontinued Operation,1701320000.0,828090000.0,99890000.0,62260000.0
Total Expenses,13872430000.0,12753070000.0,11201210000.0,8336560000.0
Rent Expense Supplemental,21940000.0,20720000.0,51320000.0,13560000.0
Diluted Average Shares,197600460.0,207989529.0,207989529.0,207989529.0
Basic Average Shares,192633970.0,186746667.0,207989529.0,207989529.0
Diluted EPS,8.61,3.981402,0.480265,0.299342
Basic EPS,8.83,4.434296,0.480265,0.299342
Diluted NI Availto Com Stockholders,1701320000.0,828090000.0,99890000.0,62260000.0
Net Income Common Stockholders,1701320000.0,828090000.0,99890000.0,62260000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,1701320000.0,828090000.0,99890000.0,62260000.0
Net Income Including Noncontrolling Interests,1701320000.0,828090000.0,99890000.0,62260000.0
Net Income Continuous Operations,1701320000.0,828090000.0,99890000.0,62260000.0
Tax Provision,575710000.0,264250000.0,64190000.0,34690000.0
Pretax Income,2277030000.0,1092340000.0,164080000.0,96950000.0
Other Non Operating Income Expenses,1380000.0,8580000.0,,
Special Income Charges,-38820000.0,-134520000.0,-73630000.0,105710000.0
Other Special Charges,18110000.0,-100000.0,5670000.0,-113140000.0
Write Off,3510000.0,72760000.0,67960000.0,7430000.0
Impairment Of Capital Assets,17200000.0,61860000.0,0.0,0.0
Net Non Operating Interest Income Expense,-607780000.0,-739610000.0,-703590000.0,-461280000.0
Total Other Finance Cost,21790000.0,16480000.0,39660000.0,36070000.0
Interest Expense Non Operating,761640000.0,859100000.0,770570000.0,495710000.0
Interest Income Non Operating,175650000.0,135970000.0,106640000.0,70500000.0
Operating Income,2731490000.0,1811630000.0,768280000.0,354680000.0
Operating Expense,3457450000.0,3066510000.0,2413560000.0,2315010000.0
Other Operating Expenses,1739220000.0,1303900000.0,1258290000.0,1064860000.0
Depreciation And Amortization In Income Statement,1385730000.0,1194360000.0,994320000.0,901610000.0
Amortization,96190000.0,87670000.0,45730000.0,32410000.0
Depreciation Income Statement,1289540000.0,1106690000.0,948590000.0,869200000.0
Selling General And Administration,469330000.0,474530000.0,311530000.0,339670000.0
Selling And Marketing Expense,117950000.0,81570000.0,85580000.0,77380000.0
General And Administrative Expense,351380000.0,392960000.0,225950000.0,262290000.0
Rent And Landing Fees,21940000.0,20720000.0,51320000.0,13560000.0
Gross Profit,6188940000.0,4878140000.0,3181840000.0,2669690000.0
Cost Of Revenue,10414980000.0,9686560000.0,8787650000.0,6021550000.0
Total Revenue,16603920000.0,14564700000.0,11969490000.0,8691240000.0
Operating Revenue,16603920000.0,14564700000.0,11969490000.0,8691240000.0
