,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,0.0,4317278556.914884,0.0,-48597.157678,
Tax Rate For Calcs,0.239147,0.261856,0.296892,0.242986,
Normalized EBITDA,,15635100000.0,,73037900000.0,
Total Unusual Items,18750200000.0,16487200000.0,8849200000.0,3198500000.0,
Total Unusual Items Excluding Goodwill,,16487200000.0,0.0,-200000.0,-34800000.0
Net Income From Continuing Operation Net Minority Interest,-18074600000.0,12169700000.0,11276800000.0,11777400000.0,
Reconciled Depreciation,830300000.0,846200000.0,855700000.0,773700000.0,
EBITDA,,32122300000.0,70863500000.0,,
EBIT,-10684000000.0,31276100000.0,70007800000.0,,
Net Interest Income,23883200000.0,-15201800000.0,22795900000.0,25970500000.0,
Interest Expense,47913600000.0,14789200000.0,53969300000.0,59905000000.0,
Interest Income,71796800000.0,2781500000.0,76765200000.0,85875500000.0,
Normalized Income,-32340749383.93733,-221443.085116,11276800000.0,11777551402.842321,
Net Income From Continuing And Discontinued Operation,-18074600000.0,12143900000.0,11296900000.0,11777400000.0,
Total Expenses,100301200000.0,52638600000.0,,,
Diluted Average Shares,678218222.0,516132407.0,502943367.0,501238441.0,
Basic Average Shares,676951311.0,510677040.0,502943367.0,499833408.0,
Diluted EPS,-26.7,23.53,22.461575,23.493769,
Basic EPS,-26.7,23.78,22.461575,23.565124,
Diluted NI Availto Com Stockholders,-18074600000.0,12143900000.0,11296900000.0,11777400000.0,
Net Income Common Stockholders,-18074600000.0,12143900000.0,11296900000.0,11777400000.0,
Net Income,-18074600000.0,12143900000.0,11296900000.0,11777400000.0,
Net Income Including Noncontrolling Interests,-18074600000.0,12143900000.0,11296900000.0,11777400000.0,
Net Income Discontinuous Operations,0.0,-25800000.0,20100000.0,0.0,
Net Income Continuous Operations,-18074600000.0,12169700000.0,11276800000.0,11777400000.0,
Tax Provision,-5681100000.0,4317200000.0,4761700000.0,3780300000.0,
Pretax Income,-23755700000.0,16486900000.0,16038500000.0,15557700000.0,
Other Non Operating Income Expenses,76200000.0,457100000.0,,,
Special Income Charges,13394200000.0,1969500000.0,0.0,-200000.0,
Other Special Charges,,,,200000.0,34800000.0
Impairment Of Capital Assets,52100000.0,0.0,,,
Gain On Sale Of Security,9143800000.0,15493500000.0,8849200000.0,3198700000.0,
Total Other Finance Cost,2456900000.0,3194100000.0,,,
Operating Expense,62233600000.0,11871200000.0,8155100000.0,7278500000.0,
Other Operating Expenses,3774900000.0,9638900000.0,1084200000.0,1113800000.0,
Depreciation And Amortization In Income Statement,830200000.0,846200000.0,855700000.0,773700000.0,
Depreciation Income Statement,681200000.0,696000000.0,855700000.0,773700000.0,
Selling General And Administration,,825600000.0,874200000.0,602100000.0,682900000.0
Selling And Marketing Expense,,63900000.0,113500000.0,107400000.0,44800000.0
General And Administrative Expense,2334400000.0,761700000.0,760700000.0,494700000.0,
Rent And Landing Fees,120100000.0,78300000.0,141300000.0,54100000.0,
Gross Profit,32861000000.0,,,,
Total Revenue,70928600000.0,67383000000.0,30836000000.0,27459800000.0,
Operating Revenue,38918900000.0,67383000000.0,30836000000.0,27459800000.0,
