,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,65171840.0,180898560.0,-63074500.0,-40265280.0,
Tax Rate For Calcs,0.2578,0.2298,0.2498,0.2706,
Normalized EBITDA,13686300000.0,8873900000.0,11207400000.0,13984300000.0,
Total Unusual Items,252800000.0,787200000.0,-252500000.0,-148800000.0,
Total Unusual Items Excluding Goodwill,252800000.0,787200000.0,-252500000.0,-148800000.0,
Net Income From Continuing Operation Net Minority Interest,6998200000.0,5230000000.0,6021100000.0,8041600000.0,
Reconciled Depreciation,2711600000.0,1833000000.0,1783500000.0,1431600000.0,
Reconciled Cost Of Revenue,28324500000.0,26262200000.0,27054400000.0,22565200000.0,
EBITDA,13939100000.0,9661100000.0,10954900000.0,13835500000.0,
EBIT,11224800000.0,7828100000.0,9171300000.0,12403900000.0,
Net Interest Income,-1191300000.0,-438700000.0,-697100000.0,-1043300000.0,
Interest Expense,2047300000.0,1154400000.0,1102900000.0,1323700000.0,
Interest Income,1002900000.0,830900000.0,502300000.0,416800000.0,
Normalized Income,6810571840.0,4623698560.0,6210525500.0,8150134720.0,
Net Income From Continuing And Discontinued Operation,6998200000.0,5230000000.0,6021100000.0,8041600000.0,
Total Expenses,36500700000.0,32193800000.0,33160000000.0,26880800000.0,
Rent Expense Supplemental,42600000.0,31200000.0,31100000.0,29300000.0,
Diluted Average Shares,352381270.0,352381270.0,354300000.0,360000000.0,
Basic Average Shares,352381270.0,352381270.0,354300000.0,360000000.0,
Diluted EPS,19.86,14.84,16.99,22.307,
Basic EPS,19.86,14.84,16.99,22.307,
Diluted NI Availto Com Stockholders,6998200000.0,5230000000.0,6021100000.0,8041600000.0,
Net Income Common Stockholders,6998200000.0,5230000000.0,6021100000.0,8041600000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,6998200000.0,5230000000.0,6021100000.0,8041600000.0,
Minority Interests,-23700000.0,-10400000.0,-18700000.0,-25400000.0,
Net Income Including Noncontrolling Interests,7021900000.0,5240400000.0,6039800000.0,8067000000.0,
Net Income Continuous Operations,7021800000.0,5240400000.0,6039800000.0,8067000000.0,
Tax Provision,2365700000.0,1587400000.0,2018000000.0,2997900000.0,
Pretax Income,9177500000.0,6673700000.0,8068400000.0,11080200000.0,
Other Non Operating Income Expenses,412100000.0,170400000.0,222100000.0,139500000.0,
Special Income Charges,-3600000.0,-29100000.0,0.0,-73600000.0,
Other Special Charges,3600000.0,29100000.0,,73600000.0,145200000.0
Net Non Operating Interest Income Expense,-1191300000.0,-438700000.0,-697100000.0,-1043300000.0,
Total Other Finance Cost,146900000.0,115200000.0,96500000.0,136400000.0,
Interest Expense Non Operating,2047300000.0,1154400000.0,1102900000.0,1323700000.0,
Interest Income Non Operating,1002900000.0,830900000.0,502300000.0,416800000.0,
Operating Income,9549400000.0,6035700000.0,8734100000.0,11962900000.0,
Operating Expense,8176200000.0,5931600000.0,6105600000.0,4315600000.0,
Other Operating Expenses,2153300000.0,1765700000.0,1576600000.0,784300000.0,
Depreciation And Amortization In Income Statement,2714300000.0,1833000000.0,1783600000.0,1431600000.0,
Amortization,28600000.0,28500000.0,28700000.0,,
Depreciation Income Statement,2685700000.0,1804500000.0,1754900000.0,1431600000.0,
Selling General And Administration,1882900000.0,1330400000.0,1668200000.0,1237900000.0,
Selling And Marketing Expense,928900000.0,853200000.0,1220700000.0,673600000.0,
General And Administrative Expense,954000000.0,477200000.0,447500000.0,564300000.0,
Rent And Landing Fees,42600000.0,31200000.0,31100000.0,29300000.0,
Gross Profit,17725600000.0,11967300000.0,14839700000.0,16278500000.0,
Cost Of Revenue,28324500000.0,26262200000.0,27054400000.0,22565200000.0,
Total Revenue,46049900000.0,38229500000.0,41894100000.0,38843700000.0,
Operating Revenue,46050100000.0,38229500000.0,41894100000.0,38843700000.0,
