,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,44246499.139714,17160166.378062,53018837.147394,18382412.748488
Tax Rate For Calcs,0.260194,0.270422,0.254057,0.239538
Normalized EBITDA,2952575000.0,3033951000.0,2534037000.0,2259941000.0
Total Unusual Items,444395000.0,63457000.0,208689000.0,76741000.0
Total Unusual Items Excluding Goodwill,170052000.0,63457000.0,208689000.0,76741000.0
Net Income From Continuing Operation Net Minority Interest,2042465000.0,1975939000.0,1853382000.0,1643523000.0
Reconciled Depreciation,582108000.0,361818000.0,208195000.0,131010000.0
Reconciled Cost Of Revenue,6114005000.0,2933116000.0,2905976000.0,2058351000.0
EBITDA,3396970000.0,3097408000.0,2742726000.0,2336682000.0
EBIT,2814862000.0,2735590000.0,2534531000.0,2205672000.0
Net Interest Income,361468000.0,376539000.0,237887000.0,138394000.0
Interest Expense,54152000.0,27733000.0,53754000.0,43847000.0
Interest Income,418883000.0,408960000.0,295035000.0,183588000.0
Normalized Income,2191002499.139714,1929642166.378062,1697711837.147394,1585164412.748488
Net Income From Continuing And Discontinued Operation,2042465000.0,1975939000.0,1853382000.0,1525994000.0
Total Expenses,9457927000.0,5366971000.0,5060368000.0,3807851000.0
Rent Expense Supplemental,43616000.0,118864000.0,36733000.0,33912000.0
Diluted Average Shares,192561701.0,192320445.0,192555021.0,181147776.0
Basic Average Shares,192309932.0,192320445.0,192537339.0,180914699.0
Diluted EPS,10.61,10.27,9.63,8.42
Basic EPS,10.62,10.27,9.63,8.43
Diluted NI Availto Com Stockholders,2042465000.0,1975939000.0,1853382000.0,1525994000.0
Net Income Common Stockholders,2042465000.0,1975939000.0,1853382000.0,1525994000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,2042465000.0,1975939000.0,1853382000.0,1525994000.0
Minority Interests,147000.0,346000.0,2863000.0,-462000.0
Net Income Including Noncontrolling Interests,2042390000.0,1975593000.0,1850519000.0,1526456000.0
Net Income Discontinuous Operations,,,0.0,-117529000.0
Net Income Continuous Operations,2042390000.0,1975593000.0,1850519000.0,1643985000.0
Tax Provision,718320000.0,732264000.0,630258000.0,517840000.0
Pretax Income,2760710000.0,2707857000.0,2480777000.0,2161825000.0
Other Non Operating Income Expenses,17346000.0,55850000.0,5541000.0,2474000.0
Special Income Charges,30436000.0,-99511000.0,8293000.0,16335000.0
Other Special Charges,-1537000.0,187000.0,-8714000.0,-16404000.0
Write Off,20722000.0,72581000.0,421000.0,69000.0
Impairment Of Capital Assets,0.0,26743000.0,0.0,
Restructuring And Mergern Acquisition,-323964000.0,0.0,,
Net Non Operating Interest Income Expense,361468000.0,376539000.0,237887000.0,138394000.0
Total Other Finance Cost,3263000.0,4688000.0,3394000.0,1347000.0
Interest Expense Non Operating,54152000.0,27733000.0,53754000.0,43847000.0
Interest Income Non Operating,418883000.0,408960000.0,295035000.0,183588000.0
Operating Income,2208929000.0,2212752000.0,2002170000.0,1865719000.0
Operating Expense,3343922000.0,2433855000.0,2154392000.0,1749500000.0
Other Operating Expenses,344656000.0,276420000.0,323905000.0,230738000.0
Depreciation And Amortization In Income Statement,582108000.0,361818000.0,208195000.0,130240000.0
Amortization,529913000.0,314993000.0,179302000.0,106170000.0
Depreciation Income Statement,52195000.0,46825000.0,28893000.0,24070000.0
Selling General And Administration,1345295000.0,1195464000.0,1139244000.0,823406000.0
Selling And Marketing Expense,962175000.0,867352000.0,886994000.0,599723000.0
General And Administrative Expense,383120000.0,328112000.0,252250000.0,223683000.0
Rent And Landing Fees,43616000.0,118864000.0,36733000.0,33912000.0
Gross Profit,5552851000.0,4646607000.0,4156562000.0,3615219000.0
Cost Of Revenue,6114005000.0,2933116000.0,2905976000.0,2058351000.0
Total Revenue,11666856000.0,7579723000.0,7062538000.0,5673570000.0
Operating Revenue,11713600000.0,8030000000.0,7062538000.0,5673570000.0
