,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,610015.261201,-5601225.932425,34893255.114525,-736126.859122
Tax Rate For Calcs,0.265224,0.259316,0.253033,0.253837
Normalized EBITDA,15625200000.0,14419000000.0,13728000000.0,10438800000.0
Total Unusual Items,2300000.0,-21600000.0,137900000.0,-2900000.0
Total Unusual Items Excluding Goodwill,2300000.0,-21600000.0,137900000.0,-2900000.0
Net Income From Continuing Operation Net Minority Interest,9388600000.0,8990200000.0,8792100000.0,6291200000.0
Reconciled Depreciation,2815500000.0,2230100000.0,2064600000.0,1971100000.0
Reconciled Cost Of Revenue,54465100000.0,47503900000.0,45026400000.0,36893000000.0
EBITDA,15627500000.0,14397400000.0,13865900000.0,10435900000.0
EBIT,12812000000.0,12167300000.0,11801300000.0,8464800000.0
Net Interest Income,841900000.0,937000000.0,594100000.0,440300000.0
Interest Expense,34500000.0,29600000.0,30900000.0,33400000.0
Interest Income,890600000.0,985600000.0,644200000.0,489300000.0
Normalized Income,9386910015.261202,9006198774.067575,8689093255.114525,6293363873.140878
Net Income From Continuing And Discontinued Operation,9388600000.0,8990200000.0,8792100000.0,6291200000.0
Total Expenses,69502600000.0,60288500000.0,56485100000.0,46852800000.0
Rent Expense Supplemental,25100000.0,18800000.0,27300000.0,20900000.0
Diluted Average Shares,156303670.0,156303670.0,156303670.0,156303670.0
Basic Average Shares,156303670.0,156303670.0,156303670.0,156303670.0
Diluted EPS,60.1,57.5,56.3,40.3
Basic EPS,60.1,57.5,56.3,40.3
Diluted NI Availto Com Stockholders,9388600000.0,8990200000.0,8792100000.0,6291200000.0
Net Income Common Stockholders,9388600000.0,8990200000.0,8792100000.0,6291200000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,9388600000.0,8990200000.0,8792100000.0,6291200000.0
Net Income Including Noncontrolling Interests,9388600000.0,8990200000.0,8792100000.0,6291200000.0
Net Income Continuous Operations,9388600000.0,8990200000.0,8792100000.0,6291200000.0
Tax Provision,3388900000.0,3147500000.0,2978300000.0,2140200000.0
Pretax Income,12777500000.0,12137700000.0,11770400000.0,8431400000.0
Other Non Operating Income Expenses,269300000.0,221100000.0,120200000.0,110600000.0
Special Income Charges,2300000.0,-21600000.0,137900000.0,-2900000.0
Other Special Charges,-2400000.0,-25400000.0,-143800000.0,-400000.0
Write Off,100000.0,0.0,5900000.0,3300000.0
Restructuring And Mergern Acquisition,,47000000.0,,
Net Non Operating Interest Income Expense,841900000.0,937000000.0,594100000.0,440300000.0
Total Other Finance Cost,14200000.0,19000000.0,19200000.0,15600000.0
Interest Expense Non Operating,34500000.0,29600000.0,30900000.0,33400000.0
Interest Income Non Operating,890600000.0,985600000.0,644200000.0,489300000.0
Operating Income,11643300000.0,11030800000.0,10933200000.0,7945500000.0
Operating Expense,15037500000.0,12784600000.0,11458700000.0,9959800000.0
Other Operating Expenses,6676500000.0,5950100000.0,5260800000.0,3956500000.0
Depreciation And Amortization In Income Statement,2815500000.0,2230100000.0,2064600000.0,1971100000.0
Amortization,104400000.0,42400000.0,10500000.0,1700000.0
Depreciation Income Statement,2711100000.0,2187700000.0,2054100000.0,1969400000.0
Selling General And Administration,1276500000.0,1156000000.0,1056000000.0,865900000.0
Selling And Marketing Expense,1011000000.0,914400000.0,885600000.0,728900000.0
General And Administrative Expense,265500000.0,241600000.0,170400000.0,137000000.0
Rent And Landing Fees,25100000.0,18800000.0,27300000.0,20900000.0
Gross Profit,26680800000.0,23815400000.0,22391900000.0,17905300000.0
Cost Of Revenue,54465100000.0,47503900000.0,45026400000.0,36893000000.0
Total Revenue,81145900000.0,71319300000.0,67418300000.0,54798300000.0
Operating Revenue,81145900000.0,71319300000.0,67418300000.0,54798300000.0
