,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,41541858.141858,-7447745.130721,0.0,0.0,
Tax Rate For Calcs,0.235365,0.180771,0.0,0.0,
Normalized EBITDA,4073400000.0,3050500000.0,1708400000.0,923560000.0,
Total Unusual Items,262700000.0,-191500000.0,218300000.0,-14600000.0,
Total Unusual Items Excluding Goodwill,176500000.0,-41200000.0,218300000.0,-14600000.0,
Net Income From Continuing Operation Net Minority Interest,2678900000.0,1720300000.0,1236300000.0,276220000.0,
Reconciled Depreciation,253600000.0,220500000.0,185400000.0,172730000.0,
Reconciled Cost Of Revenue,16305400000.0,13979200000.0,12108800000.0,10830090000.0,
EBITDA,4249900000.0,2980800000.0,1926700000.0,908960000.0,
EBIT,3996300000.0,2788800000.0,1741300000.0,736230000.0,
Net Interest Income,-492800000.0,-688900000.0,-530400000.0,-483990000.0,
Interest Expense,492800000.0,688900000.0,505000000.0,460010000.0,
Interest Income,76000000.0,6200000.0,0.0,900000.0,
Normalized Income,2478030289.71029,1754052254.869279,1018000000.0,290820000.0,
Net Income From Continuing And Discontinued Operation,2678900000.0,1720300000.0,1236300000.0,276220000.0,
Total Expenses,22572000000.0,18973500000.0,16087600000.0,14341120000.0,
Rent Expense Supplemental,,76300000.0,72600000.0,111150000.0,109890000.0
Diluted Average Shares,239187500.0,239262865.0,239104035.0,239104035.0,
Basic Average Shares,239104035.0,239104035.0,239104035.0,239104035.0,
Diluted EPS,11.2,7.19,5.17,1.16,
Basic EPS,11.2,7.19,5.17,1.16,
Diluted NI Availto Com Stockholders,2678900000.0,1720300000.0,1236300000.0,276220000.0,
Net Income Common Stockholders,2678900000.0,1720300000.0,1236300000.0,276220000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,2678900000.0,1720300000.0,1236300000.0,276220000.0,
Net Income Including Noncontrolling Interests,2678900000.0,1720300000.0,1236300000.0,276220000.0,
Net Income Continuous Operations,2678900000.0,1720300000.0,1236300000.0,276220000.0,
Tax Provision,824600000.0,379600000.0,0.0,0.0,
Pretax Income,3503500000.0,2099900000.0,1236300000.0,276220000.0,
Other Non Operating Income Expenses,68600000.0,46400000.0,32100000.0,24000000.0,
Special Income Charges,176500000.0,-41200000.0,218300000.0,-14600000.0,
Other Special Charges,-142100000.0,24800000.0,-155300000.0,-24020000.0,
Write Off,-120600000.0,125500000.0,-66800000.0,12620000.0,
Restructuring And Mergern Acquisition,0.0,41200000.0,3800000.0,26000000.0,
Net Non Operating Interest Income Expense,-492800000.0,-688900000.0,-530400000.0,-483990000.0,
Total Other Finance Cost,20900000.0,28500000.0,25400000.0,24880000.0,
Interest Expense Non Operating,492800000.0,688900000.0,505000000.0,460010000.0,
Interest Income Non Operating,,6200000.0,0.0,900000.0,2100000.0
Operating Income,3574100000.0,2737000000.0,1554600000.0,782330000.0,
Operating Expense,6242100000.0,4966600000.0,3978800000.0,3511030000.0,
Other Operating Expenses,2287700000.0,2418800000.0,1100400000.0,950440000.0,
Depreciation And Amortization In Income Statement,253600000.0,220500000.0,185400000.0,172730000.0,
Amortization,,300000.0,1300000.0,5020000.0,26110000.0
Depreciation Income Statement,253500000.0,220200000.0,184100000.0,167710000.0,
Selling General And Administration,,380500000.0,389000000.0,349420000.0,341240000.0
Selling And Marketing Expense,,166200000.0,154100000.0,127850000.0,114710000.0
General And Administrative Expense,,214300000.0,234900000.0,221570000.0,226530000.0
Rent And Landing Fees,72700000.0,76300000.0,72600000.0,111150000.0,
Gross Profit,10061700000.0,8087600000.0,5533400000.0,4293360000.0,
Cost Of Revenue,16305400000.0,13979200000.0,12108800000.0,10830090000.0,
Total Revenue,26367100000.0,22066800000.0,17642200000.0,15123450000.0,
Operating Revenue,26367100000.0,22066800000.0,17642200000.0,15123450000.0,
