,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,603744609.648421,663292019.46472,216676878.210616,447613127.373073,
Tax Rate For Calcs,0.143125,0.190268,0.1511,0.191993,
Normalized EBITDA,40976300000.0,47628500000.0,32718900000.0,40171600000.0,
Total Unusual Items,4218300000.0,3486100000.0,1434000000.0,2331400000.0,
Total Unusual Items Excluding Goodwill,4218300000.0,3486100000.0,1434000000.0,2331400000.0,
Net Income From Continuing Operation Net Minority Interest,11227700000.0,23957000000.0,12707000000.0,23319400000.0,
Reconciled Depreciation,30067800000.0,18973200000.0,16606700000.0,11458800000.0,
Reconciled Cost Of Revenue,76062100000.0,86909400000.0,83151800000.0,53749700000.0,
EBITDA,45194600000.0,51114600000.0,34152900000.0,42503000000.0,
EBIT,15126800000.0,32141400000.0,17546200000.0,31044200000.0,
Net Interest Income,-238000000.0,126400000.0,434100000.0,996100000.0,
Interest Expense,2011700000.0,2549400000.0,2595800000.0,2126000000.0,
Interest Income,1811600000.0,2709800000.0,3062800000.0,3157300000.0,
Normalized Income,7613144609.648421,21134192019.46472,11489676878.210615,21435613127.373074,
Net Income From Continuing And Discontinued Operation,11227700000.0,23957000000.0,12707000000.0,23319400000.0,
Total Expenses,180714800000.0,175011100000.0,161460200000.0,120364300000.0,
Rent Expense Supplemental,,,,,136300000.0
Diluted Average Shares,36080748.0,36080748.0,36080748.0,36080748.0,
Basic Average Shares,36080748.0,36080748.0,36080748.0,36080748.0,
Diluted EPS,311.18,663.98,352.18,646.31,
Basic EPS,311.18,663.98,352.18,646.31,
Diluted NI Availto Com Stockholders,11227700000.0,23957000000.0,12707000000.0,23319400000.0,
Net Income Common Stockholders,11227700000.0,23957000000.0,12707000000.0,23319400000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,11227700000.0,23957000000.0,12707000000.0,23319400000.0,
Minority Interests,-10300000.0,-4600000.0,15600000.0,-46700000.0,
Net Income Including Noncontrolling Interests,11238000000.0,23961600000.0,12691400000.0,23366100000.0,
Net Income Continuous Operations,11238000000.0,23961600000.0,12691400000.0,23366100000.0,
Tax Provision,1877100000.0,5630400000.0,2259000000.0,5552100000.0,
Pretax Income,13115100000.0,29592000000.0,14950400000.0,28918200000.0,
Other Non Operating Income Expenses,2400000.0,2100000.0,8200000.0,11700000.0,
Special Income Charges,233700000.0,377500000.0,142100000.0,158700000.0,
Other Special Charges,-243800000.0,-394600000.0,-246800000.0,-163200000.0,
Write Off,10100000.0,17100000.0,104700000.0,4500000.0,
Net Non Operating Interest Income Expense,-238000000.0,126400000.0,434100000.0,996100000.0,
Total Other Finance Cost,37900000.0,34000000.0,32900000.0,35200000.0,
Interest Expense Non Operating,2011700000.0,2549400000.0,2595800000.0,2126000000.0,
Interest Income Non Operating,1811600000.0,2709800000.0,3062800000.0,3157300000.0,
Operating Income,9049700000.0,25905500000.0,12950200000.0,25489600000.0,
Operating Expense,104652700000.0,88101700000.0,78308400000.0,66614600000.0,
Other Operating Expenses,16515500000.0,13889000000.0,12285800000.0,12118300000.0,
Depreciation And Amortization In Income Statement,30067800000.0,18973200000.0,16606700000.0,11458800000.0,
Depreciation Income Statement,30067800000.0,18973200000.0,16606700000.0,11458800000.0,
Selling General And Administration,49440200000.0,47360000000.0,42883200000.0,37122500000.0,
Selling And Marketing Expense,48346900000.0,46074400000.0,41906500000.0,36946900000.0,
General And Administrative Expense,1093300000.0,1285600000.0,976700000.0,175600000.0,
Rent And Landing Fees,,,,,136300000.0
Gross Profit,113702400000.0,114007200000.0,91258600000.0,92104200000.0,
Cost Of Revenue,76062100000.0,86909400000.0,83151800000.0,53749700000.0,
Total Revenue,189764500000.0,200916600000.0,174410400000.0,145853900000.0,
Operating Revenue,189764500000.0,200916600000.0,174410400000.0,145853900000.0,
