,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-61493153.66694,305061584.618635,231342801.238447,-43539071.347678,
Tax Rate For Calcs,0.252642,0.221509,0.211814,0.239885,
Normalized EBITDA,24292600000.0,20755100000.0,22577200000.0,19143800000.0,
Total Unusual Items,-243400000.0,1377200000.0,1092200000.0,-181500000.0,
Total Unusual Items Excluding Goodwill,-243400000.0,1377200000.0,1092200000.0,-181500000.0,
Net Income From Continuing Operation Net Minority Interest,8324700000.0,9211500000.0,13696000000.0,10336200000.0,
Reconciled Depreciation,6762100000.0,5571400000.0,3964000000.0,4042900000.0,
Reconciled Cost Of Revenue,751600000.0,399800000.0,986600000.0,870700000.0,
EBITDA,24049200000.0,22132300000.0,23669400000.0,18962300000.0,
EBIT,17287100000.0,16560900000.0,19705400000.0,14919400000.0,
Net Interest Income,-4042600000.0,-2580400000.0,265900000.0,-142000000.0,
Interest Expense,6170200000.0,4728400000.0,2328800000.0,1321200000.0,
Interest Income,2357600000.0,2323600000.0,2894600000.0,1377900000.0,
Normalized Income,8506606846.33306,8139361584.618635,12835142801.238447,10474160928.652323,
Net Income From Continuing And Discontinued Operation,8324700000.0,9211500000.0,13696000000.0,10336200000.0,
Total Expenses,14301700000.0,12767900000.0,10498200000.0,10112200000.0,
Rent Expense Supplemental,,55500000.0,50700000.0,44600000.0,29000000.0
Diluted Average Shares,3929795175.0,3929795175.0,3929795175.0,3929795175.0,
Basic Average Shares,3929795175.0,3929795175.0,3929795175.0,3929795175.0,
Diluted EPS,2.08,2.32,3.46,2.52,
Basic EPS,2.08,2.32,3.46,2.52,
Diluted NI Availto Com Stockholders,8196600000.0,9114400000.0,13593000000.0,9898000000.0,
Net Income Common Stockholders,8196600000.0,9114400000.0,13593000000.0,9898000000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,8196600000.0,9114400000.0,13593000000.0,9898000000.0,
Minority Interests,16400000.0,0.0,,,0.0
Net Income Including Noncontrolling Interests,8180200000.0,9114400000.0,13593000000.0,9898000000.0,
Net Income Extraordinary,-128100000.0,-97100000.0,-103000000.0,-438200000.0,
Net Income Continuous Operations,8308300000.0,9211500000.0,13696000000.0,10336200000.0,
Tax Provision,2808600000.0,2621000000.0,3680600000.0,3262000000.0,
Pretax Income,11116900000.0,11832500000.0,17376600000.0,13598200000.0,
Other Non Operating Income Expenses,3044900000.0,2975900000.0,427500000.0,664000000.0,
Special Income Charges,-243400000.0,1377200000.0,-50600000.0,-181500000.0,
Other Special Charges,217700000.0,-1377900000.0,49900000.0,-68200000.0,
Write Off,,,0.0,232600000.0,2600000.0
Restructuring And Mergern Acquisition,,700000.0,700000.0,17100000.0,700000.0
Net Non Operating Interest Income Expense,-4042600000.0,-2580400000.0,265900000.0,-142000000.0,
Total Other Finance Cost,,175600000.0,299900000.0,198700000.0,236700000.0
Interest Expense Non Operating,6170200000.0,4728400000.0,2328800000.0,1321200000.0,
Interest Income Non Operating,2357600000.0,2323600000.0,2894600000.0,1377900000.0,
Operating Income,15990800000.0,12906700000.0,17708500000.0,13951400000.0,
Operating Expense,12314000000.0,11272300000.0,9511600000.0,9241500000.0,
Other Operating Expenses,1709200000.0,1647900000.0,1439200000.0,1426000000.0,
Depreciation And Amortization In Income Statement,6762100000.0,5571400000.0,3964000000.0,4042900000.0,
Amortization,,85100000.0,172100000.0,159200000.0,60600000.0
Depreciation Income Statement,6751800000.0,5486300000.0,3791900000.0,3883700000.0,
Research And Development,25800000.0,15400000.0,22600000.0,0.0,
Selling General And Administration,873400000.0,848500000.0,892700000.0,691400000.0,
Selling And Marketing Expense,91200000.0,140800000.0,137600000.0,51300000.0,
General And Administrative Expense,782200000.0,707700000.0,755100000.0,640100000.0,
Rent And Landing Fees,76600000.0,55500000.0,50700000.0,44600000.0,
Gross Profit,28304800000.0,24179000000.0,27220100000.0,23192900000.0,
Cost Of Revenue,1987700000.0,1495600000.0,986600000.0,870700000.0,
Total Revenue,30292500000.0,25674600000.0,28206700000.0,24063600000.0,
Operating Revenue,30292500000.0,25674600000.0,28206700000.0,24063600000.0,
