,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-3179595.125786,-275097.170504,1164332.200892,-4374515.971071
Tax Rate For Calcs,0.258504,0.250088,0.283983,0.25582
Normalized EBITDA,8482100000.0,8117400000.0,8008700000.0,5918500000.0
Total Unusual Items,-12300000.0,-1100000.0,4100000.0,-17100000.0
Total Unusual Items Excluding Goodwill,-12300000.0,-1100000.0,4100000.0,-17100000.0
Net Income From Continuing Operation Net Minority Interest,5659100000.0,5518000000.0,5248800000.0,3949600000.0
Reconciled Depreciation,830800000.0,746000000.0,668400000.0,571000000.0
Reconciled Cost Of Revenue,32552100000.0,30087900000.0,27723600000.0,24177700000.0
EBITDA,8469800000.0,8116300000.0,8012800000.0,5901400000.0
EBIT,7639000000.0,7370300000.0,7344400000.0,5330400000.0
Net Interest Income,721700000.0,700600000.0,345000000.0,163200000.0
Interest Expense,7000000.0,12100000.0,15100000.0,20800000.0
Interest Income,728700000.0,712700000.0,360100000.0,184000000.0
Normalized Income,5668220404.874214,5518824902.829496,5245864332.200892,3962325484.028929
Net Income From Continuing And Discontinued Operation,5659100000.0,5518000000.0,5248800000.0,3949600000.0
Total Expenses,41669500000.0,38438200000.0,35056100000.0,30906400000.0
Rent Expense Supplemental,14700000.0,13400000.0,7500000.0,7300000.0
Diluted Average Shares,49437963.0,49437963.0,49437963.0,49437963.0
Basic Average Shares,49437963.0,49437963.0,49437963.0,49437963.0
Diluted EPS,114.5,111.6,106.2,79.9
Basic EPS,114.5,111.6,106.2,79.9
Diluted NI Availto Com Stockholders,5659100000.0,5518000000.0,5248800000.0,3949600000.0
Net Income Common Stockholders,5659100000.0,5518000000.0,5248800000.0,3949600000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,5659100000.0,5518000000.0,5248800000.0,3949600000.0
Net Income Including Noncontrolling Interests,5659100000.0,5518000000.0,5248800000.0,3949600000.0
Net Income Continuous Operations,5659100000.0,5518000000.0,5248800000.0,3949600000.0
Tax Provision,1972900000.0,1840200000.0,2081400000.0,1358300000.0
Pretax Income,7632000000.0,7358200000.0,7329300000.0,5309600000.0
Other Non Operating Income Expenses,109400000.0,166900000.0,103900000.0,159900000.0
Special Income Charges,-12300000.0,-1100000.0,4100000.0,-17100000.0
Other Special Charges,-400000.0,-8100000.0,-5400000.0,-2300000.0
Write Off,12700000.0,9200000.0,1300000.0,19400000.0
Net Non Operating Interest Income Expense,721700000.0,700600000.0,345000000.0,163200000.0
Interest Expense Non Operating,7000000.0,12100000.0,15100000.0,20800000.0
Interest Income Non Operating,728700000.0,712700000.0,360100000.0,184000000.0
Operating Income,6635500000.0,6439100000.0,7283100000.0,5129100000.0
Operating Expense,9117400000.0,8350300000.0,7332500000.0,6728700000.0
Other Operating Expenses,5189000000.0,4581500000.0,3960200000.0,3630800000.0
Depreciation And Amortization In Income Statement,830800000.0,746000000.0,668400000.0,571000000.0
Amortization,2400000.0,1900000.0,2200000.0,1300000.0
Depreciation Income Statement,828400000.0,744100000.0,666200000.0,569700000.0
Selling General And Administration,370800000.0,391800000.0,402600000.0,279800000.0
Selling And Marketing Expense,202300000.0,231800000.0,228200000.0,62800000.0
General And Administrative Expense,168500000.0,160000000.0,174400000.0,217000000.0
Rent And Landing Fees,14700000.0,13400000.0,7500000.0,7300000.0
Gross Profit,15752900000.0,14789400000.0,14615600000.0,11857800000.0
Cost Of Revenue,32552100000.0,30087900000.0,27723600000.0,24177700000.0
Total Revenue,48305000000.0,44877300000.0,42339200000.0,36035500000.0
Operating Revenue,48305000000.0,44877300000.0,42339200000.0,36035500000.0
