,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-65990609.469102,-26143570.129468,-19065200.0,95682000.0
Tax Rate For Calcs,0.288081,0.33834,0.28,0.3
Normalized EBITDA,4325930000.0,3856340000.0,4549730000.0,5630040000.0
Total Unusual Items,-229070000.0,-77270000.0,-68090000.0,318940000.0
Total Unusual Items Excluding Goodwill,-229070000.0,-77270000.0,-68090000.0,318940000.0
Net Income From Continuing Operation Net Minority Interest,946860000.0,491130000.0,1042050000.0,1731900000.0
Reconciled Depreciation,898250000.0,782210000.0,678370000.0,718270000.0
Reconciled Cost Of Revenue,26894010000.0,19259850000.0,21181770000.0,14297630000.0
EBITDA,4096860000.0,3779070000.0,4481640000.0,5948980000.0
EBIT,3198610000.0,2996860000.0,3803270000.0,5230710000.0
Net Interest Income,-980490000.0,-1687810000.0,-2095040000.0,-2796490000.0
Interest Expense,1868600000.0,2254590000.0,2353520000.0,2864460000.0
Interest Income,975180000.0,767250000.0,395200000.0,286760000.0
Normalized Income,1109939390.530898,542256429.870532,1091074800.0,1508642000.0
Net Income From Continuing And Discontinued Operation,946860000.0,491130000.0,1042050000.0,1731900000.0
Total Expenses,37931730000.0,28635300000.0,29675800000.0,20941450000.0
Rent Expense Supplemental,240450000.0,435440000.0,165380000.0,178440000.0
Diluted Average Shares,102082342.0,94845853.0,97425725.0,97425725.0
Basic Average Shares,102082342.0,94845853.0,97425725.0,97425725.0
Diluted EPS,9.28,5.18,10.69898,17.786203
Basic EPS,9.28,5.18,10.69898,17.786203
Diluted NI Availto Com Stockholders,946860000.0,491130000.0,1042050000.0,1731900000.0
Net Income Common Stockholders,946860000.0,491130000.0,1042050000.0,1731900000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,946860000.0,491130000.0,1042050000.0,1731900000.0
Minority Interests,0.0,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,946860000.0,491130000.0,1042050000.0,1731900000.0
Net Income Continuous Operations,946860000.0,491130000.0,1042050000.0,1731900000.0
Tax Provision,383150000.0,251140000.0,407700000.0,-634350000.0
Pretax Income,1330010000.0,742270000.0,1449750000.0,2366250000.0
Other Non Operating Income Expenses,303220000.0,508630000.0,538370000.0,198690000.0
Special Income Charges,-229070000.0,-77270000.0,-68090000.0,318940000.0
Other Special Charges,-610000.0,-2410000.0,-920000.0,-322480000.0
Write Off,225370000.0,50210000.0,10300000.0,3540000.0
Impairment Of Capital Assets,4310000.0,29470000.0,58710000.0,0.0
Net Non Operating Interest Income Expense,-980490000.0,-1687810000.0,-2095040000.0,-2796490000.0
Total Other Finance Cost,87070000.0,200470000.0,136720000.0,218790000.0
Interest Expense Non Operating,1868600000.0,2254590000.0,2353520000.0,2864460000.0
Interest Income Non Operating,975180000.0,767250000.0,395200000.0,286760000.0
Operating Income,2235860000.0,1996650000.0,3073350000.0,4613860000.0
Operating Expense,11037720000.0,9375450000.0,8494030000.0,6643820000.0
Other Operating Expenses,4164910000.0,3409070000.0,3756750000.0,2145850000.0
Depreciation And Amortization In Income Statement,898250000.0,782210000.0,678370000.0,718270000.0
Amortization,12890000.0,1160000.0,2140000.0,3090000.0
Depreciation Income Statement,885360000.0,781050000.0,676230000.0,715180000.0
Selling General And Administration,1862550000.0,1488890000.0,1237760000.0,1139860000.0
Selling And Marketing Expense,1125080000.0,796930000.0,683070000.0,624480000.0
General And Administrative Expense,737470000.0,691960000.0,554690000.0,515380000.0
Rent And Landing Fees,240450000.0,435440000.0,165380000.0,178440000.0
Gross Profit,13273580000.0,11372100000.0,11567380000.0,11257680000.0
Cost Of Revenue,26894010000.0,19259850000.0,21181770000.0,14297630000.0
Total Revenue,40167590000.0,30631950000.0,32749150000.0,25555310000.0
Operating Revenue,40167590000.0,30631950000.0,32749150000.0,25555310000.0
