,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,52701478.201507,1971423.76204,8436597.401322,21687921.356114,
Tax Rate For Calcs,0.248827,0.228703,0.223545,0.163436,
Normalized EBITDA,10566440000.0,9130320000.0,6984720000.0,5791280000.0,
Total Unusual Items,211800000.0,8620000.0,37740000.0,132700000.0,
Total Unusual Items Excluding Goodwill,211800000.0,8620000.0,37740000.0,132700000.0,
Net Income From Continuing Operation Net Minority Interest,6012130000.0,5172670000.0,3952970000.0,3615430000.0,
Reconciled Depreciation,2543950000.0,2202240000.0,1780050000.0,1419650000.0,
Reconciled Cost Of Revenue,17448950000.0,15568610000.0,13831530000.0,9455580000.0,
EBITDA,10778240000.0,9138940000.0,7022460000.0,5923980000.0,
EBIT,8234290000.0,6936700000.0,5242410000.0,4504330000.0,
Net Interest Income,514820000.0,-143530000.0,-128240000.0,-182570000.0,
Interest Expense,250940000.0,223640000.0,151360000.0,182570000.0,
Interest Income,816550000.0,114450000.0,41030000.0,195740000.0,
Normalized Income,5853031478.201507,5166021423.76204,3923666597.401322,3504417921.356114,
Net Income From Continuing And Discontinued Operation,6012130000.0,5172670000.0,3952970000.0,3615430000.0,
Total Expenses,27002490000.0,23993820000.0,20706870000.0,17135040000.0,
Rent Expense Supplemental,65190000.0,48580000.0,20690000.0,31430000.0,
Diluted Average Shares,606025908.0,585915735.0,585202858.0,582194847.0,
Basic Average Shares,606025908.0,585855017.0,584687932.0,581258842.0,
Diluted EPS,9.92,8.83,6.75,6.21,
Basic EPS,9.92,8.83,6.76,6.22,
Diluted NI Availto Com Stockholders,6012130000.0,5172670000.0,3952970000.0,3615430000.0,
Net Income Common Stockholders,6012130000.0,5172670000.0,3952970000.0,3615430000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,6012130000.0,5172670000.0,3952970000.0,3615430000.0,
Minority Interests,15250000.0,-5090000.0,0.0,,
Net Income Including Noncontrolling Interests,5996880000.0,5177760000.0,3952970000.0,3615430000.0,
Net Income Continuous Operations,5996880000.0,5177760000.0,3952970000.0,3615430000.0,
Tax Provision,1986470000.0,1535300000.0,1138080000.0,706330000.0,
Pretax Income,7983350000.0,6713060000.0,5091050000.0,4321760000.0,
Other Non Operating Income Expenses,46660000.0,27250000.0,3420000.0,200260000.0,
Special Income Charges,-194150000.0,-89160000.0,-33690000.0,132700000.0,
Other Special Charges,1300000.0,2000000.0,,-123560000.0,141980000.0
Write Off,,,,,1430000.0
Restructuring And Mergern Acquisition,192850000.0,87160000.0,33690000.0,,
Net Non Operating Interest Income Expense,514820000.0,-143530000.0,-128240000.0,-182570000.0,
Total Other Finance Cost,50790000.0,34340000.0,17910000.0,34560000.0,
Interest Expense Non Operating,250940000.0,223640000.0,151360000.0,182570000.0,
Interest Income Non Operating,816550000.0,114450000.0,41030000.0,195740000.0,
Operating Income,7124930000.0,6825670000.0,4972270000.0,3961740000.0,
Operating Expense,9553540000.0,8425210000.0,6875340000.0,7679460000.0,
Other Operating Expenses,3435550000.0,3161290000.0,2649470000.0,4571040000.0,
Depreciation And Amortization In Income Statement,2543950000.0,2202240000.0,1780050000.0,1419650000.0,
Amortization,612300000.0,584720000.0,542380000.0,523060000.0,
Depreciation Income Statement,1931650000.0,1617520000.0,1237670000.0,1419650000.0,
Selling General And Administration,929550000.0,861900000.0,976360000.0,711730000.0,
Selling And Marketing Expense,528100000.0,477520000.0,616440000.0,394690000.0,
General And Administrative Expense,401450000.0,384380000.0,359920000.0,317040000.0,
Rent And Landing Fees,65190000.0,48580000.0,20690000.0,31430000.0,
Gross Profit,16678470000.0,15250880000.0,11847610000.0,11641200000.0,
Cost Of Revenue,17448950000.0,15568610000.0,13831530000.0,9455580000.0,
Total Revenue,34127420000.0,30819490000.0,25679140000.0,21096780000.0,
Operating Revenue,34127420000.0,30819490000.0,25679140000.0,21096780000.0,
