,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,160277905.734578,50646490.409048,20313476.676617,-6654971.282706,
Tax Rate For Calcs,0.265845,0.210676,0.234296,0.269432,
Normalized EBITDA,27620600000.0,26161200000.0,35496100000.0,31889100000.0,
Total Unusual Items,602900000.0,240400000.0,86700000.0,-24700000.0,
Total Unusual Items Excluding Goodwill,602900000.0,240400000.0,86700000.0,-24700000.0,
Net Income From Continuing Operation Net Minority Interest,12507800000.0,13357100000.0,21623400000.0,18889200000.0,
Reconciled Depreciation,7715000000.0,6726200000.0,5753200000.0,5172300000.0,
Reconciled Cost Of Revenue,78020000000.0,68029400000.0,74785500000.0,61487400000.0,
EBITDA,28223500000.0,26401600000.0,35582800000.0,31864400000.0,
EBIT,20508500000.0,19675400000.0,29829600000.0,26692100000.0,
Net Interest Income,-3211100000.0,-2690600000.0,-1352700000.0,-775300000.0,
Interest Expense,3471500000.0,2753200000.0,1589700000.0,836600000.0,
Interest Income,444400000.0,262400000.0,447000000.0,239900000.0,
Normalized Income,12065177905.734577,13167346490.409048,21557013476.676617,18907245028.717293,
Net Income From Continuing And Discontinued Operation,12507800000.0,13357100000.0,21623400000.0,18889200000.0,
Total Expenses,122831700000.0,109136500000.0,115275100000.0,97143500000.0,
Rent Expense Supplemental,434100000.0,417700000.0,396600000.0,303600000.0,
Diluted Average Shares,296424825.0,296424825.0,296423669.0,296306696.0,
Basic Average Shares,296424825.0,296424825.0,296423669.0,296306696.0,
Diluted EPS,42.2,45.06,72.95,63.75,
Basic EPS,42.2,45.06,72.95,63.75,
Diluted NI Availto Com Stockholders,12507800000.0,13357100000.0,21623400000.0,18889200000.0,
Net Income Common Stockholders,12507800000.0,13357100000.0,21623400000.0,18889200000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,12507800000.0,13357100000.0,21623400000.0,18889200000.0,
Net Income Including Noncontrolling Interests,12507800000.0,13357100000.0,21623400000.0,18889200000.0,
Net Income Discontinuous Operations,,,,0.0,-3100000.0
Net Income Continuous Operations,12507800000.0,13357100000.0,21623400000.0,18889200000.0,
Tax Provision,4529200000.0,3565100000.0,6616500000.0,6966300000.0,
Pretax Income,17037000000.0,16922200000.0,28239900000.0,25855500000.0,
Other Non Operating Income Expenses,191200000.0,242400000.0,151300000.0,88400000.0,
Special Income Charges,278500000.0,11600000.0,-4300000.0,-95300000.0,
Other Special Charges,-367200000.0,-96600000.0,-60000000.0,-29000000.0,
Write Off,16000000.0,42200000.0,25600000.0,9500000.0,
Impairment Of Capital Assets,72700000.0,42800000.0,38700000.0,114800000.0,
Net Non Operating Interest Income Expense,-3211100000.0,-2690600000.0,-1352700000.0,-775300000.0,
Total Other Finance Cost,184000000.0,199800000.0,210000000.0,178600000.0,
Interest Expense Non Operating,3471500000.0,2753200000.0,1589700000.0,836600000.0,
Interest Income Non Operating,444400000.0,262400000.0,447000000.0,239900000.0,
Operating Income,20749800000.0,19967000000.0,30643100000.0,25984000000.0,
Operating Expense,44811700000.0,41107100000.0,40489600000.0,35656100000.0,
Other Operating Expenses,20596800000.0,19868700000.0,20341100000.0,16126700000.0,
Depreciation And Amortization In Income Statement,7715000000.0,6726200000.0,5753200000.0,5172300000.0,
Amortization,93400000.0,93300000.0,90400000.0,81600000.0,
Depreciation Income Statement,7621600000.0,6632900000.0,5662800000.0,5090700000.0,
Selling General And Administration,7956200000.0,6067300000.0,7649000000.0,6749700000.0,
Selling And Marketing Expense,6397900000.0,4690600000.0,6515200000.0,5835100000.0,
General And Administrative Expense,1558300000.0,1376700000.0,1133800000.0,914600000.0,
Rent And Landing Fees,434100000.0,417700000.0,396600000.0,303600000.0,
Gross Profit,65561500000.0,61074100000.0,71132700000.0,61640100000.0,
Cost Of Revenue,78020000000.0,68029400000.0,74785500000.0,61487400000.0,
Total Revenue,143581500000.0,129103500000.0,145918200000.0,123127500000.0,
Operating Revenue,143581500000.0,129103500000.0,145918200000.0,123127500000.0,
