,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-1449511.642762,-452595.118926,-621870.610555,0.0
Tax Rate For Calcs,0.249916,0.251442,0.251464,0.254871
Total Unusual Items,-5800000.0,-1800000.0,-2473000.0,0.0
Total Unusual Items Excluding Goodwill,-5800000.0,-1800000.0,-2473000.0,0.0
Net Income From Continuing Operation Net Minority Interest,6458600000.0,8450100000.0,6185922000.0,-10406700000.0
Reconciled Depreciation,714800000.0,587100000.0,520674000.0,432989000.0
EBIT,9264700000.0,12089900000.0,9148214000.0,-13482512000.0
Net Interest Income,-641700000.0,-796700000.0,-875178000.0,-416524000.0
Interest Expense,654200000.0,801400000.0,884186000.0,483844000.0
Interest Income,10650700000.0,9687600000.0,8233295000.0,6304799000.0
Normalized Income,6462950488.357238,8451447404.881074,6187773129.389445,-10406700000.0
Net Income From Continuing And Discontinued Operation,6458600000.0,8450100000.0,6185922000.0,-10406700000.0
Total Expenses,156270800000.0,132844600000.0,114146949000.0,119986400000.0
Rent Expense Supplemental,1256200000.0,1080400000.0,883606000.0,746448000.0
Diluted Average Shares,594688190.0,595524069.0,594252291.0,558000000.0
Basic Average Shares,586605338.0,583385745.0,578363489.0,558000000.0
Diluted EPS,10.86,14.19,10.41,-18.65
Basic EPS,11.01,14.48,10.7,-18.65
Diluted NI Availto Com Stockholders,6458600000.0,8450100000.0,6185922000.0,-10406700000.0
Net Income Common Stockholders,6458600000.0,8450100000.0,6185922000.0,-10406700000.0
Net Income,6458600000.0,8450100000.0,6185922000.0,-10406700000.0
Net Income Including Noncontrolling Interests,6458600000.0,8450100000.0,6185922000.0,-10406700000.0
Net Income Continuous Operations,6458600000.0,8450100000.0,6185922000.0,-10406700000.0
Tax Provision,2151900000.0,2838400000.0,2078106000.0,-3559600000.0
Pretax Income,8610500000.0,11288500000.0,8264028000.0,-13966300000.0
Other Income Expense,8300000.0,0.0,0.0,0.0
Special Income Charges,-5800000.0,-1800000.0,-2473000.0,0.0
Other Special Charges,5800000.0,1800000.0,2473000.0,13628000.0
Net Non Operating Interest Income Expense,-641700000.0,-796700000.0,-875178000.0,-416524000.0
Interest Expense Non Operating,654200000.0,801400000.0,884186000.0,483844000.0
Interest Income Non Operating,12500000.0,4700000.0,9008000.0,67320000.0
Other Operating Expenses,-14900000.0,6500000.0,-19416000.0,1279300000.0
Depreciation And Amortization In Income Statement,714800000.0,587100000.0,520674000.0,432989000.0
Depreciation Income Statement,714800000.0,587100000.0,520674000.0,432989000.0
Selling General And Administration,2559700000.0,2266600000.0,1640118000.0,1342200000.0
Selling And Marketing Expense,2054700000.0,1999600000.0,1465536000.0,1342200000.0
General And Administrative Expense,505000000.0,267000000.0,174582000.0,417622000.0
Rent And Landing Fees,1256200000.0,1080400000.0,883606000.0,746448000.0
Total Revenue,164881300000.0,144133200000.0,122410977000.0,106019800000.0
Operating Revenue,164881300000.0,144133200000.0,122410977000.0,106019800000.0
Net Policyholder Benefits And Claims,102135100000.0,88151600000.0,76729745000.0,88200400000.0
