,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,-336552200.0,-533845000.0,-163465323.651236,-10960316792.819973
Tax Rate For Calcs,0.202,0.13,0.090088,0.239996
Normalized EBITDA,167254900000.0,142938000000.0,122923100000.0,113192800000.0
Total Unusual Items,-1666100000.0,-4106500000.0,-1814500000.0,-45668700000.0
Total Unusual Items Excluding Goodwill,-1666100000.0,-4106500000.0,-1814500000.0,-45668700000.0
Net Income From Continuing Operation Net Minority Interest,109290400000.0,95763800000.0,84735800000.0,32727300000.0
Reconciled Depreciation,25753900000.0,25567900000.0,25304300000.0,21437400000.0
Reconciled Cost Of Revenue,121975100000.0,120696600000.0,119424200000.0,103515400000.0
EBITDA,165588800000.0,138831500000.0,121108600000.0,67524100000.0
EBIT,139834900000.0,113263600000.0,95804300000.0,46086700000.0
Net Interest Income,9987700000.0,7844400000.0,2125400000.0,-1273500000.0
Interest Expense,2313600000.0,2384700000.0,1720000000.0,1273500000.0
Interest Income,12301300000.0,10229100000.0,3845400000.0,5533700000.0
Normalized Income,110619947800.0,99336455000.0,86386834676.34877,67435683207.18002
Net Income From Continuing And Discontinued Operation,109290400000.0,95763800000.0,84735800000.0,32727300000.0
Total Expenses,394600500000.0,372904200000.0,340015100000.0,303264000000.0
Rent Expense Supplemental,777400000.0,734300000.0,588700000.0,535400000.0
Diluted Average Shares,2399334970.0,2399334970.0,2399334970.0,2406419118.0
Basic Average Shares,2399334970.0,2399334970.0,2399334970.0,2406419118.0
Diluted EPS,45.6,39.9,35.3,13.6
Basic EPS,45.6,39.9,35.3,13.6
Diluted NI Availto Com Stockholders,109290400000.0,95763800000.0,84735800000.0,32727300000.0
Net Income Common Stockholders,109290400000.0,95763800000.0,84735800000.0,32727300000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,109290400000.0,95763800000.0,84735800000.0,32727300000.0
Minority Interests,-357100000.0,-336500000.0,-393600000.0,-1165500000.0
Net Income Including Noncontrolling Interests,109647500000.0,96100300000.0,85129400000.0,33892800000.0
Net Income Continuous Operations,109647500000.0,96100300000.0,85129400000.0,33892800000.0
Tax Provision,27720300000.0,14394500000.0,8475900000.0,10755000000.0
Pretax Income,137521300000.0,110878900000.0,94084300000.0,44813200000.0
Other Non Operating Income Expenses,863400000.0,1064900000.0,796300000.0,9215100000.0
Special Income Charges,-7133400000.0,-5028400000.0,-1808300000.0,-45668700000.0
Other Special Charges,3095300000.0,2726300000.0,-208700000.0,45150600000.0
Write Off,2953000000.0,0.0,1644300000.0,
Impairment Of Capital Assets,71300000.0,1562600000.0,302500000.0,204600000.0
Restructuring And Mergern Acquisition,1013800000.0,739500000.0,70200000.0,
Net Non Operating Interest Income Expense,9987700000.0,7844400000.0,2125400000.0,-1273500000.0
Interest Expense Non Operating,2313600000.0,2384700000.0,1720000000.0,1273500000.0
Interest Income Non Operating,12301300000.0,10229100000.0,3845400000.0,5533700000.0
Operating Income,125812000000.0,104680300000.0,92773600000.0,81000200000.0
Operating Expense,272625400000.0,252207600000.0,220590900000.0,199748600000.0
Other Operating Expenses,48730300000.0,46824800000.0,37368700000.0,107583600000.0
Depreciation And Amortization In Income Statement,25753900000.0,25567900000.0,25294300000.0,21437399999.999996
Amortization,12303300000.0,11812200000.0,,
Depreciation Income Statement,13450600000.0,13755700000.0,25294300000.0,21437399999.999996
Selling General And Administration,103004500000.0,92174000000.0,80447000000.0,54685600000.0
Selling And Marketing Expense,65768600000.0,57802600000.0,52262400000.0,32817300000.0
General And Administrative Expense,37235900000.0,34371400000.0,28184600000.0,21868300000.0
Rent And Landing Fees,777400000.0,734300000.0,588700000.0,535400000.0
Gross Profit,398437400000.0,356887900000.0,313364500000.0,280748800000.0
Cost Of Revenue,121975100000.0,120696600000.0,119424200000.0,103515400000.0
Total Revenue,520412500000.0,477584500000.0,432788700000.0,384264200000.0
Operating Revenue,520412500000.0,477584500000.0,432788700000.0,384264200000.0
