,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,658073247.568699,681862778.069044,370106269.505788,80950366.453035
Tax Rate For Calcs,0.231528,0.263024,0.25075,0.252103
Normalized EBITDA,24853200000.0,28941500000.0,26259900000.0,25026400000.0
Total Unusual Items,2842300000.0,2592400000.0,1476000000.0,321100000.0
Total Unusual Items Excluding Goodwill,2842300000.0,2592400000.0,1476000000.0,321100000.0
Net Income From Continuing Operation Net Minority Interest,17029300000.0,19250700000.0,17064100000.0,16418000000.0
Reconciled Depreciation,5392200000.0,5317200000.0,4859900000.0,3061300000.0
Reconciled Cost Of Revenue,9584200000.0,8181000000.0,6210000000.0,5464900000.0
EBITDA,27695500000.0,31533900000.0,27735900000.0,25347500000.0
EBIT,22303300000.0,26216700000.0,22875900000.0,22286200000.0
Net Interest Income,2734700000.0,2020600000.0,1649600000.0,863200000.0
Interest Expense,134100000.0,85600000.0,94200000.0,332500000.0
Interest Income,2868800000.0,2106200000.0,1743800000.0,1195700000.0
Normalized Income,14845073247.568699,17340162778.069042,15958206269.505789,16177850366.453035
Net Income From Continuing And Discontinued Operation,17029300000.0,19250700000.0,17064100000.0,16418000000.0
Total Expenses,23615900000.0,21570700000.0,18554000000.0,15126100000.0
Rent Expense Supplemental,137400000.0,132400000.0,42800000.0,18100000.0
Diluted Average Shares,394084620.0,394084620.0,394084620.0,394084620.0
Basic Average Shares,394084620.0,394084620.0,394084620.0,394084620.0
Diluted EPS,43.23,48.86,43.31,41.66
Basic EPS,43.23,48.86,43.31,41.66
Diluted NI Availto Com Stockholders,17029300000.0,19250700000.0,17064100000.0,16418000000.0
Net Income Common Stockholders,17029300000.0,19250700000.0,17064100000.0,16418000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,17029300000.0,19250700000.0,17064100000.0,16418000000.0
Minority Interests,-7100000.0,-7300000.0,-5100000.0,1100000.0
Net Income Including Noncontrolling Interests,17036400000.0,19258000000.0,17069200000.0,16419100000.0
Net Income Continuous Operations,17036400000.0,19258000000.0,17069200000.0,16419100000.0
Tax Provision,5132800000.0,6873100000.0,5712500000.0,5534600000.0
Pretax Income,22169200000.0,26131100000.0,22781700000.0,21953700000.0
Other Non Operating Income Expenses,57600000.0,147000000.0,242500000.0,73800000.0
Special Income Charges,-802800000.0,-35800000.0,318100000.0,-585700000.0
Other Special Charges,575600000.0,5700000.0,-400000000.0,6700000.0
Write Off,227200000.0,30100000.0,81900000.0,579000000.0
Net Non Operating Interest Income Expense,2734700000.0,2020600000.0,1649600000.0,863200000.0
Interest Expense Non Operating,134100000.0,85600000.0,94200000.0,332500000.0
Interest Income Non Operating,2868800000.0,2106200000.0,1743800000.0,1195700000.0
Operating Income,16535000000.0,21250300000.0,19166500000.0,20722100000.0
Operating Expense,14031700000.0,13389700000.0,12344000000.0,9661200000.0
Other Operating Expenses,2002500000.0,1988600000.0,2161100000.0,1796300000.0
Depreciation And Amortization In Income Statement,5392200000.0,5317200000.0,4860000000.0,3061200000.0
Amortization,4075800000.0,4013200000.0,3411900000.0,1898800000.0
Depreciation Income Statement,1316400000.0,1304000000.0,1448100000.0,1162400000.0
Selling General And Administration,3199700000.0,2752500000.0,2232000000.0,1867000000.0
Selling And Marketing Expense,700400000.0,566800000.0,486500000.0,379900000.0
General And Administrative Expense,2499300000.0,2185700000.0,1745500000.0,1487100000.0
Rent And Landing Fees,137400000.0,132400000.0,42800000.0,18100000.0
Gross Profit,30566700000.0,34640000000.0,31510500000.0,30383300000.0
Cost Of Revenue,9584200000.0,8181000000.0,6210000000.0,5464900000.0
Total Revenue,40150900000.0,42821000000.0,37720500000.0,35848200000.0
Operating Revenue,40150900000.0,42821000000.0,37720500000.0,35848200000.0
