,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,115208332.32448,123360507.478404,59404533.470111,38608678.497784,
Tax Rate For Calcs,0.22449,0.238839,0.221328,0.21378,
Normalized EBITDA,15525500000.0,16643000000.0,13543800000.0,14473900000.0,
Total Unusual Items,513200000.0,516500000.0,268400000.0,180600000.0,
Total Unusual Items Excluding Goodwill,513200000.0,516500000.0,268400000.0,180600000.0,
Net Income From Continuing Operation Net Minority Interest,9608800000.0,10697200000.0,8653300000.0,9684500000.0,
Reconciled Depreciation,3586200000.0,2983800000.0,2633900000.0,2295200000.0,
Reconciled Cost Of Revenue,72228300000.0,69197100000.0,66540700000.0,53990400000.0,
EBITDA,16038700000.0,17159500000.0,13812200000.0,14654500000.0,
EBIT,12452500000.0,14175700000.0,11178300000.0,12359300000.0,
Net Interest Income,-83900000.0,-14900000.0,-55900000.0,-37900000.0,
Interest Expense,62200000.0,121900000.0,65400000.0,41500000.0,
Interest Income,35100000.0,146300000.0,24300000.0,13600000.0,
Normalized Income,9210808332.32448,10304060507.478403,8444304533.470111,9542508678.497784,
Net Income From Continuing And Discontinued Operation,9608800000.0,10697200000.0,8653300000.0,9684500000.0,
Total Expenses,92681800000.0,88229800000.0,81864900000.0,67048500000.0,
Rent Expense Supplemental,86300000.0,67500000.0,42400000.0,50200000.0,
Diluted Average Shares,127026870.0,127026870.0,127026870.0,127026870.0,
Basic Average Shares,127026870.0,127026870.0,127026870.0,127026870.0,
Diluted EPS,75.64,84.21,68.12,76.24,
Basic EPS,75.64,84.21,68.12,76.24,
Diluted NI Availto Com Stockholders,9608800000.0,10697200000.0,8653300000.0,9684500000.0,
Net Income Common Stockholders,9608800000.0,10697200000.0,8653300000.0,9684500000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,9608800000.0,10697200000.0,8653300000.0,9684500000.0,
Net Income Including Noncontrolling Interests,9608800000.0,10697200000.0,8653300000.0,9684500000.0,
Net Income Continuous Operations,9608800000.0,10697200000.0,8653300000.0,9684500000.0,
Tax Provision,2781500000.0,3356600000.0,2459600000.0,2633300000.0,
Pretax Income,12390300000.0,14053800000.0,11112900000.0,12317800000.0,
Other Non Operating Income Expenses,47000000.0,30300000.0,21400000.0,8400000.0,
Special Income Charges,28800000.0,39900000.0,34400000.0,32900000.0,
Other Special Charges,-28800000.0,-39900000.0,-34400000.0,-33300000.0,
Write Off,,,500000.0,400000.0,6000000.0
Net Non Operating Interest Income Expense,-83900000.0,-14900000.0,-55900000.0,-37900000.0,
Total Other Finance Cost,56800000.0,39300000.0,14800000.0,10000000.0,
Interest Expense Non Operating,62200000.0,121900000.0,65400000.0,41500000.0,
Interest Income Non Operating,35100000.0,146300000.0,24300000.0,13600000.0,
Operating Income,10909200000.0,12575200000.0,9509000000.0,10262900000.0,
Operating Expense,20453500000.0,19032700000.0,15324200000.0,13058100000.0,
Other Operating Expenses,5524400000.0,5273100000.0,4246100000.0,3438800000.0,
Depreciation And Amortization In Income Statement,3586200000.0,2983800000.0,2633900000.0,2295200000.0,
Depreciation Income Statement,3586200000.0,2983800000.0,2633900000.0,2295200000.0,
Selling General And Administration,3607000000.0,3479000000.0,2808800000.0,2278100000.0,
Selling And Marketing Expense,3303900000.0,3225400000.0,2582700000.0,2000700000.0,
General And Administrative Expense,303100000.0,253600000.0,226100000.0,277400000.0,
Rent And Landing Fees,86300000.0,67500000.0,42400000.0,50200000.0,
Gross Profit,31362700000.0,31607900000.0,24833200000.0,23321000000.0,
Cost Of Revenue,72228300000.0,69197100000.0,66540700000.0,53990400000.0,
Total Revenue,103591000000.0,100805000000.0,91373900000.0,77311400000.0,
Operating Revenue,103591000000.0,100805000000.0,91373900000.0,77311400000.0,
