,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,112870889.528716,356958.762887,4578000.0,-49776000.0
Tax Rate For Calcs,0.248068,0.178479,0.218,0.183
Normalized EBITDA,10962000000.0,10916000000.0,9925000000.0,8388000000.0
Total Unusual Items,455000000.0,2000000.0,21000000.0,-272000000.0
Total Unusual Items Excluding Goodwill,455000000.0,2000000.0,21000000.0,-272000000.0
Net Income From Continuing Operation Net Minority Interest,4962000000.0,5100000000.0,4644000000.0,3958000000.0
Reconciled Depreciation,4326000000.0,4259000000.0,3665000000.0,3097000000.0
Reconciled Cost Of Revenue,9425000000.0,9302000000.0,8602000000.0,7490000000.0
EBITDA,11417000000.0,10918000000.0,9946000000.0,8116000000.0
EBIT,7091000000.0,6659000000.0,6281000000.0,5019000000.0
Net Interest Income,67000000.0,309000000.0,258000000.0,290000000.0
Interest Expense,492000000.0,451000000.0,345000000.0,175000000.0
Interest Income,559000000.0,760000000.0,603000000.0,465000000.0
Normalized Income,4619870889.528716,5098356958.762887,4627578000.0,4180224000.0
Net Income From Continuing And Discontinued Operation,4962000000.0,5100000000.0,4644000000.0,3958000000.0
Total Expenses,28993000000.0,27224000000.0,24620000000.0,20723000000.0
Rent Expense Supplemental,61000000.0,55000000.0,44000000.0,48000000.0
Diluted Average Shares,402317990.0,401971548.0,403620257.0,402897208.0
Basic Average Shares,401925774.0,401379732.0,400658428.0,398148760.0
Diluted EPS,12.34,12.69,11.51,9.82
Basic EPS,12.35,12.71,11.59,9.94
Diluted NI Availto Com Stockholders,4962000000.0,5100000000.0,4644000000.0,3958000000.0
Net Income Common Stockholders,4962000000.0,5100000000.0,4644000000.0,3958000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,4962000000.0,5100000000.0,4644000000.0,3958000000.0
Minority Interests,0.0,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,4962000000.0,5100000000.0,4644000000.0,3958000000.0
Net Income Continuous Operations,4962000000.0,5100000000.0,4644000000.0,3958000000.0
Tax Provision,1637000000.0,1108000000.0,1292000000.0,886000000.0
Pretax Income,6599000000.0,6208000000.0,5936000000.0,4844000000.0
Other Non Operating Income Expenses,718000000.0,1000000.0,709000000.0,528000000.0
Special Income Charges,296000000.0,-142000000.0,-85000000.0,-335000000.0
Other Special Charges,-326000000.0,25000000.0,75000000.0,327000000.0
Write Off,30000000.0,6000000.0,10000000.0,8000000.0
Restructuring And Mergern Acquisition,,111000000.0,,
Net Non Operating Interest Income Expense,67000000.0,309000000.0,258000000.0,290000000.0
Interest Expense Non Operating,492000000.0,451000000.0,345000000.0,175000000.0
Interest Income Non Operating,559000000.0,760000000.0,603000000.0,465000000.0
Operating Income,6135000000.0,6471000000.0,6182000000.0,4344000000.0
Operating Expense,19568000000.0,17922000000.0,16018000000.0,13233000000.0
Other Operating Expenses,4618000000.0,4148000000.0,3727000000.0,2922000000.0
Depreciation And Amortization In Income Statement,4326000000.0,4259000000.0,3665000000.0,3097000000.0
Amortization,89000000.0,79000000.0,58000000.0,67000000.0
Depreciation Income Statement,4237000000.0,4180000000.0,3607000000.0,3030000000.0
Selling General And Administration,1923000000.0,1697000000.0,1236000000.0,910000000.0
Selling And Marketing Expense,227000000.0,203000000.0,185000000.0,117000000.0
General And Administrative Expense,1696000000.0,1494000000.0,1051000000.0,793000000.0
Rent And Landing Fees,61000000.0,55000000.0,44000000.0,48000000.0
Gross Profit,25703000000.0,24393000000.0,22200000000.0,17577000000.0
Cost Of Revenue,9425000000.0,9302000000.0,8602000000.0,7490000000.0
Total Revenue,35128000000.0,33695000000.0,30802000000.0,25067000000.0
Operating Revenue,35128000000.0,33695000000.0,30802000000.0,25067000000.0
