,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,51247637.878309,5172796.666687,5016626.326714,3807453.709426
Tax Rate For Calcs,0.221976,0.252948,0.311205,0.330795
Normalized EBITDA,3431180000.0,2532250000.0,2287830000.0,1043770000.0
Total Unusual Items,230870000.0,20450000.0,16120000.0,11510000.0
Total Unusual Items Excluding Goodwill,230870000.0,20450000.0,16120000.0,11510000.0
Net Income From Continuing Operation Net Minority Interest,1698710000.0,1073280000.0,1193200000.0,555380000.0
Reconciled Depreciation,750690000.0,514850000.0,311990000.0,194290000.0
Reconciled Cost Of Revenue,29442510000.0,25223560000.0,15587330000.0,7428420000.0
EBITDA,3662050000.0,2552700000.0,2303950000.0,1055280000.0
EBIT,2911360000.0,2037850000.0,1991960000.0,860990000.0
Net Interest Income,-399980000.0,-77180000.0,66250000.0,-69610000.0
Interest Expense,540610000.0,373440000.0,204650000.0,51970000.0
Interest Income,184620000.0,335890000.0,323480000.0,16240000.0
Normalized Income,1519087637.878309,1058002796.666687,1182096626.326714,547677453.709426
Net Income From Continuing And Discontinued Operation,1698710000.0,1073280000.0,1193200000.0,555380000.0
Total Expenses,34670680000.0,29788610000.0,18474980000.0,9351940000.0
Rent Expense Supplemental,16770000.0,7260000.0,6560000.0,7640000.0
Diluted Average Shares,178428336.0,178357981.0,176777842.0,176229137.0
Basic Average Shares,177814253.0,177095444.0,176777842.0,176229137.0
Diluted EPS,9.52,6.02,6.749715,3.151465
Basic EPS,9.55,6.06,6.749715,3.151465
Diluted NI Availto Com Stockholders,1698710000.0,1073280000.0,1193200000.0,555380000.0
Net Income Common Stockholders,1698710000.0,1073280000.0,1193200000.0,555380000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,1698710000.0,1073280000.0,1193200000.0,555380000.0
Minority Interests,-145790000.0,-170120000.0,-37560000.0,-11360000.0
Net Income Including Noncontrolling Interests,1844500000.0,1243400000.0,1230760000.0,566740000.0
Net Income Continuous Operations,1844500000.0,1243400000.0,1230760000.0,566740000.0
Tax Provision,526250000.0,421010000.0,556220000.0,267620000.0
Pretax Income,2370750000.0,1664410000.0,1787310000.0,809020000.0
Other Non Operating Income Expenses,44140000.0,36080000.0,8430000.0,12630000.0
Special Income Charges,139410000.0,-19840000.0,-7730000.0,1990000.0
Other Special Charges,-376110000.0,18590000.0,-990000.0,-9310000.0
Write Off,236700000.0,1250000.0,8720000.0,7320000.0
Net Non Operating Interest Income Expense,-399980000.0,-77180000.0,66250000.0,-69610000.0
Total Other Finance Cost,43990000.0,39630000.0,52580000.0,33880000.0
Interest Expense Non Operating,540610000.0,373440000.0,204650000.0,51970000.0
Interest Income Non Operating,184620000.0,335890000.0,323480000.0,16240000.0
Operating Income,2489210000.0,1514040000.0,1623260000.0,780860000.0
Operating Expense,5228170000.0,4565050000.0,2887650000.0,1923520000.0
Other Operating Expenses,932740000.0,843960000.0,606500000.0,308220000.0
Depreciation And Amortization In Income Statement,750690000.0,514850000.0,311990000.0,194290000.0
Amortization,87260000.0,39590000.0,20760000.0,13760000.0
Depreciation Income Statement,663430000.0,475260000.0,291230000.0,180530000.0
Research And Development,25080000.0,15440000.0,16710000.0,12760000.0
Selling General And Administration,605920000.0,498170000.0,319570000.0,293090000.0
Selling And Marketing Expense,214180000.0,175900000.0,144830000.0,133170000.0
General And Administrative Expense,391740000.0,322270000.0,174740000.0,159920000.0
Rent And Landing Fees,16770000.0,7260000.0,6560000.0,7640000.0
Gross Profit,7717380000.0,6079090000.0,4510910000.0,2704380000.0
Cost Of Revenue,29442510000.0,25223560000.0,15587330000.0,7428420000.0
Total Revenue,37159890000.0,31302650000.0,20098240000.0,10132800000.0
Operating Revenue,37159890000.0,31302650000.0,20098240000.0,10132800000.0
