,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,34102635.2,-27967410.0,-2984286.0,-42368869.2
Tax Rate For Calcs,0.2402,0.27,0.258,0.3871
Normalized EBITDA,3315641000.0,1377871000.0,1199520000.0,843467000.0
Total Unusual Items,141976000.0,-103583000.0,-11567000.0,-109452000.0
Total Unusual Items Excluding Goodwill,141976000.0,-103583000.0,-11567000.0,-109452000.0
Net Income From Continuing Operation Net Minority Interest,2142728000.0,444973000.0,407385000.0,139870000.0
Reconciled Depreciation,269551000.0,247318000.0,245525000.0,169892000.0
Reconciled Cost Of Revenue,14072923000.0,9541235000.0,10946303000.0,9397552000.0
EBITDA,3457617000.0,1274288000.0,1187953000.0,734015000.0
EBIT,3188066000.0,1026970000.0,942428000.0,564123000.0
Net Interest Income,-459557000.0,-482559000.0,-454620000.0,-404635000.0
Interest Expense,339616000.0,383040000.0,371745000.0,331119000.0
Interest Income,46432000.0,25376000.0,25014000.0,31198000.0
Normalized Income,2034854635.2,520588590.0,415967714.0,206953130.8
Net Income From Continuing And Discontinued Operation,2142728000.0,444973000.0,407385000.0,139870000.0
Total Expenses,16831675000.0,11447875000.0,12703487000.0,10743672000.0
Rent Expense Supplemental,15368000.0,4831000.0,4196000.0,3593000.0
Diluted Average Shares,297075918.0,274417848.0,265128220.0,265128220.0
Basic Average Shares,297075918.0,274417848.0,265128220.0,265128220.0
Diluted EPS,7.21,0.82,1.535,0.53
Basic EPS,7.21,0.82,1.535,0.53
Diluted NI Availto Com Stockholders,2142728000.0,444973000.0,407385000.0,139870000.0
Net Income Common Stockholders,2142728000.0,444973000.0,407385000.0,139870000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,2142728000.0,444973000.0,407385000.0,139870000.0
Minority Interests,-21623000.0,-25080000.0,-16067000.0,-2929000.0
Net Income Including Noncontrolling Interests,2164351000.0,470053000.0,423452000.0,142799000.0
Net Income Continuous Operations,2164351000.0,470053000.0,423452000.0,142799000.0
Tax Provision,684099000.0,173877000.0,147231000.0,90205000.0
Pretax Income,2848450000.0,643930000.0,570683000.0,233004000.0
Other Non Operating Income Expenses,645000.0,1609000.0,2684000.0,5717000.0
Special Income Charges,2050000.0,-108010000.0,-11738000.0,-110226000.0
Other Special Charges,-28741000.0,-4196000.0,-280000.0,-930000.0
Write Off,26691000.0,112206000.0,12018000.0,111156000.0
Net Non Operating Interest Income Expense,-459557000.0,-482559000.0,-454620000.0,-404635000.0
Total Other Finance Cost,166373000.0,124895000.0,107889000.0,104714000.0
Interest Expense Non Operating,339616000.0,383040000.0,371745000.0,331119000.0
Interest Income Non Operating,46432000.0,25376000.0,25014000.0,31198000.0
Operating Income,3070528000.0,1224818000.0,1025595000.0,707050000.0
Operating Expense,2758752000.0,1906640000.0,1757184000.0,1346120000.0
Other Operating Expenses,604259000.0,510689000.0,461516000.0,348371000.0
Depreciation And Amortization In Income Statement,269551000.0,247318000.0,245267000.0,169892000.0
Depreciation Income Statement,269551000.0,247318000.0,245267000.0,169892000.0
Selling General And Administration,1003921000.0,488536000.0,484296000.0,327078000.0
Selling And Marketing Expense,808911000.0,349883000.0,340189000.0,231442000.0
General And Administrative Expense,195010000.0,138653000.0,144107000.0,95636000.0
Rent And Landing Fees,15368000.0,4831000.0,4196000.0,3593000.0
Gross Profit,5829280000.0,3131458000.0,2782779000.0,2053170000.0
Cost Of Revenue,14072923000.0,9541235000.0,10946303000.0,9397552000.0
Total Revenue,19902203000.0,12672693000.0,13729082000.0,11450722000.0
Operating Revenue,19902203000.0,12672693000.0,13729082000.0,11450722000.0
