,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,1405495476.024816,-424709873.920893,92617383.423958,46809422.594226
Tax Rate For Calcs,0.23506,0.161961,0.143749,0.261068
Normalized EBITDA,48290900000.0,46802100000.0,46933000000.0,45468400000.0
Total Unusual Items,5979300000.0,-2622300000.0,644300000.0,179300000.0
Total Unusual Items Excluding Goodwill,5979300000.0,-2622300000.0,644300000.0,179300000.0
Net Income From Continuing Operation Net Minority Interest,16252700000.0,11234700000.0,17959600000.0,14817600000.0
Reconciled Depreciation,26283200000.0,24696700000.0,22618100000.0,22045400000.0
Reconciled Cost Of Revenue,100518900000.0,80815400000.0,63764700000.0,62012300000.0
EBITDA,54270200000.0,44179800000.0,47577300000.0,45647700000.0
EBIT,27987000000.0,19483100000.0,24959200000.0,23602300000.0
Net Interest Income,-7099800000.0,-4573200000.0,-2438000000.0,-1392300000.0
Interest Expense,7290600000.0,6300900000.0,4324600000.0,3602500000.0
Interest Income,190800000.0,1727700000.0,1886600000.0,2210200000.0
Normalized Income,11678895476.024817,13432290126.079107,17407917383.423958,14685109422.594227
Net Income From Continuing And Discontinued Operation,18363600000.0,9683400000.0,17959600000.0,14817600000.0
Total Expenses,208938800000.0,188106300000.0,157355200000.0,146794300000.0
Rent Expense Supplemental,1187900000.0,1269700000.0,1335100000.0,1495600000.0
Diluted Average Shares,285165933.0,285165933.0,285043859.0,285000000.0
Basic Average Shares,285000000.0,285000000.0,285000000.0,285000000.0
Diluted EPS,64.39,33.96,63.01,51.99
Basic EPS,64.44,33.98,63.02,51.99
Diluted NI Availto Com Stockholders,18363600000.0,9683400000.0,17959600000.0,14817600000.0
Net Income Common Stockholders,18363600000.0,9683400000.0,17959600000.0,14817600000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,18363600000.0,9683400000.0,17959600000.0,14817600000.0
Minority Interests,-4200000.0,-12400000.0,-49100000.0,-29100000.0
Net Income Including Noncontrolling Interests,18367800000.0,9695800000.0,18008700000.0,14846700000.0
Net Income Extraordinary,3112000000.0,0.0,,
Net Income Discontinuous Operations,2110900000.0,-1551300000.0,,
Net Income Continuous Operations,16256900000.0,11247100000.0,18008700000.0,14846700000.0
Tax Provision,4864900000.0,2135000000.0,2966200000.0,5221300000.0
Pretax Income,20696400000.0,13182200000.0,20634600000.0,19999800000.0
Other Non Operating Income Expenses,1133800000.0,651800000.0,994400000.0,633900000.0
Special Income Charges,5787400000.0,-2813300000.0,360900000.0,-114900000.0
Other Special Charges,-8916000000.0,1749200000.0,-824100000.0,202300000.0
Write Off,2208000000.0,543000000.0,463200000.0,231200000.0
Restructuring And Mergern Acquisition,920600000.0,521100000.0,0.0,-318600000.0
Net Non Operating Interest Income Expense,-7099800000.0,-4573200000.0,-2438000000.0,-1392300000.0
Interest Expense Non Operating,7290600000.0,6300900000.0,4324600000.0,3602500000.0
Interest Income Non Operating,190800000.0,1727700000.0,1886600000.0,2210200000.0
Operating Income,20947800000.0,19740500000.0,21027400000.0,20453000000.0
Operating Expense,108419900000.0,107290900000.0,93590500000.0,84782000000.0
Other Operating Expenses,31495900000.0,33019600000.0,29900800000.0,28076400000.0
Depreciation And Amortization In Income Statement,25921000000.0,23973500000.0,22618100000.0,22045400000.0
Amortization,5220900000.0,4075500000.0,3316500000.0,3319700000.0
Depreciation Income Statement,20700100000.0,19898000000.0,19301600000.0,18725700000.0
Selling General And Administration,6143100000.0,6278700000.0,4654700000.0,3545200000.0
Selling And Marketing Expense,2154800000.0,1744500000.0,1566900000.0,1109000000.0
General And Administrative Expense,3988300000.0,4534200000.0,3087800000.0,2436200000.0
Rent And Landing Fees,486400000.0,590900000.0,442300000.0,711600000.0
Gross Profit,129367700000.0,127031400000.0,114617900000.0,105235000000.0
Cost Of Revenue,100518900000.0,80815400000.0,63764700000.0,62012300000.0
Total Revenue,229886600000.0,207846800000.0,178382600000.0,167247300000.0
Operating Revenue,229886600000.0,207846800000.0,178382600000.0,167247300000.0
