,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,43894082.350623,-673595995.211474,447872486.005486,-76729202.810459,
Tax Rate For Calcs,0.223039,0.23278,0.249247,0.258958,
Normalized EBITDA,26478100000.0,24920500000.0,20051100000.0,18358800000.0,
Total Unusual Items,196800000.0,-2893700000.0,1796900000.0,-296300000.0,
Total Unusual Items Excluding Goodwill,196800000.0,-2893700000.0,1796900000.0,-296300000.0,
Net Income From Continuing Operation Net Minority Interest,12784700000.0,11503300000.0,12037700000.0,9357800000.0,
Reconciled Depreciation,6007400000.0,3771500000.0,3040800000.0,2780100000.0,
Reconciled Cost Of Revenue,103331600000.0,87993600000.0,82911900000.0,73265100000.0,
EBITDA,26674900000.0,22026800000.0,21848000000.0,18062500000.0,
EBIT,20667500000.0,18255300000.0,18807200000.0,15282400000.0,
Net Interest Income,-1513800000.0,350200000.0,414500000.0,126100000.0,
Interest Expense,2902000000.0,1298100000.0,871600000.0,722500000.0,
Interest Income,1388200000.0,1648300000.0,1286100000.0,853900000.0,
Normalized Income,12631794082.350622,13723404004.788527,10688672486.005486,9577370797.18954,
Net Income From Continuing And Discontinued Operation,12784700000.0,11503300000.0,12037700000.0,9357800000.0,
Total Expenses,156286500000.0,131883200000.0,121064600000.0,108915900000.0,
Rent Expense Supplemental,819700000.0,643900000.0,706000000.0,686400000.0,
Diluted Average Shares,979195536.0,943549899.0,936525854.0,933023127.0,
Basic Average Shares,978715461.0,943162936.0,936525854.0,933023127.0,
Diluted EPS,13.06,12.2,12.860139,10.025377,
Basic EPS,13.06,12.2,12.860139,10.025377,
Diluted NI Availto Com Stockholders,12784700000.0,11503300000.0,12037700000.0,9357800000.0,
Net Income Common Stockholders,12784700000.0,11503300000.0,12037700000.0,9357800000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,12784700000.0,11503300000.0,12037700000.0,9357800000.0,
Minority Interests,-86300000.0,-650700000.0,-1163700000.0,-793800000.0,
Net Income Including Noncontrolling Interests,12871000000.0,12154000000.0,13201400000.0,10151600000.0,
Net Income Continuous Operations,12871000000.0,12154000000.0,13201400000.0,10151600000.0,
Tax Provision,3962400000.0,3947300000.0,4470400000.0,3770400000.0,
Pretax Income,17765500000.0,16957200000.0,17935600000.0,14559900000.0,
Other Non Operating Income Expenses,230700000.0,393300000.0,174500000.0,301200000.0,
Special Income Charges,-51100000.0,-2741400000.0,1594500000.0,-520600000.0,
Other Special Charges,,752000000.0,-1495900000.0,,-336000000.0
Write Off,720500000.0,616200000.0,,,
Restructuring And Mergern Acquisition,-669400000.0,1373200000.0,-98600000.0,520600000.0,
Net Non Operating Interest Income Expense,-1513800000.0,350200000.0,414500000.0,126100000.0,
Total Other Finance Cost,,,,5300000.0,5300000.0
Interest Expense Non Operating,2902000000.0,1298100000.0,871600000.0,722500000.0,
Interest Income Non Operating,1388200000.0,1648300000.0,1286100000.0,853900000.0,
Operating Income,18797600000.0,19101900000.0,15533500000.0,14554200000.0,
Operating Expense,52954900000.0,43889600000.0,38152700000.0,35650800000.0,
Other Operating Expenses,11211700000.0,9334100000.0,7289200000.0,6256000000.0,
Depreciation And Amortization In Income Statement,6007400000.0,3771500000.0,3040800000.0,2780100000.0,
Amortization,3386400000.0,1382300000.0,,,
Depreciation Income Statement,2621000000.0,2389200000.0,3040800000.0,2780100000.0,
Selling General And Administration,21714000000.0,18627600000.0,17146600000.0,16231900000.0,
Selling And Marketing Expense,19098600000.0,16651100000.0,14998200000.0,14387000000.0,
General And Administrative Expense,2615400000.0,1976500000.0,2148400000.0,1844900000.0,
Rent And Landing Fees,819700000.0,643900000.0,706000000.0,686400000.0,
Gross Profit,71752500000.0,62991500000.0,53686200000.0,50205000000.0,
Cost Of Revenue,103331600000.0,87993600000.0,82911900000.0,73265100000.0,
Total Revenue,175084100000.0,150985100000.0,136598100000.0,123470100000.0,
Operating Revenue,175084100000.0,150985100000.0,136598100000.0,123470100000.0,
