,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-1424717.921751,2948115.274499,-5539022.693006,-6318786.434139,
Tax Rate For Calcs,0.236743,0.244535,0.194461,0.26267,
Normalized EBITDA,11528580000.0,11671805000.0,10379371000.0,8125733000.0,
Total Unusual Items,-6018000.0,12056000.0,-28484000.0,-24056000.0,
Total Unusual Items Excluding Goodwill,-6018000.0,12056000.0,-28484000.0,-24056000.0,
Net Income From Continuing Operation Net Minority Interest,7849368000.0,7922379000.0,7551932000.0,5496715000.0,
Reconciled Depreciation,1048708000.0,994494000.0,813898000.0,553355000.0,
Reconciled Cost Of Revenue,21690861000.0,20048575000.0,17466367000.0,13412478000.0,
EBITDA,11522562000.0,11683861000.0,10350887000.0,8101677000.0,
EBIT,10473854000.0,10689367000.0,9536989000.0,7548322000.0,
Net Interest Income,1123907000.0,722181000.0,358680000.0,199436000.0,
Interest Expense,189814000.0,202607000.0,161986000.0,93432000.0,
Interest Income,1325927000.0,933334000.0,531548000.0,304160000.0,
Normalized Income,7853961282.078249,7913271115.274499,7574876977.306994,5514452213.565861,
Net Income From Continuing And Discontinued Operation,7849368000.0,7922379000.0,7551932000.0,5496715000.0,
Total Expenses,28283803000.0,25927809000.0,22566839000.0,17467482000.0,
Rent Expense Supplemental,58549000.0,49278000.0,46794000.0,8993000.0,
Diluted Average Shares,62291117.0,62291917.0,62276440.0,62276440.0,
Basic Average Shares,62279919.0,62276440.0,62276440.0,62276440.0,
Diluted EPS,126.01,127.18,121.26,88.26,
Basic EPS,126.03,127.21,121.26,88.26,
Diluted NI Availto Com Stockholders,7849368000.0,7922379000.0,7551932000.0,5496715000.0,
Net Income Common Stockholders,7849368000.0,7922379000.0,7551932000.0,5496715000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,7849368000.0,7922379000.0,7551932000.0,5496715000.0,
Net Income Including Noncontrolling Interests,7849368000.0,7922379000.0,7551932000.0,5496715000.0,
Net Income Continuous Operations,7849368000.0,7922379000.0,7551932000.0,5496715000.0,
Tax Provision,2434672000.0,2564381000.0,1823071000.0,1958175000.0,
Pretax Income,10284040000.0,10486760000.0,9375003000.0,7454890000.0,
Other Non Operating Income Expenses,63217000.0,64136000.0,66518000.0,4827000.0,
Special Income Charges,1742000.0,-324000.0,-6521000.0,-32822000.0,
Other Special Charges,-1742000.0,324000.0,543000.0,254000.0,
Write Off,,0.0,5978000.0,32568000.0,66931000.0
Net Non Operating Interest Income Expense,1123907000.0,722181000.0,358680000.0,199436000.0,
Total Other Finance Cost,12206000.0,8546000.0,10882000.0,11292000.0,
Interest Expense Non Operating,189814000.0,202607000.0,161986000.0,93432000.0,
Interest Income Non Operating,1325927000.0,933334000.0,531548000.0,304160000.0,
Operating Income,9006680000.0,9593648000.0,8880386000.0,7240510000.0,
Operating Expense,6592942000.0,5879234000.0,5100472000.0,4055004000.0,
Other Operating Expenses,2204392000.0,1873035000.0,1364371000.0,846703000.0,
Depreciation And Amortization In Income Statement,1048708000.0,994494000.0,813898000.0,553355000.0,
Depreciation Income Statement,1048708000.0,994494000.0,813898000.0,553355000.0,
Selling General And Administration,2190854000.0,1869864000.0,2242453000.0,1854444000.0,
Selling And Marketing Expense,280055000.0,236879000.0,247722000.0,210169000.0,
General And Administrative Expense,1910799000.0,1632985000.0,1994731000.0,1644275000.0,
Rent And Landing Fees,58549000.0,49278000.0,46794000.0,8993000.0,
Gross Profit,15599622000.0,15472882000.0,13980858000.0,11295514000.0,
Cost Of Revenue,21690861000.0,20048575000.0,17466367000.0,13412478000.0,
Total Revenue,37290483000.0,35521457000.0,31447225000.0,24707992000.0,
Operating Revenue,37290483000.0,35521457000.0,31447225000.0,24707992000.0,
