,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,-59647799.234764,876088308.135701,32330775.700935,19338221.778222,
Tax Rate For Calcs,0.244358,0.2533,0.301875,0.126394,
Normalized EBITDA,147173800000.0,133216500000.0,129296100000.0,97017900000.0,
Total Unusual Items,815900000.0,4467200000.0,107100000.0,153000000.0,
Total Unusual Items Excluding Goodwill,-244100000.0,3458700000.0,107100000.0,153000000.0,
Net Income From Continuing Operation Net Minority Interest,39710000000.0,36962500000.0,33364400000.0,22092900000.0,
Reconciled Depreciation,41168600000.0,37863700000.0,34392000000.0,31236400000.0,
Reconciled Cost Of Revenue,441456100000.0,440313400000.0,410427400000.0,299535700000.0,
EBITDA,147989700000.0,137683700000.0,129403200000.0,97170900000.0,
EBIT,106821100000.0,99820000000.0,95011200000.0,65934500000.0,
Net Interest Income,-39412800000.0,-38210300000.0,-37634800000.0,-35717400000.0,
Interest Expense,43624900000.0,42499800000.0,40441200000.0,35904500000.0,
Interest Income,7600000000.0,8123900000.0,6084200000.0,2925000000.0,
Normalized Income,40954452200.765236,35388388308.135704,33289630775.700935,21959238221.77822,
Net Income From Continuing And Discontinued Operation,39710000000.0,36962500000.0,33364400000.0,17414600000.0,
Total Expenses,544608800000.0,535860700000.0,497180900000.0,374586400000.0,
Rent Expense Supplemental,1698900000.0,1455100000.0,1585600000.0,1140700000.0,
Diluted Average Shares,3199784654.0,3198353196.0,3198171607.0,3198171607.0,
Basic Average Shares,3198171607.0,3198171607.0,3198171607.0,3198171607.0,
Diluted EPS,12.41,11.56,10.43,5.36,
Basic EPS,12.42,11.56,10.43,5.36,
Diluted NI Availto Com Stockholders,39710000000.0,36962500000.0,33364400000.0,17119400000.0,
Net Income Common Stockholders,39710000000.0,36962500000.0,33364400000.0,17119400000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,295200000.0,
Preferred Stock Dividends,,,,0.0,0.0
Net Income,39710000000.0,36962500000.0,33364400000.0,17414600000.0,
Minority Interests,-8043700000.0,-5838500000.0,-4732300000.0,-4141500000.0,
Net Income Including Noncontrolling Interests,47753700000.0,42801000000.0,38096700000.0,21556100000.0,
Net Income Discontinuous Operations,,,0.0,-4678300000.0,-462000000.0
Net Income Continuous Operations,47753700000.0,42801000000.0,38096700000.0,26234400000.0,
Tax Provision,15442500000.0,14519200000.0,16473300000.0,3795600000.0,
Pretax Income,63196200000.0,57320200000.0,54570000000.0,30030000000.0,
Other Non Operating Income Expenses,-3442200000.0,5206700000.0,14114100000.0,3836600000.0,
Special Income Charges,-1276900000.0,2658700000.0,-815100000.0,-2033000000.0,
Other Special Charges,-1619500000.0,-3742100000.0,299700000.0,410900000.0,
Write Off,56400000.0,74900000.0,515400000.0,1622100000.0,
Impairment Of Capital Assets,380000000.0,0.0,,,
Restructuring And Mergern Acquisition,1400000000.0,0.0,,,
Net Non Operating Interest Income Expense,-39412800000.0,-38210300000.0,-37634800000.0,-35717400000.0,
Total Other Finance Cost,3387900000.0,3834400000.0,3277800000.0,2737900000.0,
Interest Expense Non Operating,43624900000.0,42499800000.0,40441200000.0,35904500000.0,
Interest Income Non Operating,7600000000.0,8123900000.0,6084200000.0,2925000000.0,
Operating Income,96668700000.0,68019600000.0,43995200000.0,43880300000.0,
Operating Expense,103152700000.0,95547300000.0,86753500000.0,75050700000.0,
Other Operating Expenses,22328300000.0,19488100000.0,17977900000.0,11222700000.0,
Depreciation And Amortization In Income Statement,41168600000.0,37863700000.0,34392000000.0,31222000000.0,
Amortization,2520800000.0,2038600000.0,1350100000.0,1214000000.0,
Depreciation Income Statement,38647800000.0,35825100000.0,33041900000.0,30008000000.0,
Selling General And Administration,4885000000.0,4385600000.0,4028600000.0,3239300000.0,
Selling And Marketing Expense,149100000.0,91100000.0,13300000.0,32500000.0,
General And Administrative Expense,4735900000.0,4294500000.0,4015300000.0,3206800000.0,
Rent And Landing Fees,1698900000.0,1455100000.0,1585600000.0,1140700000.0,
Gross Profit,199821400000.0,163566900000.0,130748700000.0,118931000000.0,
Cost Of Revenue,441456100000.0,440313400000.0,410427400000.0,299535700000.0,
Total Revenue,641277500000.0,603880300000.0,541176100000.0,418466700000.0,
Operating Revenue,641277500000.0,603880300000.0,541176100000.0,418466700000.0,
