,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,55835500.0,126882200.0,46999796.520756,7250806.0,
Tax Rate For Calcs,0.265,0.271,0.21619,0.2554,
Normalized EBITDA,10411700000.0,10100100000.0,8869400000.0,6916250000.0,
Total Unusual Items,210700000.0,468200000.0,217400000.0,28390000.0,
Total Unusual Items Excluding Goodwill,210700000.0,468200000.0,217400000.0,28390000.0,
Net Income From Continuing Operation Net Minority Interest,6769500000.0,6793700000.0,6240300000.0,4369910000.0,
Reconciled Depreciation,1212100000.0,1058700000.0,945500000.0,857100000.0,
Reconciled Cost Of Revenue,36481200000.0,36544200000.0,30993700000.0,25355330000.0,
EBITDA,10622400000.0,10568300000.0,9086800000.0,6944640000.0,
EBIT,9410300000.0,9509600000.0,8141300000.0,6087540000.0,
Net Interest Income,481400000.0,382000000.0,235000000.0,178440000.0,
Interest Expense,196300000.0,189100000.0,179800000.0,218980000.0,
Interest Income,677700000.0,571100000.0,414800000.0,397420000.0,
Normalized Income,6614635500.0,6452382200.0,6069899796.520756,4348770806.0,
Net Income From Continuing And Discontinued Operation,6769500000.0,6793700000.0,6240300000.0,4369910000.0,
Total Expenses,43514000000.0,42746200000.0,36749300000.0,29685030000.0,
Rent Expense Supplemental,31300000.0,67100000.0,77000000.0,78880000.0,
Diluted Average Shares,406310418.0,406283062.0,405668530.0,405668530.0,
Basic Average Shares,405668530.0,405668530.0,405668530.0,405668530.0,
Diluted EPS,16.66,16.72,15.382756,10.77212,
Basic EPS,16.69,16.75,15.382756,10.77212,
Diluted NI Availto Com Stockholders,6769500000.0,6793700000.0,6240300000.0,4369910000.0,
Net Income Common Stockholders,6769500000.0,6793700000.0,6240300000.0,4369910000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,6769500000.0,6793700000.0,6240300000.0,4369910000.0,
Net Income Including Noncontrolling Interests,6769500000.0,6793700000.0,6240300000.0,4369910000.0,
Net Income Continuous Operations,6769500000.0,6793700000.0,6240300000.0,4369910000.0,
Tax Provision,2444500000.0,2526800000.0,1721200000.0,1498650000.0,
Pretax Income,9214000000.0,9320500000.0,7961500000.0,5868560000.0,
Other Non Operating Income Expenses,253000000.0,84600000.0,73100000.0,36870000.0,
Special Income Charges,39400000.0,389900000.0,214500000.0,65060000.0,
Other Special Charges,-40800000.0,-421700000.0,-327200000.0,-65060000.0,
Write Off,1400000.0,31800000.0,112700000.0,0.0,
Restructuring And Mergern Acquisition,,,0.0,0.0,51020000.0
Net Non Operating Interest Income Expense,481400000.0,382000000.0,235000000.0,178440000.0,
Interest Expense Non Operating,196300000.0,189100000.0,179800000.0,218980000.0,
Interest Income Non Operating,677700000.0,571100000.0,414800000.0,397420000.0,
Operating Income,8129800000.0,8385900000.0,7376600000.0,5599520000.0,
Operating Expense,7032800000.0,6202000000.0,5755600000.0,4329700000.0,
Other Operating Expenses,3763200000.0,3398700000.0,3103000000.0,2200150000.0,
Depreciation And Amortization In Income Statement,1212100000.0,1058700000.0,945500000.0,857100000.0,
Amortization,220600000.0,170900000.0,184800000.0,207300000.0,
Depreciation Income Statement,991500000.0,887800000.0,760700000.0,649800000.0,
Selling General And Administration,644900000.0,397400000.0,552300000.0,379930000.0,
General And Administrative Expense,644900000.0,397400000.0,552300000.0,379930000.0,
Rent And Landing Fees,31300000.0,67100000.0,77000000.0,78880000.0,
Gross Profit,15162600000.0,14587900000.0,13132200000.0,9929220000.0,
Cost Of Revenue,36481200000.0,36544200000.0,30993700000.0,25355330000.0,
Total Revenue,51643800000.0,51132100000.0,44125900000.0,35284550000.0,
Operating Revenue,51643800000.0,51132100000.0,44125900000.0,35284550000.0,
