,2025-03-31,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,1306278709.403524,-1492010544.597444,-701730000.0,440847000.0
Tax Rate For Calcs,0.247683,0.256668,0.23,0.219
Normalized EBITDA,72731000000.0,55568000000.0,87959000000.0,89338000000.0
Total Unusual Items,5547000000.0,-1231000000.0,-681000000.0,2013000000.0
Total Unusual Items Excluding Goodwill,5274000000.0,-5813000000.0,-3051000000.0,2013000000.0
Net Income From Continuing Operation Net Minority Interest,42515000000.0,23578000000.0,48313000000.0,55661000000.0
Reconciled Depreciation,18529000000.0,18171000000.0,19567000000.0,15204000000.0
Reconciled Cost Of Revenue,388201000000.0,390276000000.0,387190000000.0,313347000000.0
EBITDA,78278000000.0,54337000000.0,87278000000.0,91351000000.0
EBIT,59749000000.0,36166000000.0,67711000000.0,76147000000.0
Net Interest Income,-1251000000.0,-2382000000.0,-2206000000.0,-722000000.0
Interest Expense,3217000000.0,3922000000.0,3256000000.0,1626000000.0
Interest Income,1966000000.0,1540000000.0,1050000000.0,904000000.0
Normalized Income,38820278709.40353,32480989455.402557,53032270000.0,54088847000.0
Net Income From Continuing And Discontinued Operation,42515000000.0,23578000000.0,48313000000.0,55661000000.0
Total Expenses,478208000000.0,485733000000.0,470406000000.0,380831000000.0
Rent Expense Supplemental,3112000000.0,3043000000.0,2744000000.0,2202000000.0
Diluted Average Shares,887464752.0,887204530.0,885803630.0,886164661.0
Basic Average Shares,885640680.0,884266371.0,882208730.0,878976889.0
Diluted EPS,47.91,26.58,54.54,62.81
Basic EPS,48.0,26.66,54.76,63.32
Diluted NI Availto Com Stockholders,42515000000.0,23578000000.0,48313000000.0,55661000000.0
Net Income Common Stockholders,42515000000.0,23578000000.0,48313000000.0,55661000000.0
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0
Net Income,42515000000.0,23578000000.0,48313000000.0,55661000000.0
Minority Interests,-15000000.0,-390000000.0,-257000000.0,-640000000.0
Net Income Including Noncontrolling Interests,42530000000.0,23968000000.0,48570000000.0,56301000000.0
Net Income Continuous Operations,42530000000.0,23968000000.0,48570000000.0,56301000000.0
Tax Provision,14002000000.0,8276000000.0,15885000000.0,18220000000.0
Pretax Income,56532000000.0,32244000000.0,64455000000.0,74521000000.0
Other Non Operating Income Expenses,3111000000.0,6505000000.0,4488000000.0,1849000000.0
Special Income Charges,3970000000.0,-7305000000.0,-4103000000.0,-570000000.0
Other Special Charges,-4536000000.0,-25000000.0,-42000000.0,-63000000.0
Write Off,293000000.0,2748000000.0,1775000000.0,633000000.0
Net Non Operating Interest Income Expense,-1251000000.0,-2382000000.0,-2206000000.0,-722000000.0
Total Other Finance Cost,2562000000.0,3411000000.0,2800000000.0,215000000.0
Interest Expense Non Operating,3217000000.0,3922000000.0,3256000000.0,1626000000.0
Interest Income Non Operating,1966000000.0,1540000000.0,1050000000.0,904000000.0
Operating Income,51675000000.0,34223000000.0,62496000000.0,65629000000.0
Operating Expense,90007000000.0,95457000000.0,83216000000.0,67484000000.0
Other Operating Expenses,26690000000.0,31758000000.0,21357000000.0,15279000000.0
Depreciation And Amortization In Income Statement,18529000000.0,18171000000.0,19567000000.0,15204000000.0
Amortization,7199000000.0,7120000000.0,8832000000.0,
Depreciation Income Statement,11330000000.0,11051000000.0,10735000000.0,15204000000.0
Selling General And Administration,20632000000.0,21652000000.0,20135000000.0,18231000000.0
Selling And Marketing Expense,3124000000.0,2876000000.0,2307000000.0,1969000000.0
General And Administrative Expense,17508000000.0,18776000000.0,17828000000.0,16262000000.0
Rent And Landing Fees,3112000000.0,3043000000.0,2744000000.0,2202000000.0
Gross Profit,141682000000.0,129680000000.0,145712000000.0,133113000000.0
Cost Of Revenue,388201000000.0,390276000000.0,387190000000.0,313347000000.0
Total Revenue,529883000000.0,519956000000.0,532902000000.0,446460000000.0
Operating Revenue,529883000000.0,519956000000.0,532902000000.0,446460000000.0
