,2025-03-31,2024-03-31,2023-03-31,2022-03-31,2021-03-31
Tax Effect Of Unusual Items,70656450.504125,39722171.223309,29144384.525205,30360000.0,
Tax Rate For Calcs,0.360492,0.371583,0.146307,0.3,
Normalized EBITDA,12599900000.0,3182600000.0,741200000.0,-482600000.0,
Total Unusual Items,196000000.0,106900000.0,199200000.0,101200000.0,
Total Unusual Items Excluding Goodwill,196000000.0,106900000.0,199200000.0,101200000.0,
Net Income From Continuing Operation Net Minority Interest,4465300000.0,629800000.0,-364100000.0,-627100000.0,
Reconciled Depreciation,3531900000.0,1824500000.0,1225000000.0,767800000.0,
Reconciled Cost Of Revenue,65579400000.0,15890100000.0,5607300000.0,3109400000.0,
EBITDA,12795900000.0,3289500000.0,940400000.0,-381400000.0,
EBIT,9264000000.0,1465000000.0,-284600000.0,-1149200000.0,
Net Interest Income,-2256600000.0,-59400000.0,433600000.0,235700000.0,
Interest Expense,2281600000.0,462800000.0,141900000.0,22100000.0,
Interest Income,42300000.0,419800000.0,585600000.0,267600000.0,
Normalized Income,4339956450.504125,562622171.223309,-534155615.474795,-697940000.0,
Net Income From Continuing And Discontinued Operation,4465300000.0,629800000.0,-364100000.0,-627100000.0,
Total Expenses,75302000000.0,22101100000.0,10231700000.0,7052900000.0,
Rent Expense Supplemental,251400000.0,105300000.0,49700000.0,18000000.0,
Diluted Average Shares,175910914.0,172495689.0,153677077.0,105019617.0,
Basic Average Shares,173389178.0,169704867.0,153677077.0,105019617.0,
Diluted EPS,25.38,3.65,-2.46,-5.97,
Basic EPS,25.75,3.71,-2.46,-5.97,
Diluted NI Availto Com Stockholders,4465300000.0,629800000.0,-364100000.0,-627100000.0,
Net Income Common Stockholders,4465300000.0,629800000.0,-364100000.0,-627100000.0,
Otherunder Preferred Stock Dividend,0.0,0.0,0.0,0.0,
Net Income,4465300000.0,629800000.0,-364100000.0,-627100000.0,
Net Income Including Noncontrolling Interests,4465300000.0,629800000.0,-364100000.0,-627100000.0,
Net Income Continuous Operations,4465300000.0,629800000.0,-364100000.0,-627100000.0,
Tax Provision,2517100000.0,372400000.0,-62400000.0,-544200000.0,
Pretax Income,6982400000.0,1002200000.0,-426500000.0,-1171300000.0,
Other Non Operating Income Expenses,14700000.0,7600000.0,800000.0,7500000.0,
Special Income Charges,-201200000.0,-112300000.0,4600000.0,10700000.0,
Other Special Charges,3700000.0,,-4600000.0,-100000.0,-100000.0
Write Off,197500000.0,112300000.0,0.0,-10600000.0,
Net Non Operating Interest Income Expense,-2256600000.0,-59400000.0,433600000.0,235700000.0,
Total Other Finance Cost,17300000.0,16400000.0,10100000.0,9800000.0,
Interest Expense Non Operating,2281600000.0,462800000.0,141900000.0,22100000.0,
Interest Income Non Operating,42300000.0,419800000.0,585600000.0,267600000.0,
Operating Income,9247600000.0,1042100000.0,-1036000000.0,-1547000000.0,
Operating Expense,9722600000.0,6211000000.0,4624400000.0,3943500000.0,
Other Operating Expenses,4638900000.0,2015200000.0,851500000.0,1487400000.0,
Depreciation And Amortization In Income Statement,3531900000.0,1824500000.0,1225000000.0,767800000.0,
Amortization,2091500000.0,1178400000.0,865500000.0,537200000.0,
Depreciation Income Statement,1440400000.0,646100000.0,359500000.0,230600000.0,
Research And Development,215100000.0,0.0,,,
Selling General And Administration,1425900000.0,535500000.0,330800000.0,343600000.0,
Selling And Marketing Expense,913300000.0,188100000.0,116100000.0,185200000.0,
General And Administrative Expense,512600000.0,347400000.0,214700000.0,158400000.0,
Rent And Landing Fees,251400000.0,105300000.0,49700000.0,18000000.0,
Gross Profit,18970200000.0,7253100000.0,3588400000.0,2396500000.0,
Cost Of Revenue,65579400000.0,15890100000.0,5607300000.0,3109400000.0,
Total Revenue,84549600000.0,23143200000.0,9195700000.0,5505900000.0,
Operating Revenue,84549600000.0,23143200000.0,9195700000.0,5505900000.0,
